text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
2.6 Keeping It Current ...................................................................................................................... 9,"[0, 0, 100, 20]",1,9.96,6,0,0.069,0.4,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
3. Overview of the Foundation Level Extension – Agile Tester Syllabus......................................... 10,"[0, 0, 100, 20]",1,9.96,12,0,0.051,0.08333333333333333,0.6363636363636364,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
3.1 Business Outcomes ................................................................................................................. 10,"[0, 0, 100, 20]",1,9.96,5,0,0.067,0.25,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
3.2 Content .................................................................................................................................... 10,"[0, 0, 100, 20]",1,9.96,4,0,0.072,0.3333333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
4. References .......................................................................................................................................... 12,"[0, 0, 100, 20]",1,9.96,4,0,0.076,0.3333333333333333,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
4.1 Trademarks ............................................................................................................................. 12,"[0, 0, 100, 20]",1,9.96,4,0,0.07,0.3333333333333333,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
4.2 Documents and Web Sites ....................................................................................................... 12,"[0, 0, 100, 20]",1,9.96,7,0,0.064,0.16666666666666666,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Acknowledgements,"[0, 0, 100, 20]",2,15.96,1,0,0.008,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
This document was produced by a team from the International Software Testing Qualifications Board,"[0, 0, 100, 20]",2,9.96,14,0,0.042,0.14285714285714285,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Foundation Level Working Group.,"[0, 0, 100, 20]",2,9.96,4,0,0.014,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,"[0, 0, 100, 20]",2,9.96,17,0,0.044,0.058823529411764705,0.29411764705882354,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working","[0, 0, 100, 20]",2,9.96,15,0,0.043,0.13333333333333333,0.6,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Group had the following membership: Rex Black Chair, Bertrand Cornanguer Vice Chair, Gerry","[0, 0, 100, 20]",2,9.96,13,0,0.039,0.07692307692307693,0.6923076923076923,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Coleman Learning Objectives Lead, Debra Friedenberg Exam Lead, Alon Linetzki Business Outcomes","[0, 0, 100, 20]",2,9.96,12,0,0.0415,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"and Marketing Lead, Tauhida Parveen Editor, and Leo van der Aalst Development Lead.","[0, 0, 100, 20]",2,9.96,13,0,0.0355,0.0,0.6923076923076923,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon","[0, 0, 100, 20]",2,9.96,12,0,0.041,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.","[0, 0, 100, 20]",2,9.96,12,0,0.03,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra","[0, 0, 100, 20]",2,9.96,9,0,0.0405,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula","[0, 0, 100, 20]",2,9.96,12,0,0.043,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,","[0, 0, 100, 20]",2,9.96,11,0,0.0425,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.","[0, 0, 100, 20]",2,9.96,9,0,0.024,0.0,0.7777777777777778,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"The team thanks also the following persons, from the National Boards and the Agile expert community,","[0, 0, 100, 20]",2,9.96,16,0,0.0425,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani","[0, 0, 100, 20]",2,9.96,14,0,0.046,0.07142857142857142,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,","[0, 0, 100, 20]",2,9.96,13,0,0.042,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill","[0, 0, 100, 20]",2,9.96,15,0,0.0425,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter","[0, 0, 100, 20]",2,9.96,16,0,0.047,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,","[0, 0, 100, 20]",2,9.96,13,0,0.043,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik","[0, 0, 100, 20]",2,9.96,13,0,0.0445,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Sandberg, Dakar Shalom, Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,","[0, 0, 100, 20]",2,9.96,13,0,0.04,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye","[0, 0, 100, 20]",2,9.96,16,0,0.0425,0.0,0.875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.","[0, 0, 100, 20]",2,9.96,12,0,0.035,0.0,0.9166666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,","[0, 0, 100, 20]",2,9.96,17,0,0.04,0.11764705882352941,0.29411764705882354,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2014.,"[0, 0, 100, 20]",2,9.96,1,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1. Introduction to the Foundation Level Extensions,"[0, 0, 100, 20]",3,15.96,7,0,0.022,0.0,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,"[0, 0, 100, 20]",3,9.96,15,0,0.039,0.13333333333333333,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,"[0, 0, 100, 20]",3,9.96,16,0,0.0455,0.125,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
extension syllabi.,"[0, 0, 100, 20]",3,9.96,2,0,0.0085,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be","[0, 0, 100, 20]",3,9.96,17,0,0.0425,0.17647058823529413,0.11764705882352941,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the","[0, 0, 100, 20]",3,9.96,16,0,0.0435,0.1875,0.1875,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
updated document will be available on the ISTQB website.,"[0, 0, 100, 20]",3,9.96,9,0,0.024,0.2222222222222222,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,"[0, 0, 100, 20]",3,9.96,17,0,0.0405,0.29411764705882354,0.29411764705882354,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
some time. New topics emerge due to technology and methodology changes in the market which often,"[0, 0, 100, 20]",3,9.96,16,0,0.0405,0.0625,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the","[0, 0, 100, 20]",3,9.96,19,0,0.044,0.21052631578947367,0.21052631578947367,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the","[0, 0, 100, 20]",3,9.96,17,0,0.045,0.17647058823529413,0.29411764705882354,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,"[0, 0, 100, 20]",3,9.96,14,0,0.0395,0.21428571428571427,0.14285714285714285,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but","[0, 0, 100, 20]",3,9.96,16,0,0.0435,0.1875,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
that is beyond the scope of this document.,"[0, 0, 100, 20]",3,9.96,8,0,0.0175,0.125,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
The following Foundation Level Extension syllabus has been released:,"[0, 0, 100, 20]",3,9.96,9,0,0.03,0.3333333333333333,0.4444444444444444,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
Agile Tester,"[0, 0, 100, 20]",3,9.96,2,0,0.0055,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business","[0, 0, 100, 20]",3,9.96,14,0,0.0435,0.14285714285714285,0.35714285714285715,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,"[0, 0, 100, 20]",3,9.96,15,0,0.0395,0.3333333333333333,0.26666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"achieves a Foundation Level Extension Certification in a particular subject area e.g., Agile Tester, and","[0, 0, 100, 20]",3,9.96,15,0,0.045,0.06666666666666667,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
will outline the benefits for companies that are considering the development of specific testing skills at this,"[0, 0, 100, 20]",3,9.96,17,0,0.0475,0.23529411764705882,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
level.,"[0, 0, 100, 20]",3,9.96,1,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2. Introduction to Foundation Level Agile Tester Extension,"[0, 0, 100, 20]",4,15.96,8,0,0.0255,0.0,0.75,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are,"[0, 0, 100, 20]",4,9.96,15,0,0.0435,0.2,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
working within Agile environments. It is also for professionals who are planning to start implementing,"[0, 0, 100, 20]",4,9.96,15,0,0.044,0.4,0.13333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Agile methods in the near future, or are working within companies that plan to do so, The certification","[0, 0, 100, 20]",4,9.96,18,0,0.043,0.2222222222222222,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and","[0, 0, 100, 20]",4,9.96,17,0,0.0445,0.17647058823529413,0.058823529411764705,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
methodologies specific to their role.,"[0, 0, 100, 20]",4,9.96,5,0,0.0165,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.1 Intended Audience,"[0, 0, 100, 20]",4,14.04,3,0,0.0095,0.3333333333333333,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:,"[0, 0, 100, 20]",4,9.96,16,0,0.0455,0.125,0.4,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
1. Professionals who have achieved in-depth testing experience in traditional methods and would,"[0, 0, 100, 20]",4,9.96,13,0,0.0415,0.23076923076923078,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
like to get an Agile Tester Certificate.,"[0, 0, 100, 20]",4,9.96,7,0,0.017,0.14285714285714285,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"2. Junior professional testers who are just starting in the testing profession, have received the","[0, 0, 100, 20]",4,9.96,15,0,0.0415,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile","[0, 0, 100, 20]",4,9.96,16,0,0.039,0.1111111111111111,0.17647058823529413,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
environment.,"[0, 0, 100, 20]",4,9.96,1,0,0.006,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"3. Professionals who are relatively new to testing and are required to implement test approaches,","[0, 0, 100, 20]",4,9.96,15,0,0.0415,0.3333333333333333,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
methods and techniques in their day to day job in Agile projects.,"[0, 0, 100, 20]",4,9.96,12,0,0.027,0.0,0.08333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
4. Professionals who are experienced in their role including unit testing and need more,"[0, 0, 100, 20]",4,9.96,14,0,0.037,0.2857142857142857,0.07142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
understanding and knowledge about how to perform and manage testing on all levels in Agile,"[0, 0, 100, 20]",4,9.96,15,0,0.038,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
projects.,"[0, 0, 100, 20]",4,9.96,1,0,0.0045,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"These professionals include people who are in roles such as testers, test analysts, test engineers, test","[0, 0, 100, 20]",4,9.96,16,0,0.0445,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"consultants, test managers, user acceptance testers, and software developers.","[0, 0, 100, 20]",4,9.96,9,0,0.0345,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who,"[0, 0, 100, 20]",4,9.96,15,0,0.0425,0.06666666666666667,0.42857142857142855,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality","[0, 0, 100, 20]",4,9.96,16,0,0.0435,0.125,0.0625,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"managers, software development managers, business analysts, IT directors, and management","[0, 0, 100, 20]",4,9.96,10,0,0.0395,0.0,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
consultants.,"[0, 0, 100, 20]",4,9.96,1,0,0.006,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.2 Career Paths for Testers,"[0, 0, 100, 20]",4,14.04,5,0,0.012,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for","[0, 0, 100, 20]",4,9.96,16,0,0.0445,0.0625,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,"[0, 0, 100, 20]",4,9.96,15,0,0.045,0.13333333333333333,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,"[0, 0, 100, 20]",4,9.96,19,0,0.0455,0.21052631578947367,0.10526315789473684,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
an Agile project.,"[0, 0, 100, 20]",4,9.96,3,0,0.0075,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,"[0, 0, 100, 20]",4,9.96,15,0,0.044,0.13333333333333333,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Tester Foundation Level acronym CTFL-AT.,"[0, 0, 100, 20]",4,9.96,5,0,0.018,0.0,0.8333333333333334,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.3 Learning Objectives,"[0, 0, 100, 20]",4,14.04,3,0,0.0105,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,","[0, 0, 100, 20]",4,9.96,17,0,0.045,0.11764705882352941,0.2222222222222222,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
remember and recall terms and concepts stated in the Foundation Level syllabus.,"[0, 0, 100, 20]",4,9.96,12,0,0.034,0.08333333333333333,0.16666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an","[0, 0, 100, 20]",4,9.96,17,0,0.044,0.17647058823529413,0.23529411764705882,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
extension exam.,"[0, 0, 100, 20]",4,9.96,2,0,0.007,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
"That said, each extension level exam focuses on the learning objectives defined in that extension","[0, 0, 100, 20]",5,9.96,15,0,0.0415,0.26666666666666666,0.06666666666666667,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each","[0, 0, 100, 20]",5,9.96,18,0,0.044,0.1111111111111111,0.2222222222222222,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
chapter within each particular extension syllabus.,"[0, 0, 100, 20]",5,9.96,6,0,0.0225,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.4 Entry Requirements,"[0, 0, 100, 20]",5,14.04,3,0,0.01,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have","[0, 0, 100, 20]",5,9.96,17,0,0.0415,0.17647058823529413,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
obtained the ISTQB Foundation Level certificate.,"[0, 0, 100, 20]",5,9.96,6,0,0.0215,0.16666666666666666,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
2.5 Structure and Course Duration,"[0, 0, 100, 20]",5,14.04,5,0,0.0145,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the,"[0, 0, 100, 20]",5,9.96,16,0,0.0405,0.125,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,
Foundation Level syllabus.,"[0, 0, 100, 20]",5,9.96,3,0,0.012,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,
