text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,title_label
Troubleshooting - Determining causes of operating errors and deciding what to do about it.,"[0, 0, 100, 20]",9,14,0,0.0385,0.307692308,0.153846154,-11.79,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"Active Listening - Giving full attention to what other people are saying, taking time to understand the points being made, asking questions as appropriate, and not interrupting at inappropriate times.","[100, 0, 200, 20]",9,30,0,0.0855,0.310344828,0.103448276,-11.79,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
Active Learning - Understanding the implications of new information for both current and future problem-solving and decision-making.,"[100, 0, 200, 20]",9,17,0,0.058,0.0625,0.166666667,-11.79,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Critical Thinking - Using logic and reasoning to identify the strengths and weaknesses of alternative solutions, conclusions or approaches to problems.","[100, 0, 200, 20]",9,21,0,0.0655,0.15,0.15,-11.79,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Knowledge,"[100, 0, 200, 20]",12,1,0,0.0045,0,1,0.93,197,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"Telecommunications - Knowledge of transmission, broadcasting, switching, control, and operation of telecommunications systems.","[100, 0, 200, 20]",9,13,0,0.057,0.083333333,0.166666667,1.07,-197,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Communications and Media - Knowledge of media production, communication, and dissemination techniques and methods. This includes alternative ways to inform and entertain via written, oral, and visual media.","[100, 0, 200, 20]",9,28,0,0.0895,0.148148148,0.148148148,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Computers and Electronics - Knowledge of circuit boards, processors, chips, electronic equipment, and computer hardware and software, including applications and programming.","[100, 0, 200, 20]",9,21,0,0.0765,0.05,0.15,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"English Language - Knowledge of the structure and content of the English language including the meaning and spelling of words, rules of composition, and grammar.","[100, 0, 200, 20]",9,25,0,0.0685,0.041666667,0.166666667,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Engineering and Technology - Knowledge of the practical application of engineering science and technology. This includes applying principles, techniques, procedures, and equipment to the design and production of various goods and services.","[100, 0, 200, 20]",9,32,0,0.104,0.096774194,0.129032258,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Education and Training - Knowledge of principles and methods for curriculum and training design, teaching and instruction for individuals and groups, and the measurement of training effects.","[100, 0, 200, 20]",9,27,0,0.082,0,0.115384615,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Mechanical - Knowledge of machines and tools, including their designs, uses, repair, and maintenance.","[100, 0, 200, 20]",9,14,0,0.044,0.076923077,0.153846154,-17.5,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Education,"[100, 0, 200, 20]",12,1,0,0.0045,0,1,0.86,200,0,1,3,0,1,0,0,0,1,1,1,0,0,0,0,1,1
Job Zone Three: Medium Preparation Needed,"[100, 0, 200, 20]",9,6,0,0.018,0.166666667,1,1.07,-200,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Education: Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree. Some may require a bachelor's degree.","[100, 0, 200, 20]",9,24,0,0.076,0.076923077,0.107142857,-5.64,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0
Training : Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers.,"[100, 0, 200, 20]",9,24,0,0.0725,0.086956522,0.08,-5.64,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
School Programs,"[100, 0, 200, 20]",12,2,0,0.007,0,1,0.93,181,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"Communications Technology/Technician. - A program that generally prepares individuals to function as workers and managers within communications industries. Includes instruction in business economics; basic management; principles of interpersonal and mediated communications; radio, television, and digital media production; and related aspects of technology and communications systems.","[100, 0, 200, 20]",9,45,0,0.1705,0.045454545,0.111111111,1.07,-181,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Radio and Television Broadcasting Technology/Technician. - A program that prepares individuals to apply technical knowledge and skills to the production of radio and television programs, and related operations, under the supervision of broadcast and studio managers, directors, editors, and producers. Includes instruction in sound, lighting, and camera operation and maintenance; power and feed control; studio operations; production preparation; broadcast engineering; related computer applications; and specialized applications such as news, entertainment, live talk, sports, commercials, and taping.","[100, 0, 200, 20]",9,76,0,0.264,0.066666667,0.092105263,-9.57,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Audiovisual Communications Technologies/Technicians, Other. - Any instructional program in audiovisual communications technologies not listed above.","[0, 0, 200, 20]",9,15,0,0.0335,0.071428571,0.4,-5.04,0,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0
Wages,"[100, 0, 200, 20]",12,1,0,0.0025,0,1,0.89,208,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
In NY the average wage for this occupation was:,"[100, 0, 200, 20]",9,9,0,0.0195,0.111111111,0.222222222,1.11,-208,0,1,-3,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"$33,030 for entry level workers, and $65,350 for experienced workers.","[100, 0, 200, 20]",9,10,0,0.03,0,0,-2.52,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
Job Outlook,"[100, 0, 200, 20]",12,2,0,0.005,0,1,0.67,195,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"Based on the total number of annual openings and its growth rate, the employment prospects for this occupation are described as Favorable.","[100, 0, 200, 20]",9,22,0,0.0585,0.136363636,0.090909091,1.11,-195,0,1,-3,1,0,0,0,1,1,1,0,0,0,0,0,1,0
"In 2006, employment for Broadcast Technicians in NY was: 3,630.","[100, 0, 200, 20]",9,10,0,0.027,0.1,0.363636364,-6.74,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
"It is anticipated that in the year 2016, employment in this area will number 3,930. There will be an increase of 30 new positions annually 0.01%. In addition, 120 jobs per year 0.03% will become available due to employee turnover.","[100, 0, 200, 20]",9,40,0,0.0955,0.1,0.069767442,-6.74,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0
Similar Jobs,"[100, 0, 200, 20]",12,2,0,0.0055,0,1,0.96,194,0,1,3,1,0,0,0,1,1,1,1,0,0,0,0,1,1
"Computer Support Specialists - Provide technical assistance to computer system users. Answer questions or resolve computer problems for clients in person, via telephone or from remote location. May provide assistance concerning the use of computer hardware and software, including printing, installation, word processing, electronic mail, and operating systems.","[100, 0, 200, 20]",9,48,0,0.157,0.106382979,0.127659574,1.04,-194,0,1,-3,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Network Systems and Data Communications Analysts - Analyze, design, test, and evaluate network systems, such as local area networks LAN, wide area networks WAN, Internet, intranet, and other data communications systems. Perform network modeling, analysis, and planning. Research and recommend network and data communications hardware and software. Includes telecommunications specialists who deal with the interfacing of computer and communications equipment. May supervise computer programmers.","[100, 0, 200, 20]",9,64,0,0.216,0.031746032,0.206349206,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Radio Operators - Receive and transmit communications using radiotelegraph or radiotelephone equipment in accordance with government regulations. May repair equipment.,"[100, 0, 200, 20]",9,20,0,0.074,0.052631579,0.210526316,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Sound Engineering Technicians - Operate machines and equipment to record, synchronize, mix, or reproduce music, voices, or sound effects in sporting arenas, theater productions, recording studios, or movie and video productions.","[100, 0, 200, 20]",9,31,0,0.099,0.166666667,0.133333333,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Film and Video Editors - Edit motion picture soundtracks, film, and video.","[100, 0, 200, 20]",9,12,0,0.0315,0,0.363636364,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Telecommunications Equipment Installers and Repairers, Except Line Installers - Set-up, rearrange, or remove switching and dialing equipment used in central offices. Service or repair telephones and other communication equipment on customers' property. May install equipment in new locations or install wiring and telephone jacks in buildings under construction.","[100, 0, 200, 20]",9,48,0,0.1575,0.106382979,0.208333333,-29.85,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0
"Electronic Home Entertainment Equipment Installers and Repairers - Repair, adjust, or install audio or television receivers, stereo systems, camcorders, video systems, or other electronic home entertainment equipment.","[100, 0, 200, 20]",9,27,0,0.0955,0.038461538,0.269230769,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
"Telecommunications Line Installers and Repairers - String and repair telephone and television cable, including fiber optics and other equipment for transmitting messages or television programming.","[100, 0, 200, 20]",9,25,0,0.086,0.083333333,0.208333333,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Nuclear Power Reactor Operators - Control nuclear reactors.,"[100, 0, 200, 20]",9,8,0,0.026,0,0.714285714,-29.85,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
