text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
"To save the current settings of Visio layers selected, click Save PDF Settings, and click OK . These settings are used the next time you convert the current Visio file to a PDF file.","[100, 0, 200, 20]",12,34,0,0.0745,0.15151515151515152,0.2727272727272727,0.02,0,1,0.3333,0,1,0,0,0,1,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
"5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file, type a filename, and then click Save .","[100, 0, 200, 20]",12,28,0,0.0515,0.14814814814814814,0.2962962962962963,0.14,-18,0,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Note: Visio layers that were selected for conversion and that have Visio settings for visible, printable, or lock are converted to PDF layers; the visible and printable properties are included in the resulting PDF layers. If the Visio file contains a background page, header, or footer, the PDF file automatically has PDF layers named for those items.","[0, 0, 200, 20]",12,57,0,0.07375,0.19298245614035087,0.15789473684210525,-0.134,0,1,0.6,0,0.6,0.4,0,0,0.6,1,1,0,1,0,0,0,1,0,0,0,1,0
Convert AutoCAD files to PDF Acrobat Pro for Windows,"[0, 0, 100, 20]",24,9,0,0.022,0.1111111111111111,0.6666666666666666,7.35,0,1,1,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
Use PDFMaker to convert AutoCAD files from within the AutoCAD application. You can also use the Batch Conversion feature to convert many AutoCAD files in one operation. Acrobat PDFMaker preserves selected layers and layouts when converting AutoCAD files to PDF.,"[100, 0, 200, 20]",12,40,0,0.111,0.15,0.3,2.2833,0,1,0.6667,-4,0.6667,0.3333,0,0,0.6667,1,1,0,0.3333,0,0,0,1,0.3333,0,0,0.6667,0
Convert AutoCAD files when AutoCAD is installed,"[100, 0, 200, 20]",16.02,7,0,0.0205,0.2857142857142857,0.42857142857142855,4.88,0,1,1,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"When converting individual AutoCAD files, you don't usually need to change page size and plotting settings. PDFMaker uses the appropriate layout page size and plotting information to create a correctly sized PDF file.","[100, 0, 200, 20]",12,33,0,0.0925,0.23529411764705882,0.11764705882352941,0.1467,0,1,0.6667,-1.34,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0.3333,0,0,0.6667,0
Note: Acrobat can't convert DWG to PDF without AutoCAD installed.,"[100, 0, 200, 20]",12,10,0,0.028,0.2727272727272727,0.45454545454545453,1.03,0,1,0,0,0,0.5,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"1. To change the PDF conversion settings, choose Adobe PDF    - Change Conversion Settings in AutoCAD.","[100, 0, 200, 20]",12,16,0,0.042,0.13333333333333333,0.5333333333333333,0.44,24.75,0,0,0,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
2. Do one of the following:,"[100, 0, 200, 20]",12,6,0,0.011,0.16666666666666666,0.16666666666666666,1.01,-18,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Click a button in the Adobe PDF toolbar: Convert To Adobe PDF or Convert To Adobe PDFAnd Send For Review .,"[100, 0, 200, 20]",12,21,0,0.043,0,0.7,1.09,45.09,0,0,0,1,0,0,0,1,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Choose Adobe PDF        - Convert To Adobe PDF .,"[100, 0, 200, 20]",12,9,0,0.0165,0,1,0.54,-36.18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose Adobe PDF        - Convert To Adobe PDF And Email .,"[100, 0, 200, 20]",12,11,0,0.0205,0,1,0.55,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose Adobe PDF        - Convert To Adobe PDFAnd Send For Review .,"[100, 0, 200, 20]",12,12,0,0.0245,0,1,0.55,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. In the Choose Layouts dialog box, add or remove layouts as needed. To reorder the layouts, select a layout from the Layouts In PDF list, and click Move Up or Move Down .","[100, 0, 200, 20]",12,34,0,0.0695,0.15151515151515152,0.3333333333333333,0.01,-12,0.3333,0,0,0.6667,0,0,0,0.6667,1,1,0.3333,0.3333,0,0,0,1,0,0,0,1,0
"4. To determine how the AutoCAD layers are converted, select one of the following, and then click Continue :","[100, 0, 200, 20]",12,19,0,0.045,0.2222222222222222,0.16666666666666666,0.375,0,0,0,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Flatten All Layers . When layers are flattened, only those entities belonging to layers that are not frozen and are printable appear in the converted PDF.","[100, 0, 200, 20]",12,26,0,0.0645,0.2,0.2,1.5,18,0.5,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Retain All Or Some Layers . In the next dialog box, specify the layers to include in the resulting PDF.","[100, 0, 200, 20]",12,20,0,0.042,0.15789473684210525,0.3684210526315789,0.095,0,1,0.5,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"5. Specify a filename and location in the Save As dialog box, and click Save .","[100, 0, 200, 20]",12,16,0,0.0315,0.06666666666666667,0.26666666666666666,0.56,-54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Select AutoCAD layers to convert,"[0, 0, 100, 20]",16.02,5,0,0.014,0.2,0.4,1,0,1,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"If you choose to retain all or some AutoCAD layers when converting to PDF, you can specify which layers are preserved in the PDF.","[100, 0, 200, 20]",12,24,0,0.053,0.25,0.16666666666666666,0.365,0,1,0.5,-2.01,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
"1. In AutoCAD, start to convert an AutoCAD file and select the Retain All Or Some Layers option.","[100, 0, 200, 20]",12,18,0,0.0395,0.1111111111111111,0.4444444444444444,0.42,24.75,0,0,0,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
"2. To show specific AutoCAD layers in the Layers In Drawing list, do any of the following:","[100, 0, 200, 20]",12,17,0,0.037,0.11764705882352941,0.29411764705882354,0.4,0,0,0,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Choose an option from the Named Layer Filters menu to list all layers that fit that criterion.,"[100, 0, 200, 20]",12,17,0,0.039,0.23529411764705882,0.23529411764705882,0.435,18,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Select the Invert option to list all layers except those layers that are described by the selected choice in the Named Layer Filters menu.,"[100, 0, 200, 20]",12,24,0,0.0575,0.20833333333333334,0.20833333333333334,0.155,0,1,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"To change the sort order of the layers, click the headings.","[100, 0, 200, 20]",12,11,0,0.0245,0.18181818181818182,0.09090909090909091,0.58,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Note: To change the On, Frozen, or Plot properties for a layer, click Cancel, change the properties in the AutoCAD drawing, and restart the procedure.","[100, 0, 200, 20]",12,25,0,0.063,0.12,0.28,1.31,-18,0.5,0.5,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"3. To select the AutoCAD layers to convert, do any of the following:","[100, 0, 200, 20]",12,13,0,0.028,0.23076923076923078,0.15384615384615385,1.14,-18,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose a previously saved set of layers from the PDF Layer Settings menu.,"[100, 0, 200, 20]",12,13,0,0.0305,0.15384615384615385,0.3076923076923077,1.16,54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Select one or more layers from the Layers In Drawing List.,"[100, 0, 200, 20]",12,11,0,0.024,0,0.45454545454545453,0.58,0,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To convert all of the layers in the drawing, click Add All Layers, and go to step","[100, 0, 200, 20]",12,17,0,0.0325,0.17647058823529413,0.23529411764705882,0.58,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"4. To add the selected AutoCAD layers to the Layers In PDF list, do one of the following:","[100, 0, 200, 20]",12,18,0,0.036,0.16666666666666666,0.2777777777777778,3.9,-54,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"To convert the selected AutoCAD layers to individual layers within a PDF layer set, click Create Layer Set . This action creates a folder of layers in the Layers navigation pane in Acrobat.","[100, 0, 200, 20]",12,33,0,0.0785,0.09375,0.28125,0.2033,18,0.6667,0,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"To convert the selected AutoCAD layers to individual layers, click Add Layers .","[100, 0, 200, 20]",12,13,0,0.0335,0.16666666666666666,0.3333333333333333,0.14,0,1,0.5,0,0.5,0,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
"5. Optionally, do any of the following in the Layers In PDF list:","[100, 0, 200, 20]",12,13,0,0.0265,0.07692307692307693,0.3076923076923077,0.5,-54,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"To reorder layers, drag an item up or down in the list.","[100, 0, 200, 20]",12,12,0,0.022,0.16666666666666666,0.08333333333333333,1.14,54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
deselect Locked On for the PDF layer. To lock the resulting PDF layer?s,"[100, 0, 200, 20]",12,13,0,0.0295,0.23076923076923078,0.35714285714285715,-0.27,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"To save the current list of selected AutoCAD layers, click Add PDF Setting . Later, you can retrieve this list from the PDF Layer Settings menu.","[100, 0, 200, 20]",12,26,0,0.0595,0.12,0.36,0.155,0,1,0.5,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"6. Click Convert, specify a filename and location, and then click Save .","[100, 0, 200, 20]",12,13,0,0.03,0.16666666666666666,0.25,0.58,-54,0,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Convert AutoCAD files in batches,"[0, 0, 100, 20]",16.02,5,0,0.014,0,0.4,1.69,31.5,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
1. Choose Adobe PDF    - Batch Conversion .,"[100, 0, 200, 20]",12,8,0,0.0165,0,0.8333333333333334,1.69,31.5,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. Specify your preferences for layers, page size, plot style, and output PDFs. Click Conversion Settings to specify the Acrobat PDFMaker settings.","[100, 0, 200, 20]",12,22,0,0.063,0.09090909090909091,0.3181818181818182,0.745,9,0.5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. In the DWG List, do any of the following:","[100, 0, 200, 20]",12,10,0,0.0175,0.1,0.3,1.94,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"Click Add Folder or Add Files, and then specify the folder or files.","[100, 0, 200, 20]",12,13,0,0.028,0.07692307692307693,0.38461538461538464,1.94,54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To load a previously saved list of files, click Append List, and then specify the","[100, 0, 200, 20]",12,15,0,0.0335,0.2,0.2,0.98,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"As needed, expand individual files and select or deselect the items you want, such as model space and layouts. To exclude or include all model space, click the associated buttons.","[100, 0, 200, 20]",12,30,0,0.075,0.23333333333333334,0.06666666666666667,0.0267,0,1,0.6667,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"To exclude a file from the conversion, deselect the file box. As needed, select or deselect all of the files in the list, change the order of the files, remove files, or clear the list.","[100, 0, 200, 20]",12,35,0,0.0755,0.22857142857142856,0.05714285714285714,0.0267,0,1,0.3333,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
"To show the complete file paths, select Expand File Names .","[100, 0, 200, 20]",12,11,0,0.0245,0.1,0.4,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"To save the DWG list for later use, click Save List . This action saves the list in its current state, including the file order and file selections. You can retrieve this list at any time by clicking Append List .","[100, 0, 200, 20]",12,41,0,0.0865,0.1282051282051282,0.20512820512820512,0.0267,0,1,1,0,1,0,0,0,1,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
4. Click Convert .,"[100, 0, 200, 20]",12,4,0,0.0075,0,0.6666666666666666,0.98,-54,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. Once the conversion has finished, you can click Save Details to save a log file of the conversion.","[100, 0, 200, 20]",12,19,0,0.0415,0.21052631578947367,0.15789473684210525,0.745,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Application-specific PDFMaker settings,"[0, 0, 100, 20]",24,3,0,0.018,0,0.5,2.06,0,1,1,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
Sometimes the conversion settings in one PDFMaker-enabled application are different from the settings in a different application.,"[100, 0, 200, 20]",12,17,0,0.0565,0.058823529411764705,0.1111111111111111,0.91,0,1,1,-6,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
Some PDFMaker settings are common to several or most applications. Some options are unique to a specific application.,"[100, 0, 200, 20]",12,18,0,0.05,0.1111111111111111,0.16666666666666666,0.395,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Settings tab options available from within most applications,"[100, 0, 200, 20]",16.02,8,0,0.0265,0,0.125,4.23,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
The following settings appear on the Settings tab available from within most PDFMakerenabled applications.,"[100, 0, 200, 20]",12,14,0,0.0465,0.07142857142857142,0.21428571428571427,0.9,0,1,1,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Attach Source File,"[100, 0, 200, 20]",12,3,0,0.008,0,1,3.48,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Includes the document being converted as an attachment to the PDF.,"[100, 0, 200, 20]",12,11,0,0.028,0.2727272727272727,0.18181818181818182,0.95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Create Bookmarks,"[100, 0, 200, 20]",12,2,0,0.0075,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Converts certain elements in original Office documents to PDF bookmarks: Word headings, Excel worksheet names, or PowerPoint titles. Selecting this option overrides any settings on the Bookmarks tab of the Conversion Settings dialog box.","[100, 0, 200, 20]",12,34,0,0.102,0.058823529411764705,0.29411764705882354,0.1567,0,1,0.6667,0,0.6667,0.3333,0,0,0.6667,1,1,0,0.3333,0,0,0,1,0,0,0,1,0
Add Links,"[100, 0, 200, 20]",12,2,0,0.004,0,1,1.01,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Includes active links and hypertext in the PDF.,"[100, 0, 200, 20]",12,8,0,0.02,0,0.25,0.95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
"If this option is deselected, but the recipient of the PDF has the create Links From URLs preference selected, URLs in the PDF are still active.","[100, 0, 200, 20]",12,26,0,0.0595,0.19230769230769232,0.2692307692307692,0.355,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Enable Accessibility And Reflow With Tagged Adobe PDF,"[100, 0, 200, 20]",12,8,0,0.023,0,1,1.09,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Embeds tags in the PDF.,"[100, 0, 200, 20]",12,5,0,0.0095,0,0.4,0.95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Excel-specific options on the Settings tab,"[100, 0, 200, 20]",16.02,6,0,0.0185,0,0.2857142857142857,4.65,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
Convert Comments,"[100, 0, 200, 20]",12,2,0,0.0075,0,1,0.87,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Converts user-created Excel comments to notes and lists them in the Acrobat Comments panel.,"[100, 0, 200, 20]",12,14,0,0.039,0.07142857142857142,0.26666666666666666,0.95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Actual Size,"[100, 0, 200, 20]",12,2,0,0.005,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Uses actual size specified in the worksheet. Worksheets are not resized.,"[100, 0, 200, 20]",12,11,0,0.031,0.2727272727272727,0.18181818181818182,0.95,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Fit Worksheet To A Single Page,"[100, 0, 200, 20]",12,6,0,0.0125,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Adjusts the size of each worksheet so that all the entries on that worksheet appear on the same page of the PDF.,"[0, 0, 200, 20]",12,22,0,0.02275,0.09090909090909091,0.09090909090909091,-0.25,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Fit To Paper Width,"[100, 0, 200, 20]",12,4,0,0.0075,0,1,1.05,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Adjusts the width of each worksheet so that all the columns on that worksheet appear on one page in the PDF.,"[100, 0, 200, 20]",12,21,0,0.044,0.09523809523809523,0.09523809523809523,0.38,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
Prompt For Selecting Excel Sheets,"[100, 0, 200, 20]",12,5,0,0.0145,0.2,1,1.05,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Opens a dialog box at the beginning of the file conversion process. In this dialog box, you can specify which worksheets are included in the PDF and the order in which the sheets appear in the PDF.","[100, 0, 200, 20]",12,37,0,0.0805,0.13513513513513514,0.10810810810810811,0.1667,0,1,0.6667,0,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0,0,0,1,0
PowerPoint-specific options on the Settings tab,"[100, 0, 200, 20]",16.02,6,0,0.021,0,0.2857142857142857,4.45,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
Preserve Slide Transitions,"[100, 0, 200, 20]",12,3,0,0.012,0,1,0.92,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Converts PowerPoint slide transition effects to PDF transition effects.,"[100, 0, 200, 20]",12,9,0,0.0315,0,0.3333333333333333,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Convert Hidden Slides To PDF Pages,"[100, 0, 200, 20]",12,6,0,0.0145,0,1,1.06,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Converts any PowerPoint slides that are not seen in the usual playing of the presentation to PDF pages.,"[100, 0, 200, 20]",12,18,0,0.043,0.1111111111111111,0.16666666666666666,0.375,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0,0,0,0,1,0,0,0,1,0
Convert Speaker Notes,"[100, 0, 200, 20]",12,3,0,0.0095,0,1,1.05,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Converts any speaker notes for the PowerPoint presentation into Text notes in the PDF.,"[100, 0, 200, 20]",12,14,0,0.0365,0,0.2857142857142857,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Email-specific options on the Settings tab,"[100, 0, 200, 20]",16.02,6,0,0.0185,0,0.2857142857142857,4.88,0,1,1,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
The following options appear when you open the PDFMaker settings from within Microsoft Outlook or Lotus Notes.,"[100, 0, 200, 20]",12,17,0,0.047,0.11764705882352941,0.35294117647058826,0.345,0,1,0.5,-2.01,0.5,0.5,0,0,0.5,1,1,0,0,0,0,0,1,0.5,0,0,0.5,0
Compatibility,"[100, 0, 200, 20]",12,1,0,0.0065,0,1,1.05,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Sets the compatibility level of the PDF. Use the most recent version in this case, version 1.7 ADBE-3 to include all the latest features and functionality. If you?re creating PDFs that are distributed widely, choose an earlier level to ensure that all users can view and print the document.","[100, 0, 200, 20]",12,49,0,0.121,0.20408163265306123,0.11538461538461539,0.065,0,1,0.75,0,0.75,0.25,0,0,0.75,1,1,0,0.5,0,0,0,1,0,0,0,1,0
Attachments,"[100, 0, 200, 20]",12,1,0,0.0055,0,1,1.05,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Indicates whether all files attached to email messages are included in the PDF.,"[100, 0, 200, 20]",12,13,0,0.0335,0.38461538461538464,0.15384615384615385,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Output Adobe PDF Portfolio When Creating A New PDF File,"[100, 0, 200, 20]",12,10,0,0.023,0.1,1,1.05,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"When selected, always converts individual messages as component files of a PDF Portfolio . When deselected, merges individual messages as separate pages of a PDF.","[100, 0, 200, 20]",12,25,0,0.069,0.16666666666666666,0.20833333333333334,0.38,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Do Not Include Folder Name Information,"[0, 0, 100, 20]",12,6,0,0.0165,0,1,0.99,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"When selected, excludes mail folder names from PDFs.","[100, 0, 200, 20]",12,8,0,0.0225,0.25,0.25,0.99,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Embed Index For Faster Search,"[100, 0, 200, 20]",12,5,0,0.0125,0,1,1.04,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Creates an embedded index, which speeds up searches, especially when you convert large numbers of email messages or message folders.","[100, 0, 200, 20]",12,20,0,0.0565,0.15,0.05,0.375,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
Block Download Of External Content,"[100, 0, 200, 20]",12,5,0,0.015,0,1,1.04,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
