text,bbox,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label
1. Open the PDF in Acrobat.,"[100, 0, 200, 20]",12,6,0,0.011,0.16666666666666666,0.5,1.06,18,0,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"2. From the global bar, select Convert.","[100, 0, 200, 20]",12,7,0,0.0165,0,0.2857142857142857,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. From the left pane, Select DOCX from the drop-down menu next to Microsoft Word . Then select Convert to DOCX .","[100, 0, 200, 20]",12,22,0,0.046,0.05,0.38095238095238093,0.62,9,0.5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"4. In the Save as dialog, select a location where you want to save the file and then select Save .","[0, 0, 200, 20]",12,21,0,0.0195,0.2,0.15,0.5,18,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Convert PDF to DOC,"[100, 0, 200, 20]",16.02,4,0,0.0075,0.25,0.75,5.91,-36,0,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"3. From the left pane, Select DOC from the drop-down menu next to Microsoft Word . Then select Convert to DOC .","[100, 0, 200, 20]",12,22,0,0.045,0.05,0.38095238095238093,0.76,9,0.5,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"For PDF to Word conversion settings, go to File format options for PDF export.https://helpx.adobe.com/acrobat/using/file-format-options-pdf-export.html","[0, 0, 100, 20]",12,14,0,0.069,0.06666666666666667,0.19230769230769232,0.67,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
You can easily convert your PDF files into Microsoft Powerpoint PPT/PPTX using Adobe,"[100, 0, 200, 20]",12,13,0,0.036,0.23076923076923078,0.5,0.67,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Convert PDF to PPTX,"[100, 0, 200, 20]",16.02,4,0,0.008,0.25,0.75,3.94,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
2. Select Convert from the globar bar.,"[100, 0, 200, 20]",12,7,0,0.016,0,0.2857142857142857,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. From the Convert menu in the left pane, select Microsoft PowerPoint PPTX.","[100, 0, 200, 20]",12,13,0,0.032,0,0.38461538461538464,1.01,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
4. Select Convert to PPTX .,"[100, 0, 200, 20]",12,6,0,0.011,0,0.6,24.35,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. In the dialog, select the location where you want to save the file and, if necessary, change the file name.","[100, 0, 200, 20]",12,21,0,0.045,0.19047619047619047,0.047619047619047616,0.36,9,0.5,0,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
6. Select Save .,"[100, 0, 200, 20]",12,4,0,0.0065,0,0.6666666666666666,0.73,-18,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
File format op?ons for PDF export in Acrobat,"[0, 0, 100, 20]",24,8,0,0.0185,0,0.3333333333333333,1.26,0,1,0,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"To convert a PDF to different file formats, select Convert from the global bar. Each file format includes unique conversion settings. Alternatively, you can use the Export a PDF tool from the All tools menu.","[100, 0, 200, 20]",12,35,0,0.0865,0.11428571428571428,0.22857142857142856,0.44,0,1,0,-4,0.6667,0.3333,0,0,0.6667,1,1,0,0.6667,0,0,0,1,0.3333,0,0,0.6667,0
Adobe PDF options,"[100, 0, 200, 20]",16.02,3,0,0.0075,0,0.6666666666666666,8.82,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"You can resave PDFs as optimized PDFs using settings in the PDF Optimizer dialog box. The PDF Optimizer lets you change the compatibility version of your PDFs so they can be viewed using older versions of Acrobat or Acrobat Reader. When you change the compatibility setting, newer features may be unavailable in the PDF. For an explanation of each compatibility setting, view PDF compatibility levels.https://helpx.adobe.com/acrobat/using/pdf-conversion-settings.html#pdfcompatibilitylevels","[100, 0, 200, 20]",12,65,0,0.213,0.13432835820895522,0.21052631578947367,0.678,0,1,0.4,-0.804,0.8,0.2,0,0,0.8,1,1,0.2,0.6,0,0,0,1,0.2,0,0,0.8,0
"If you want to use the same settings every time you convert PDFs to a particular format, specify those settings in the Preferences dialog box. In the Convert From PDF panel, select a file format from the list and select Edit Settings . You can select the Defaults at the top of the Save as Settings dialog box to revert to the default settings.","[100, 0, 200, 20]",12,64,0,0.1405,0.1111111111111111,0.20634920634920634,0.805,0,1,0.25,0,0.75,0.25,0,0,0.75,1,1,0.25,0.75,0,0,0,1,0,0,0,1,0
Image conversion settings,"[100, 0, 200, 20]",16.02,3,0,0.0115,0,0.3333333333333333,8.82,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
JPEG and JPEG 2000 conversion settings,"[100, 0, 200, 20]",12,6,0,0.0165,0,0.3333333333333333,3.34,0,1,0,-4.02,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"In Acrobat, select All tools - Export a PDF and select Image format . From the drop-down menu next to Image format, select the format you want your image to be. You get JPEG and JPEG 2000 options. Select the settings icon to change the export preferences.","[100, 0, 200, 20]",12,47,0,0.1045,0.15555555555555556,0.2608695652173913,1.0575,0,1,0,0,1,0,0,0,1,1,1,0,0.75,0,0,0,1,0,0,0,1,0
File settings,"[100, 0, 200, 20]",16.02,2,0,0.006,0,0.5,6.04,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
"Grayscale/Color: Specifies a compression setting that balances file size with image quality. The smaller the file, the lesser the image quality.","[100, 0, 200, 20]",12,21,0,0.062,0.14285714285714285,0.18181818181818182,0.51,18,0.5,0,-2.01,0.5,1,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
"Tile Size: Divides the image being compressed into tiles of the given size. If the image height or width is not an even multiple of the tile size, partial tiles are used on the edges. Image data for each tile is individually compressed and can be individually","[100, 0, 200, 20]",12,47,0,0.1065,0.23404255319148937,0.10638297872340426,0.34,0,1,0.6667,0,0.3333,0.3333,0,0,0.3333,1,1,0.3333,0.6667,0,0,0,1,0,0,0,1,0
decompressed. The default value of 256 is recommended. This option is available only for JPEG 2000 format.,"[0, 0, 200, 20]",12,17,0,0.0225,0.23529411764705882,0.17647058823529413,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Format: Determines how the file is displayed. Available only in JPEG format. It provides the following options:,"[100, 0, 200, 20]",12,17,0,0.0475,0.23529411764705882,0.29411764705882354,0.305,0,1,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Baseline Standard: Displays the image when it has fully downloaded. This JPEG format is recognizable to most web browsers.,"[100, 0, 200, 20]",12,19,0,0.052,0.21052631578947367,0.2631578947368421,0.305,18,0.5,0,0,0,0.5,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,1,0
Baseline Optimized: Optimizes color quality of the image and produces smaller file sizes but is not supported by all web browsers.,"[100, 0, 200, 20]",12,21,0,0.055,0.14285714285714285,0.14285714285714285,0.305,0,1,0.5,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
"Progressive 3 scans-5 scans: Downloads the image first as a low-resolution image, with incremental quality improvements as downloading continues.","[100, 0, 200, 20]",12,19,0,0.0635,0.15789473684210525,0.09523809523809523,0.305,0,1,0.5,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Color management,"[100, 0, 200, 20]",16.02,2,0,0.0075,0,0.5,3.24,-72,0,1,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
RGB/CMYK/Grayscale,"[100, 0, 200, 20]",12,1,0,0.009,0,1,1,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Specifies the type of color management to be applied to the output file and whether to embed an ICC profile.,"[100, 0, 200, 20]",12,20,0,0.0445,0.15,0.1,0.505,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
"If you use the Export To or Export All Images command on a PDF that contains JPEG and JPEG 2000 images, and export the content to JPEG or JPEG 2000 format, the resulting image may look different when opened in Acrobat. This can happen if the images have a color profile included at the page level but not inside the image data. In this case, Acrobat cannot bring the page-level color profile into the resulting saved image.","[100, 0, 200, 20]",12,77,0,0.1735,0.15384615384615385,0.19230769230769232,0.284,0,1,0.6,0,0.8,0.2,0,0,0.8,1,1,0.2,0.6,0,0,0,1,0,0,0,1,0
Conversion,"[100, 0, 200, 20]",16.02,1,0,0.005,0,1,3.64,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1
Colorspace/Resolution,"[100, 0, 200, 20]",12,1,0,0.0105,0,1,1,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
"Specifies a color space and resolution for the output file. You can let Acrobat determine these settings automatically. To convert color images in the file to shades of gray, choose Grayscale.","[100, 0, 200, 20]",12,31,0,0.081,0.0967741935483871,0.16129032258064516,0.505,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
"Higher resolutions, such as 2400 pixels per inch ppi, are suitable only for small page sizes up to 6.826 inches or 173.380 millimeters.","[100, 0, 200, 20]",12,23,0,0.0565,0.08695652173913043,0.04,0.705,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
PDF to PNG conversion settings,"[100, 0, 200, 20]",12,5,0,0.013,0,0.4,1.01,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"menu next to Image format, select PNG . Select the settings icon to change the export","[100, 0, 200, 20]",12,16,0,0.035,0.13333333333333333,0.2,1.5,279.9,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
PNG format is useful for images that are used on the web.,"[0, 0, 100, 20]",12,12,0,0.023,0.25,0.08333333333333333,1,0,1,0,4.02,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Interlace,"[100, 0, 200, 20]",12,1,0,0.0045,0,1,1,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
"Specifies if the image is interlaced. None creates an image that displays in a web browser only after downloading is complete. Adam7 creates an image that displays low-resolution versions in a browser while the full image file is downloading. Adam7 can make downloading time seem shorter and assures viewers that downloading is in progress; however, it increases file size.","[100, 0, 200, 20]",12,59,0,0.1575,0.2711864406779661,0.06666666666666667,0.202,0,1,0.8,0,0.8,0.2,0,0,0.8,1,1,0,0.8,0,0,0,1,0,0,0,1,0
Filter: Lets you select a filtering algorithm.,"[100, 0, 200, 20]",12,7,0,0.02,0.14285714285714285,0.2857142857142857,1.01,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
None : Compresses the image without a filter. Recommended for indexed-color and Bitmap-mode images.,"[100, 0, 200, 20]",12,14,0,0.043,0.15384615384615385,0.26666666666666666,0.515,18,0.5,0,0,0.5,1,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Sub: Optimizes the compression of images with even horizontal patterns or blends.,"[100, 0, 200, 20]",12,12,0,0.035,0.08333333333333333,0.16666666666666666,0.6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Up: Optimizes the compression of images with even vertical patterns.,"[100, 0, 200, 20]",12,10,0,0.0295,0,0.2,0.62,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Average: Optimizes the compression of low-level noise by averaging the color values of adjacent pixels.,"[100, 0, 200, 20]",12,15,0,0.0445,0.13333333333333333,0.125,0.315,0,1,0,0,0.5,1,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Paeth : Optimizes the compression of low-level noise by reassigning adjacent color,"[100, 0, 200, 20]",12,12,0,0.0355,0.18181818181818182,0.16666666666666666,0.6,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
values.,"[100, 0, 200, 20]",12,1,0,0.0035,0,0,0.01,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0
"Adaptive: Applies the filtering algorithm—Sub, Up, Average, or Paeth—best suited for the image. Select Adaptive if you are unsure of which filter to use.","[100, 0, 200, 20]",12,24,0,0.065,0.125,0.3076923076923077,0.305,0,1,0,0,0,0.5,0,0,0,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
RGB/Grayscale,"[100, 0, 200, 20]",12,1,0,0.0065,0,1,1,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Specifies the type of color management for the output file and whether to embed an ICC profile.,"[100, 0, 200, 20]",12,17,0,0.0395,0.058823529411764705,0.11764705882352941,0.505,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
"Higher resolutions, such as 2400 ppi, are suitable only for small page sizes up to 6.826 inches or 173.380 millimeters.","[100, 0, 200, 20]",12,20,0,0.05,0.1,0.045454545454545456,0.7,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
PDF to TIFF conversion settings,"[0, 0, 100, 20]",12,5,0,0.0135,0,0.4,1.01,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"menu next to Image format, select TIFF . Select the settings icon to change the export","[100, 0, 200, 20]",12,16,0,0.0355,0.13333333333333333,0.2,1.5,279,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
"TIFF is a flexible bitmap image format supported by virtually all paint, image-editing, and page-layout applications. Resolution is determined automatically.","[100, 0, 200, 20]",12,20,0,0.069,0.2,0.09090909090909091,0.5,0,1,0.5,0,1,0,0,0,1,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
Monochrome,"[100, 0, 200, 20]",12,1,0,0.005,0,1,0.99,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Specifies a compression format. CCITTG4 is the default and generally produces the smallest file size. ZIP compression also produces a small file.,"[100, 0, 200, 20]",12,22,0,0.062,0.13636363636363635,0.13636363636363635,0.5,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0,0,0,1,0
"Some applications cannot open TIFF files that are saved with JPEG or ZIP compression. In these cases, LZW compression is recommended.","[100, 0, 200, 20]",12,21,0,0.0565,0.22727272727272727,0.2857142857142857,0.695,0,1,0.5,0,0.5,0.5,0,0,0.5,1,1,0.5,0.5,0,0,0,1,0,0,0,1,0
RGB/CMYK/Grayscale/Other,"[100, 0, 200, 20]",12,1,0,0.012,0,1,0.99,0,1,0,-4.02,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
Specifies the type of color management for the output file.,"[100, 0, 200, 20]",12,10,0,0.025,0,0.1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
PDF to Microso? Word conversion se?ngs,"[0, 0, 100, 20]",24,6,0,0.0165,0,0.42857142857142855,2.2,0,1,0,-12,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1
"In Acrobat, select All tools - Export a PDF and select Microsoft Word. From the drop-down menu next to Microsoft Word, select the format you want your document to be in . You","[100, 0, 200, 20]",12,33,0,0.071,0.12903225806451613,0.34375,0.97,0,1,0,-6,0.5,0.5,0,0,0.5,1,1,0,0.5,0,0,0,1,0.5,0,0,0.5,0
get DOC and DOCX options. Select the settings icon to change the export preferences.,"[100, 0, 200, 20]",12,14,0,0.0355,0.21428571428571427,0.21428571428571427,1.83,211.98,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0
Layout Settings,"[100, 0, 200, 20]",12,2,0,0.007,0,1,1.07,-211.98,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Retain Flowing Text: Specifies that text flow must be retained.,"[100, 0, 200, 20]",12,10,0,0.027,0.2,0.4,0.99,36,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Retain Page Layout: Specifies that page layout must be retained.,"[100, 0, 200, 20]",12,10,0,0.0275,0.3,0.4,0.45,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Comments Settings,"[100, 0, 200, 20]",12,2,0,0.008,0,1,1,-36,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Include Comments:,"[100, 0, 200, 20]",12,2,0,0.008,0,1,0.99,36,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
