"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"8.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.Grades Available in the School's Curriculum: If K-12 is selected above, check half-day or full-day kindergarten program below. K Half-Day Program K-12 or K 1 2 3 4 5 6 7 8 9 10 11 12 or K Full-Day Program If the age/grade levels of the school are different than those in the U.S. public school system, attach the school's age/grade equivalency chart. Attach the school catalog.'","9.Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    '","2.12","0","8.0","8.0","1","1","0","1","1","1","1","1","1","0",""
"9.Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    Report the following information for the current school year by grades. Report all costs in the currency used for payment and specify the currency. Cost of basic tuition. Only include costs for required courses. Cost of books and supplies required by the school, if not included in basic tuition. Include costs such as book rental fees, but do not include items that students in U.S. public schools normally pay for e.g., pencils, paper, and books for summer/supplemental reading. Cost of transportation between home and school by the most commonly used method, if not included in basic tuition. Attach the provider's transportation invoices. When privately owned vehicles POVs are used for daily school transportation, report the mileage of a one-way trip between the farthest pick-up point and the school. Most commonly used method of transportation between home and school e.g., school bus, POVs.    '","Costs for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School Year'","-20.62","0","8.0","8.0","0","0","0","1","1","1","1","1","1","0",""
"Costs for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School YearCosts for the Current School Year'","Applicable GradesApplicable GradesBasic TuitionBasic TuitionBasic TuitionBooks and SuppliesBooks and SuppliesBooks and SuppliesTransportation Mileage for POVsMethod of Transportation Between Home and School'","0.12","-23","8.0","8.0","1","0","0","0","1","0","1","1","1","0",""
"Applicable GradesApplicable GradesBasic TuitionBasic TuitionBasic TuitionBooks and SuppliesBooks and SuppliesBooks and SuppliesTransportation Mileage for POVsMethod of Transportation Between Home and School'","Example:Example:'","-22.62","0","8.0","8.0","0","0","0","1","0","0","1","1","1","0",""
"Example:Example:'","K-3K-3Yen 1,922,0000Yen 1,922,0000Yen 1,922,0000~~Yen 0 incl. In tuition~~~~Yen 0 incl. In tuition~~~~Yen 0 incl. In tuition~~Yen 315,000School Bus'","0.0","22","8.0","8.0","0","1","0","0","0","1","1","1","1","0",""
"K-3K-3Yen 1,922,0000Yen 1,922,0000Yen 1,922,0000~~Yen 0 incl. In tuition~~~~Yen 0 incl. In tuition~~~~Yen 0 incl. In tuition~~Yen 315,000School Bus'","DS-63'","1.12","-23","8.0","8.0","0","0","0","0","1","1","1","0","0","0",""
"DS-63'","12-2005 Page 1 of 2'","-2.25","0","8.0","8.0","1","0","0","1","1","1","0","0","0","1",""
"10.Report the costs in the currency used for payment and specify the currency for each field trip included in basic tuition for the current school year. Provide a description for each field trip. Include information regarding the location or destination of the field trip.Col3Col4Col5Col6Col7Col8Col9Col10Col11Col12Col13Col14Col15Col16Col17Col18'","Field TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField Trips'","0.29","225","8.0","8.0","0","0","0","0","1","1","1","1","1","0",""
"Field TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField TripsField Trips'","DescriptionDescriptionDescriptionLocation/Destination Location/Destination Location/Destination Location/Destination Applicable GradesApplicable GradesApplicable GradesApplicable GradesApplicable GradesApplicable GradesCostCostCostCostCost'","0.86","-202","8.0","8.0","1","0","0","0","1","1","1","1","1","0",""
"DescriptionDescriptionDescriptionLocation/Destination Location/Destination Location/Destination Location/Destination Applicable GradesApplicable GradesApplicable GradesApplicable GradesApplicable GradesApplicable GradesCostCostCostCostCost'","Example:Example:Example:'","12.86","-44","8.0","8.0","0","0","0","0","1","0","1","1","1","0",""
"Example:Example:Example:'","Trip to the Tokyo Science MuseumTrip to the Tokyo Science MuseumTrip to the Tokyo Science MuseumTokyo, Japan Local TripTokyo, Japan Local TripTokyo, Japan Local TripTokyo, Japan Local Trip5-65-65-65-65-65-6Yen 400Yen 400Yen 400Yen 400Yen 400'","1.0","0","8.0","8.0","0","1","0","1","0","1","1","1","1","0",""
