"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"unrestricted use, distribution, and reproduction in any medium, provided the'","original author and source are credited.'","-20.31","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"original author and source are credited.'","Altern Integ Med'","1.12","-266","1.0","0","1","0","0","0","1","0","0","0","1",""
"Altern Integ Med'","Volume 2 • Issue 3 • 1000111'","-1.5","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Volume 2 • Issue 3 • 1000111'","ISSN:2327-5162 AIM, an open access journal'","-1.5","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic'","Medicine. Altern Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111'","-12.4","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Medicine. Altern Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111'","Page 2 of 16'","-12.4","0","1.0","0","0","0","1","1","1","0","0","0","1",""
"Page 2 of 16'","part of the traditional Chinese medicine TCM dating back to at least'","1.8","-34","0.0","0","0","1","0","1","0","0","0","0","1",""
"part of the traditional Chinese medicine TCM dating back to at least'","2,000 years 2.'","-33.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"2,000 years 2.'","In the middle east, Arabic writers report that cupping therapy'","-33.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"In the middle east, Arabic writers report that cupping therapy'","dates back to 3500 B.C. 5500 years ago, where Assyrians were the first'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"dates back to 3500 B.C. 5500 years ago, where Assyrians were the first'","Arab population to use primitive tools as animal horns and bamboo'","-33.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Arab population to use primitive tools as animal horns and bamboo'","wood for cupping therapy then the Chinese physician, Jee Hong 381281 B.C. was among the leaders in that art. Arabic civilization termed'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"wood for cupping therapy then the Chinese physician, Jee Hong 381281 B.C. was among the leaders in that art. Arabic civilization termed'","cupping therapy, Al-hijamah therapy which means in Arabic: to'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping therapy, Al-hijamah therapy which means in Arabic: to'","restore to the original size, where it was used in treating hypertension,'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"restore to the original size, where it was used in treating hypertension,'","polycythemia, headache, migraine and drug intoxication. They'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"polycythemia, headache, migraine and drug intoxication. They'","diagnosed polycythemia whenever there was an exaggeration of the'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"diagnosed polycythemia whenever there was an exaggeration of the'","pink color of the skin 7. Interestingly, venesection phlebotomy is'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"pink color of the skin 7. Interestingly, venesection phlebotomy is'","still being used currently in hospitals for treating polycythemia, where'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"still being used currently in hospitals for treating polycythemia, where'","blood is drawn out and is replaced by saline infusion 8.'","-33.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"blood is drawn out and is replaced by saline infusion 8.'","Ancient Egyptians were reported to practice cupping therapy'","0.8","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Ancient Egyptians were reported to practice cupping therapy'","earlier than many old civilizations, where cupping therapy was one of'","-7.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"earlier than many old civilizations, where cupping therapy was one of'","the oldest known medical therapies in ancient Egypt. The first report'","-7.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"the oldest known medical therapies in ancient Egypt. The first report'","of using cupping therapy in ancient Egypt dates back to 1550 B.C.'","-0.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"of using cupping therapy in ancient Egypt dates back to 1550 B.C.'","more than 3500 years ago where drawings on the famous Egyptian'","-0.4","0","0.0","1","1","1","1","0","0","0","0","0","1",""
"more than 3500 years ago where drawings on the famous Egyptian'","papyrus paper Ebers paper and ancient Egyptian temples showed that'","-9.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"papyrus paper Ebers paper and ancient Egyptian temples showed that'","Egyptians were advanced in treatment using cupping therapy. Cupping'","-9.6","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Egyptians were advanced in treatment using cupping therapy. Cupping'","therapy was also used in ancient Greek medicine 9,10.'","-9.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy was also used in ancient Greek medicine 9,10.'","In 400 B.C., Herodotus a Greek historian recorded that the ancient'","1.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"In 400 B.C., Herodotus a Greek historian recorded that the ancient'","Egyptian physicians who recommended the application of sucking cups'","-14.2","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Egyptian physicians who recommended the application of sucking cups'","to the body already used both wet cupping therapy and dry cupping'","-14.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"to the body already used both wet cupping therapy and dry cupping'","therapy. Diseases treated by cupping therapy included headache, lack'","-14.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy. Diseases treated by cupping therapy included headache, lack'","of appetite, maldigestion, fainting, abscess evacuation, narcolepsy'","-14.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"of appetite, maldigestion, fainting, abscess evacuation, narcolepsy'","repeated sleepy desires and others 11.'","-14.2","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"repeated sleepy desires and others 11.'","In 3300 BC, in Ancient Macedonia, cupping therapy had been used'","0.8","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"In 3300 BC, in Ancient Macedonia, cupping therapy had been used'","since prehistoric times to treat diseases and health disorders 12,13.'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"since prehistoric times to treat diseases and health disorders 12,13.'","In the United States, there is a progressive increase in the use of'","-64.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"In the United States, there is a progressive increase in the use of'","cupping therapy and other types of complementary medicine 14. In'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping therapy and other types of complementary medicine 14. In'","a recent report from Harvard medical school about pediatric patients'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"a recent report from Harvard medical school about pediatric patients'","suffering from chronic severe pain, authors reported that cupping and'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"suffering from chronic severe pain, authors reported that cupping and'","acupuncture treatment were pleasant and helpful for pain treatment'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"acupuncture treatment were pleasant and helpful for pain treatment'","15.'","-64.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"15.'","Currently, most widely used practice for cupping therapy is in'","-64.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Currently, most widely used practice for cupping therapy is in'","China. Cupping therapy is considered by Chinese to be part of the'","-64.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"China. Cupping therapy is considered by Chinese to be part of the'","traditional Chinese medicine TCM. Chinese hospitals recognized'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"traditional Chinese medicine TCM. Chinese hospitals recognized'","cupping therapy as a formal modality of treatment since 1950 3.'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping therapy as a formal modality of treatment since 1950 3.'","Currently, medical practitioners in China and Mongolia are practicing'","-64.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Currently, medical practitioners in China and Mongolia are practicing'","cupping therapy for treating hypertension, neck pain, headache,'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping therapy for treating hypertension, neck pain, headache,'","chronic hepatitis, ophthalmic diseases, skin diseases and infectious'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"chronic hepatitis, ophthalmic diseases, skin diseases and infectious'","diseases 16.'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"diseases 16.'","Loukas et al. recently reported that knowledge gained from religious'","-64.0","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Loukas et al. recently reported that knowledge gained from religious'","texts Qur’an and Hadeeth may guide attention of researchers to start'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"texts Qur’an and Hadeeth may guide attention of researchers to start'","research and get some benefits when comparing such knowledge'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"research and get some benefits when comparing such knowledge'","with modern medical knowledge. Prophetic medicine is the medical'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"with modern medical knowledge. Prophetic medicine is the medical'","knowledge gained from sayings, advices and teachings of Prophet'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"knowledge gained from sayings, advices and teachings of Prophet'","Mohammad peace be upon him, 17,18 which recommended many'","-64.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"Mohammad peace be upon him, 17,18 which recommended many'","lines of treatment as cupping therapy: If there is a benefit in any of your'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"lines of treatment as cupping therapy: If there is a benefit in any of your'","treatment modalities, benefit will be in the blade puncture in cupping'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"treatment modalities, benefit will be in the blade puncture in cupping'","therapy, a gulp of honey and cauterizing, but I do not like cauterization'","-64.0","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"therapy, a gulp of honey and cauterizing, but I do not like cauterization'","17,18.'","-64.0","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"17,18.'","Cupping therapy is effective in treatment of incurable medical'","-132.6","271","1.0","0","1","0","0","0","0","0","0","0","1",""
"Cupping therapy is effective in treatment of incurable medical'","conditions'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"conditions'","Cupping therapy was reported to treat medical conditions as herpes'","-132.6","0","-1.0","0","0","0","1","0","0","0","0","0","1",""
"Cupping therapy was reported to treat medical conditions as herpes'","zoster 19, vitiligo 20, hypertension 1,21,22, rheumatoid arthritis'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"zoster 19, vitiligo 20, hypertension 1,21,22, rheumatoid arthritis'","23,24, headache and migraine 13,25. Cupping therapy was reported'","-132.6","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"23,24, headache and migraine 13,25. Cupping therapy was reported'","to relieve pain of dysmenorrhoea 26, acute trigeminal neuralgia 27,'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"to relieve pain of dysmenorrhoea 26, acute trigeminal neuralgia 27,'","chronic osteoarthritis 10, carpal tunnel syndrome 4, fibrositis 28,'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"chronic osteoarthritis 10, carpal tunnel syndrome 4, fibrositis 28,'","firomyalgia 6,29-31, cervical spondylosis, lumbar disc herniation 3,'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"firomyalgia 6,29-31, cervical spondylosis, lumbar disc herniation 3,'","brachialgia paraesthetica nocturna 32, chronic non-specific neck pain'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"brachialgia paraesthetica nocturna 32, chronic non-specific neck pain'","33-35, persistent non-specific low back pain 36 and pain of acute'","-132.6","0","0.0","1","0","0","1","0","0","0","0","0","1",""
"33-35, persistent non-specific low back pain 36 and pain of acute'","gouty arthritis 37.'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"gouty arthritis 37.'","Wet cupping therapy Al-hijamah has solid scientific and medical'","-132.6","0","0.0","1","1","0","1","0","0","0","0","0","1",""
"Wet cupping therapy Al-hijamah has solid scientific and medical'","bases according to Taibah theory suggested by Salah M. El Sayed. Wet'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"bases according to Taibah theory suggested by Salah M. El Sayed. Wet'","cupping therapy is as an artificial surgical excretory procedure that'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"cupping therapy is as an artificial surgical excretory procedure that'","clears blood and interstitial fluids from CPS. It opens skin barrier,'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
"clears blood and interstitial fluids from CPS. It opens skin barrier,'","enhances natural excretory functions of the skin, enhances immunity'","-132.6","0","0.0","1","0","1","1","0","0","0","0","0","1",""
