"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"The reference medicinal products listed above must belong to the same Global Marketing Authorisation,'","dossier. When there are any differences between products indicated under second and third indent of this'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"dossier. When there are any differences between products indicated under second and third indent of this'","section, the applicant should justify in Part 1C the relevance of the bioequivalence data.'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"section, the applicant should justify in Part 1C the relevance of the bioequivalence data.'","Please refer to Notice to Applicants, Volume 6A, Chapter 1 for further guidance.'","-28.67","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Please refer to Notice to Applicants, Volume 6A, Chapter 1 for further guidance.'","For each of the reference medicinal products in this section the applicant should indicate all the particulars'","-28.67","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"For each of the reference medicinal products in this section the applicant should indicate all the particulars'","1.3.3. Article 133 hybrid application'","1.0","0","11.04","12.0","0.96","0","0","0","1","1","1","0","0","0","1",""
"1.3.3. Article 133 hybrid application'","or European reference medicinal product” – medicinal product, on which the product information of'","-49.83","35","12.0","11.04","-0.96","0","0","1","0","1","1","0","0","0","1",""
"or European reference medicinal product” – medicinal product, on which the product information of'","the hybrid product is based;'","-8.83","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"the hybrid product is based;'","change in the active substances,'","-0.25","-35","11.04","11.04","0.0","1","0","1","0","1","1","0","0","0","1",""
"change in the active substances,'","change in therapeutic indications,'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"change in therapeutic indications,'","change in pharmaceutical form,'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"change in pharmaceutical form,'","form.'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"form.'","changes in the raw materials,'","-28.67","0","11.04","11.04","0.0","1","1","1","1","1","1","0","0","0","1",""
"changes in the raw materials,'","other changes'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"other changes'","in force and to which comparability tests and studies have been conducted ” – medicinal product used'","-28.67","0","11.04","11.04","0.0","0","0","1","1","1","1","0","0","0","1",""
"in force and to which comparability tests and studies have been conducted ” – medicinal product used'","as the reference product in comparability tests and studies.'","-28.67","0","11.04","11.04","0.0","0","0","1","1","1","1","0","0","0","1",""
"as the reference product in comparability tests and studies.'","The reference medicinal product to which comparability tests and studies have been conducted must be'","-28.67","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"The reference medicinal product to which comparability tests and studies have been conducted must be'","authorised in the EEA. When a non-EEA authorised comparator has been used for certain clinical or in vivo'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"authorised in the EEA. When a non-EEA authorised comparator has been used for certain clinical or in vivo'","non-clinical studies in the comparability programme, it must be clearly identified but should not be additionally'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"non-clinical studies in the comparability programme, it must be clearly identified but should not be additionally'","listed under third indent of this section of the application form. The “Guideline on similar biological medicinal'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"listed under third indent of this section of the application form. The “Guideline on similar biological medicinal'","products” should be consulted on the acceptability of a Non-EU comparator.'","-28.67","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
"products” should be consulted on the acceptability of a Non-EU comparator.'","This applies for fixed combinations of known substances. If not, section 1.3.1 is suitable for combinations'","1.0","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"This applies for fixed combinations of known substances. If not, section 1.3.1 is suitable for combinations'","guidance.'","-11.58","0","11.04","11.04","0.0","1","0","1","1","1","1","0","0","0","1",""
