"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Particulars as given in the application have been verified with the records.'","Signature of SPM/PM with designation stamp.'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Signature of SPM/PM with designation stamp.'","Part-II'","-61.83","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Part-II'","Duplicate pass book may be issued / may not be issued.'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Duplicate pass book may be issued / may not be issued.'","Signature of Postmaster with designation stamp'","-61.83","0","11.04","11.04","0.0","1","1","0","1","1","1","0","0","0","1",""
"Signature of Postmaster with designation stamp'","Part-III'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Part-III'","Duplicate pass book of Account No. …………………………………. with balance Rs. ………………………received on'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Duplicate pass book of Account No. …………………………………. with balance Rs. ………………………received on'","…………………………….'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"…………………………….'","Date Stamp of PO Signature/Thumb Impression of account holders'","-61.83","0","11.04","11.04","0.0","0","1","0","1","1","1","0","0","0","1",""
"Date Stamp of PO Signature/Thumb Impression of account holders'","Witness  In case of illiterate depositors'","-61.83","0","11.04","11.04","0.0","0","0","0","1","1","1","0","0","0","1",""
"Witness  In case of illiterate depositors'","Signature of witness'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
"Signature of witness'","Name and Full Address of witness.'","-61.83","0","11.04","11.04","0.0","1","0","0","1","1","1","0","0","0","1",""
