"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_diff","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye'","Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.'","This document was formally approved for release by the General Assembly of the ISTQB® on May 31,'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,'","2014.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"2014.'","Version 2014 Page 5 of 12 May 31, 2014'","-58.58","0","0.0","0","1","0","1","1","1","0","0","0","1",""
"Version 2014 Page 5 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-58.58","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","1. Introduction to the Foundation Level Extensions'","-58.58","0","6.0","1","0","0","1","1","1","0","0","0","1",""
"1. Introduction to the Foundation Level Extensions'","This overview document is intended for anyone with an interest in the ISTQB Foundation Level'","-58.58","0","-6.0","1","0","0","1","1","1","0","0","0","1",""
"This overview document is intended for anyone with an interest in the ISTQB Foundation Level'","Extensions who wants a high-level introduction to the leading principles and an overview of the individual'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Extensions who wants a high-level introduction to the leading principles and an overview of the individual'","extension syllabi.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"extension syllabi.'","From time to time, ISTQB will update this document to reflect any additional extensions that shall be'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be'","introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the'","updated document will be available on the ISTQB website.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"updated document will be available on the ISTQB website.'","The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for'","some time. New topics emerge due to technology and methodology changes in the market which often'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"some time. New topics emerge due to technology and methodology changes in the market which often'","are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the'","Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the'","ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and'","introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but'","that is beyond the scope of this document.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"that is beyond the scope of this document.'","The following Foundation Level Extension syllabus has been released:'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"The following Foundation Level Extension syllabus has been released:'","Agile Tester'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"Agile Tester'","In this document, each Foundation Level Extension syllabus is summarized and the associated Business'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business'","Outcomes are stated. The Business Outcomes communicate what can be expected from a person who'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Outcomes are stated. The Business Outcomes communicate what can be expected from a person who'","achieves a Foundation Level Extension Certification in a particular subject area e.g., Agile Tester, and'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"achieves a Foundation Level Extension Certification in a particular subject area e.g., Agile Tester, and'","will outline the benefits for companies that are considering the development of specific testing skills at this'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"will outline the benefits for companies that are considering the development of specific testing skills at this'","level.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"level.'","Version 2014 Page 6 of 12 May 31, 2014'","-58.58","0","0.0","0","1","0","1","1","1","0","0","0","1",""
"Version 2014 Page 6 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-58.58","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-38.6","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-38.6","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-38.6","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","2. Introduction to Foundation Level Agile Tester Extension'","-38.6","0","6.0","1","0","0","1","1","1","0","0","0","1",""
"2. Introduction to Foundation Level Agile Tester Extension'","The certification for Foundation Level Extension – Agile Tester is designed for professionals who are'","-38.6","0","-6.0","1","0","0","1","1","1","0","0","0","1",""
"The certification for Foundation Level Extension – Agile Tester is designed for professionals who are'","working within Agile environments. It is also for professionals who are planning to start implementing'","-38.6","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"working within Agile environments. It is also for professionals who are planning to start implementing'","Agile methods in the near future, or are working within companies that plan to do so, The certification'","-38.6","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Agile methods in the near future, or are working within companies that plan to do so, The certification'","provides an advantage for those who would like to know the required Agile activities, roles, methods, and'","-38.6","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and'","methodologies specific to their role.'","-38.6","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"methodologies specific to their role.'","2.1 Intended Audience'","-38.6","0","4.08","1","1","0","1","1","1","0","0","0","1",""
"2.1 Intended Audience'","The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:'","1.0","0","-4.08","1","0","0","1","1","1","0","0","0","1",""
"The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:'","1. Professionals who have achieved in-depth testing experience in traditional methods and would'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"1. Professionals who have achieved in-depth testing experience in traditional methods and would'","like to get an Agile Tester Certificate.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"like to get an Agile Tester Certificate.'","2. Junior professional testers who are just starting in the testing profession, have received the'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"2. Junior professional testers who are just starting in the testing profession, have received the'","Foundation Level certificate, and would like to know more about the tester’s role in an Agile'","-101.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile'","environment.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"environment.'","3. Professionals who are relatively new to testing and are required to implement test approaches,'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"3. Professionals who are relatively new to testing and are required to implement test approaches,'","methods and techniques in their day to day job in Agile projects.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"methods and techniques in their day to day job in Agile projects.'","4. Professionals who are experienced in their role including unit testing and need more'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"4. Professionals who are experienced in their role including unit testing and need more'","understanding and knowledge about how to perform and manage testing on all levels in Agile'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"understanding and knowledge about how to perform and manage testing on all levels in Agile'","projects.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"projects.'","These professionals include people who are in roles such as testers, test analysts, test engineers, test'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"These professionals include people who are in roles such as testers, test analysts, test engineers, test'","consultants, test managers, user acceptance testers, and software developers.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"consultants, test managers, user acceptance testers, and software developers.'","This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who'","wants a deeper understanding of software testing in the Agile world, such as project managers, quality'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality'","managers, software development managers, business analysts, IT directors, and management'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"managers, software development managers, business analysts, IT directors, and management'","consultants.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"consultants.'","2.2 Career Paths for Testers'","-101.0","0","4.08","1","1","0","1","1","1","0","0","0","1",""
"2.2 Career Paths for Testers'","Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for'","-101.0","0","-4.08","1","0","0","1","1","1","0","0","0","1",""
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for'","professional testers. A person with the Agile Tester certificate has extended the broad understanding of'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"professional testers. A person with the Agile Tester certificate has extended the broad understanding of'","testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in'","an Agile project.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"an Agile project.'","People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified'","Tester Foundation Level acronym CTFL-AT.'","-101.0","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Tester Foundation Level acronym CTFL-AT.'","2.3 Learning Objectives'","-101.0","0","4.08","1","1","0","1","1","1","0","0","0","1",""
"2.3 Learning Objectives'","In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,'","-101.0","0","-4.08","1","0","0","1","1","1","0","0","0","1",""
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,'","remember and recall terms and concepts stated in the Foundation Level syllabus.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"remember and recall terms and concepts stated in the Foundation Level syllabus.'","In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an'","-101.0","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an'","extension exam.'","-101.0","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"extension exam.'","Version 2014 Page 7 of 12 May 31, 2014'","-101.0","0","0.0","0","1","0","1","1","1","0","0","0","1",""
"Version 2014 Page 7 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-101.0","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","That said, each extension level exam focuses on the learning objectives defined in that extension'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"That said, each extension level exam focuses on the learning objectives defined in that extension'","syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each'","chapter within each particular extension syllabus.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"chapter within each particular extension syllabus.'","2.4 Entry Requirements'","-58.58","0","4.08","1","1","0","1","1","1","0","0","0","1",""
"2.4 Entry Requirements'","To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have'","-58.58","0","-4.08","1","0","0","1","1","1","0","0","0","1",""
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have'","obtained the ISTQB Foundation Level certificate.'","-58.58","0","0.0","1","0","1","1","1","1","0","0","0","1",""
"obtained the ISTQB Foundation Level certificate.'","2.5 Structure and Course Duration'","-58.58","0","4.08","1","1","0","1","1","1","0","0","0","1",""
"2.5 Structure and Course Duration'","The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the'","-58.58","0","-4.08","1","0","0","1","1","1","0","0","0","1",""
"The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the'","Foundation Level syllabus.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level syllabus.'","The syllabi must be taught in the following minimum number of days:'","-58.58","0","0.0","1","1","0","1","1","1","0","0","0","1",""
"The syllabi must be taught in the following minimum number of days:'","SyllabusDays'","-58.58","0","0.0","0","1","0","1","1","1","0","1","0","0",""
"SyllabusDays'","Baseline: Foundation3'","-58.58","0","0.0","0","0","0","1","1","1","1","1","1","0",""
"Baseline: Foundation3'","Extension: Agile Tester2'","-58.58","0","0.0","1","0","0","1","1","1","1","1","1","0",""
"Extension: Agile Tester2'","The following figure shows the structure of the Agile Tester Extension and its relationship to the'","-58.58","0","0.0","1","0","0","1","1","1","1","0","0","0",""
"The following figure shows the structure of the Agile Tester Extension and its relationship to the'","Foundation Level.'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level.'","Version 2014 Page 8 of 12 May 31, 2014'","-58.58","0","0.0","0","1","0","1","1","1","0","0","0","1",""
"Version 2014 Page 8 of 12 May 31, 2014'","© International Software Testing Qualifications Board'","-58.58","0","-3.96","0","0","0","1","1","1","0","0","0","1",""
"International'","Overview'","-58.58","0","2.04","1","0","0","1","1","1","0","0","0","1",""
"Overview'","Software Testing'","-58.58","0","-2.04","1","0","0","1","1","1","0","0","0","1",""
"Software Testing'","Foundation Level Extension – Agile Tester Qualifications Board'","-58.58","0","0.0","1","0","0","1","1","1","0","0","0","1",""
"Foundation Level Extension – Agile Tester Qualifications Board'","2.6 Keeping It Current'","-58.58","0","4.08","1","0","0","1","1","1","0","0","0","1",""
