"text_a","text_b","normalized_vertical_gap","indentation_change","font_size_a","font_size_b","same_font","line_a_ends_punctuation","line_b_starts_lowercase","same_alignment","is_centered_A","is_centered_B","is_linea_in_rectangle","is_lineb_in_rectangle","both_in_table","neither_in_table","label"
"to their high fault tolerance and torque density. Two different'","configurations are often adopted: single layer SL and double'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"configurations are often adopted: single layer SL and double'","layer DL. For SL, each slot is filled with one phase winding,'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"layer DL. For SL, each slot is filled with one phase winding,'","while for DL, two phases can share the same slot. Accordingly,'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"while for DL, two phases can share the same slot. Accordingly,'","many research papers advise adopting SL in fault-tolerant'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"many research papers advise adopting SL in fault-tolerant'","PMSMs, rather than DL, because SL offers higher physical,'","-13.87","0","8.97","8.97","1","0","0","1","0","0","0","0","0","1",""
"PMSMs, rather than DL, because SL offers higher physical,'","thermal, and electromagnetic isolation between phases. However,'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"thermal, and electromagnetic isolation between phases. However,'","the lower the thermal isolation, as for DL, the greater the'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"the lower the thermal isolation, as for DL, the greater the'","heat transfer. This could be expected to reduce the temperature'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"heat transfer. This could be expected to reduce the temperature'","differences between phases, and hence the hot-spot temperatures'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"differences between phases, and hence the hot-spot temperatures'","under unbalanced conditions such as faults. Thus, the established'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"under unbalanced conditions such as faults. Thus, the established'","preference of SL over DL for fault-tolerant PMSMs may be ques-'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"preference of SL over DL for fault-tolerant PMSMs may be ques-'","tioned, and further analysis is necessary. This paper compares the'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"tioned, and further analysis is necessary. This paper compares the'","temperature distribution of six-phase PMSMs between SL and'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"temperature distribution of six-phase PMSMs between SL and'","DL FSCWs under both healthy and faulty conditions, considering'","-13.87","0","8.97","8.97","1","0","0","1","0","0","0","0","0","1",""
"DL FSCWs under both healthy and faulty conditions, considering'","open-circuit and short-circuit interturn winding faults. For'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"open-circuit and short-circuit interturn winding faults. For'","accurate results, finite-element analysis and computational fluid'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"accurate results, finite-element analysis and computational fluid'","dynamics are employed for the loss calculation and thermal'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"dynamics are employed for the loss calculation and thermal'","simulation, respectively.'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"simulation, respectively.'","Index Terms —Fault tolerance, fractional-slot concentrated'","-13.87","0","8.97","8.97","0","1","0","1","0","0","0","0","0","1",""
"Index Terms —Fault tolerance, fractional-slot concentrated'","winding, six-phase permanent-magnet synchronous machine,'","-13.87","0","8.97","8.97","0","0","1","1","0","0","0","0","0","1",""
"winding, six-phase permanent-magnet synchronous machine,'","thermal model.'","-13.87","0","8.97","8.97","1","0","1","1","0","0","0","0","0","1",""
"thermal model.'","I. I NTRODUCTION'","-13.87","0","8.97","9.96","0","1","0","1","0","0","0","0","0","1",""
"I. I NTRODUCTION'","Multiphase permanent-magnet PM synchronous machines'","-13.87","0","9.96","8.97","0","0","0","1","0","0","0","0","0","1",""
"Multiphase permanent-magnet PM synchronous machines'","PMSMs are versatilely deployed, compared with three-phase'","-13.87","0","8.97","9.96","0","0","0","1","0","0","0","0","0","1",""
"PMSMs are versatilely deployed, compared with three-phase'","ones, in high-performance and high-reliability applications'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"ones, in high-performance and high-reliability applications'","such as electric vehicles, ship propulsion, and aerospace due'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"such as electric vehicles, ship propulsion, and aerospace due'","to their great fault tolerance, reduced torque ripple, better'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"to their great fault tolerance, reduced torque ripple, better'","dc-link utilization, and multiple fault-tolerant FT control'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"dc-link utilization, and multiple fault-tolerant FT control'","strategies 1. To achieve an efficient PMSM design, the'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"strategies 1. To achieve an efficient PMSM design, the'","fractional-slot concentrated winding FSCW is adopted in the'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"fractional-slot concentrated winding FSCW is adopted in the'","This work was supported in part by the Government of Galicia'","-13.87","0","9.96","7.97","1","0","0","1","0","0","0","0","0","1",""
"This work was supported in part by the Government of Galicia'","under the grant GPC-ED431B 2023/12, and in part by the Spanish'","-13.87","0","7.97","7.97","1","0","1","1","0","0","0","0","0","1",""
"under the grant GPC-ED431B 2023/12, and in part by the Spanish'","State Research Agency MCIN/AEI/10.13039/501100011033/FEDER-UE under projects CNS2022-135773 and PID2022-136908OB-I00.'","-13.87","0","7.97","7.97","1","0","0","1","0","0","0","0","0","1",""
"State Research Agency MCIN/AEI/10.13039/501100011033/FEDER-UE under projects CNS2022-135773 and PID2022-136908OB-I00.'","stator because it offers shorter end-winding length, higher fill'","-13.87","263","7.97","9.96","1","1","1","0","0","0","0","0","0","1",""
"stator because it offers shorter end-winding length, higher fill'","factor and higher torque density compared with distributed'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"factor and higher torque density compared with distributed'","winding 2. Generally, FSCW can be designed with two different arrangements: single layer SL or double layer DL. In'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"winding 2. Generally, FSCW can be designed with two different arrangements: single layer SL or double layer DL. In'","principle, each slot is occupied with one coil side for SL, while'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"principle, each slot is occupied with one coil side for SL, while'","two coil sides can be included in each slot for DL 2, 3. SL'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"two coil sides can be included in each slot for DL 2, 3. SL'","produces higher harmonic content in back-electromotive force'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"produces higher harmonic content in back-electromotive force'","back-EMF and magnetomotive force MMF than DL, and'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"back-EMF and magnetomotive force MMF than DL, and'","thereby has a potentially higher overload torque capability than'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"thereby has a potentially higher overload torque capability than'","DL 3. In addition, the greater electric, magnetic, and thermal'","-13.87","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"DL 3. In addition, the greater electric, magnetic, and thermal'","isolation between SL phases is usually considered to make SL'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"isolation between SL phases is usually considered to make SL'","a more suitable candidate for FT PMSMs than DL 2–6. On'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"a more suitable candidate for FT PMSMs than DL 2–6. On'","the other hand, DL exhibits lower PM eddy-current and core'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the other hand, DL exhibits lower PM eddy-current and core'","losses and torque ripple 3.'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"losses and torque ripple 3.'","For safety-critical applications, the fault tolerance should be'","-13.87","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"For safety-critical applications, the fault tolerance should be'","ensured in multiphase PMSMs. Among various fault kinds,'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"ensured in multiphase PMSMs. Among various fault kinds,'","open-phase faults OPFs and short-circuit faults SCFs are'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"open-phase faults OPFs and short-circuit faults SCFs are'","commonly investigated in FT PMSMs 1. Some fault types'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"commonly investigated in FT PMSMs 1. Some fault types'","in multiphase drives, e.g., open-/short-circuit switch faults and'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"in multiphase drives, e.g., open-/short-circuit switch faults and'","high-resistance connections, can be adapted as OPFs 1. Some'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"high-resistance connections, can be adapted as OPFs 1. Some'","freedom degrees are missed under OPFs depending on the'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"freedom degrees are missed under OPFs depending on the'","fault locations, and thereby torque ripple usually increases'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"fault locations, and thereby torque ripple usually increases'","if the machine control is not adapted. With FT control, an'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"if the machine control is not adapted. With FT control, an'","enhanced performance can be achieved, in terms of maximizing torque production with ripple-free torque and minimizing'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"enhanced performance can be achieved, in terms of maximizing torque production with ripple-free torque and minimizing'","stator copper losses, by optimizing the phase currents 7.'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"stator copper losses, by optimizing the phase currents 7.'","However, some phases having higher rms current values than'","-13.87","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"However, some phases having higher rms current values than'","others tend to overheat, and hence, the torque capability is'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"others tend to overheat, and hence, the torque capability is'","constrained with the thermal limits 8. Operating PMSMs'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"constrained with the thermal limits 8. Operating PMSMs'","beyond their thermal limits can lead to insulation degradation'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"beyond their thermal limits can lead to insulation degradation'","and an increased risk of PM demagnetization 1. Thermal'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"and an increased risk of PM demagnetization 1. Thermal'","analysis under OPFs is therefore crucial for identifying localized hot-spot regions, enabling the development of effective'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"analysis under OPFs is therefore crucial for identifying localized hot-spot regions, enabling the development of effective'","FT control strategies that ensure better temperature distribution'","-13.87","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"FT control strategies that ensure better temperature distribution'","and reasonable machine derating 4, 8–10.'","-13.87","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"The thermal behavior of FT PMSMs under SCFs should'","also receive a great attention, because of the large resulting'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"also receive a great attention, because of the large resulting'","currents and losses. Most severely, one or more turns of a'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"currents and losses. Most severely, one or more turns of a'","specific phase may be short-circuited, which is termed as an'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"specific phase may be short-circuited, which is termed as an'","inter-turn fault ITF. The fault current in an ITF is inversely'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"inter-turn fault ITF. The fault current in an ITF is inversely'","proportional to the number of shorted turns 11 and depends'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"proportional to the number of shorted turns 11 and depends'","on its location, with closer to the slot opening being more'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"on its location, with closer to the slot opening being more'","critical 1, 12. For each phase driven by a separate fullbridge FB inverter commonly adopted in PMSMs 5, 6,'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"critical 1, 12. For each phase driven by a separate fullbridge FB inverter commonly adopted in PMSMs 5, 6,'","11, applying a terminal short circuit SC through the two'","-55.58","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"11, applying a terminal short circuit SC through the two'","upper/lower switches is the simplest remedial action to tolerate'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"upper/lower switches is the simplest remedial action to tolerate'","ITFs 12. The circulating SC current produces a flux linkage'","-55.58","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"ITFs 12. The circulating SC current produces a flux linkage'","opposing the PM flux linkage in the shorted turns 11.'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"opposing the PM flux linkage in the shorted turns 11.'","Alternatively, the mutual interaction between the faulty and'","-55.58","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"Alternatively, the mutual interaction between the faulty and'","healthy phases can be exploited to alleviate the SC current in'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"healthy phases can be exploited to alleviate the SC current in'","the shorted turns. To do so, the healthy-phase currents should'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the shorted turns. To do so, the healthy-phase currents should'","be adapted such that the mutual flux linkage of the healthy'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"be adapted such that the mutual flux linkage of the healthy'","phases nulls the PM flux linkage in the shorted turns 7.'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"phases nulls the PM flux linkage in the shorted turns 7.'","This method is more feasible for DL than for SL since the'","-55.58","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"This method is more feasible for DL than for SL since the'","mutual coupling between phases is higher 3. Accordingly,'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"mutual coupling between phases is higher 3. Accordingly,'","the remarks in 2–7 about the SL isolation being preferred'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the remarks in 2–7 about the SL isolation being preferred'","for FT PMSMs are questionable.'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"for FT PMSMs are questionable.'","To assess the thermal performance of a machine design,'","-55.58","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"To assess the thermal performance of a machine design,'","there are two main approaches, as follows. The well-known'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"there are two main approaches, as follows. The well-known'","lumped-parameter thermal networks are computationally efficient and offers reasonable accuracy only when thermal parameter estimation and loss calculations are accurate 13. On the'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"lumped-parameter thermal networks are computationally efficient and offers reasonable accuracy only when thermal parameter estimation and loss calculations are accurate 13. On the'","other hand, numerical methods based on either finite-element'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"other hand, numerical methods based on either finite-element'","analysis FEA or computational fluid dynamics CFD give'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"analysis FEA or computational fluid dynamics CFD give'","more precise thermal prediction, just at the cost of increased'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"more precise thermal prediction, just at the cost of increased'","computational burden 4, 8.'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"computational burden 4, 8.'","Many research works have used numerical analysis to assess'","-55.58","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"Many research works have used numerical analysis to assess'","the thermal performance of FT PMSMs either with SL 4 or'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the thermal performance of FT PMSMs either with SL 4 or'","DL 8 under healthy and faulty conditions. Bianchi et al. 5'","-55.58","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"DL 8 under healthy and faulty conditions. Bianchi et al. 5'","perform 2D thermal FEA of a five-phase PMSM with SL'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"perform 2D thermal FEA of a five-phase PMSM with SL'","under OPFs while keeping the rated copper losses. To achieve'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"under OPFs while keeping the rated copper losses. To achieve'","higher postfault torque, not only the healthy-phase currents'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"higher postfault torque, not only the healthy-phase currents'","surpass the rated value, but also the hot-spot temperature is'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"surpass the rated value, but also the hot-spot temperature is'","higher than that of rated healthy condition. On the contrary,'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"higher than that of rated healthy condition. On the contrary,'","Jiang et al. 8 evaluate the thermal performance of a fivephase PMSM with DL under minimum-loss ML currentcontrol strategy while respecting the maximum temperature'","-55.58","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"Jiang et al. 8 evaluate the thermal performance of a fivephase PMSM with DL under minimum-loss ML currentcontrol strategy while respecting the maximum temperature'","rise of rated healthy operation. In this manner, the healthyphase currents, under various OPF cases, can exceed the rated'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"rise of rated healthy operation. In this manner, the healthyphase currents, under various OPF cases, can exceed the rated'","machine current to increase the torque, while maintaining the'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"machine current to increase the torque, while maintaining the'","hot-spot temperature of rated normal operation. Furthermore,'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"hot-spot temperature of rated normal operation. Furthermore,'","an FT control method with an even temperature distribution'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"an FT control method with an even temperature distribution'","between faulty and healthy modules of a modular PMSM is'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"between faulty and healthy modules of a modular PMSM is'","proposed in 10. To achieve this, an electromagnetic-thermal'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"proposed in 10. To achieve this, an electromagnetic-thermal'","coupled model is used in the iterative algorithm to generate'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"coupled model is used in the iterative algorithm to generate'","the optimum module current. In the same context, the ML and'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the optimum module current. In the same context, the ML and'","maximum-torque MT current-control strategies are compared'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"maximum-torque MT current-control strategies are compared'","at rated healthy conditions from the thermal point of view'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"at rated healthy conditions from the thermal point of view'","in 4, 9. It has been found that MT exhibits higher maximum'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"in 4, 9. It has been found that MT exhibits higher maximum'","temperature rise than ML, because higher copper losses are'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"temperature rise than ML, because higher copper losses are'","obtained under MT to achieve the rated healthy torque. All'","-55.58","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"obtained under MT to achieve the rated healthy torque. All'","Fig. 1. Cross-sectional view for winding layouts of the FSCW 6PMSMs.'","-44.0","263","9.96","7.97","1","0","0","0","0","0","0","0","0","1",""
"Fig. 1. Cross-sectional view for winding layouts of the FSCW 6PMSMs.'","a SL. b DL.'","-44.0","0","7.97","7.97","1","1","1","1","0","0","0","0","0","1",""
"a SL. b DL.'","these works have investigated the temperature fields of multiphase PMSMs with a certain winding design under various FT'","-44.0","0","7.97","9.96","1","1","1","1","0","0","0","0","0","1",""
"these works have investigated the temperature fields of multiphase PMSMs with a certain winding design under various FT'","control methods without studying the influence of the winding'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"control methods without studying the influence of the winding'","configuration SL or DL on the thermal distribution. Namely,'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"configuration SL or DL on the thermal distribution. Namely,'","the thermal coupling between DL phases may play a crucial'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the thermal coupling between DL phases may play a crucial'","role in improving the heat exchange between phases sharing'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"role in improving the heat exchange between phases sharing'","the same slot. This could affect the temperature distribution'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"the same slot. This could affect the temperature distribution'","and the hot-spot temperatures substantially, which requires'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"and the hot-spot temperatures substantially, which requires'","further research.'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"further research.'","In this paper, the thermal behavior of both SL and DL'","-44.0","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"In this paper, the thermal behavior of both SL and DL'","windings is compared for six-phase PMSMs 6PMSMs under'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"windings is compared for six-phase PMSMs 6PMSMs under'","different scenarios such as healthy, OPF, and ITF. The CFD'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"different scenarios such as healthy, OPF, and ITF. The CFD'","analysis is performed using Ansys Fluent for each studied'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"analysis is performed using Ansys Fluent for each studied'","case. Furthermore, Ansys Maxwell is used to obtain the loss'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"case. Furthermore, Ansys Maxwell is used to obtain the loss'","model, which provides the heat sources in the thermal model.'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"model, which provides the heat sources in the thermal model.'","II. FSCW 6PMSM D ESIGN'","-44.0","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"II. FSCW 6PMSM D ESIGN'","For high-speed applications, a relatively low pole number is typically selected among the possible FSCW slotpole combinations 14. Since close values of slot and pole'","-44.0","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"For high-speed applications, a relatively low pole number is typically selected among the possible FSCW slotpole combinations 14. Since close values of slot and pole'","numbers achieve a high fundamental winding factor and a'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"numbers achieve a high fundamental winding factor and a'","high torque density 14, the 12-slot/10-pole and 12-slot/14pole combinations are usually considered in the FSCW PMSM'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"high torque density 14, the 12-slot/10-pole and 12-slot/14pole combinations are usually considered in the FSCW PMSM'","design. Nevertheless, the 12-slot/14-pole PMSM offers better'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"design. Nevertheless, the 12-slot/14-pole PMSM offers better'","field-weakening capability, higher power density, and greater'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"field-weakening capability, higher power density, and greater'","values of maximum speed, compared with the 12-slot/10pole counterpart 15. Moreover, it also results in reduced'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"values of maximum speed, compared with the 12-slot/10pole counterpart 15. Moreover, it also results in reduced'","torque ripple and lower material cost 14. Accordingly, the'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"torque ripple and lower material cost 14. Accordingly, the'","12-slot/14-pole FSCW 6PMSM is considered as a case study.'","-44.0","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"12-slot/14-pole FSCW 6PMSM is considered as a case study.'","It is designed with a high self-inductance such that the SC'","-44.0","0","9.96","9.96","1","1","0","1","0","0","0","0","0","1",""
"It is designed with a high self-inductance such that the SC'","current for a phase SC at rated speed is limited to the rated'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"current for a phase SC at rated speed is limited to the rated'","machine current. This design approach is favored for FT'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
"machine current. This design approach is favored for FT'","PMSMs without interrupted operation under SCFs 6. The'","-44.0","0","9.96","9.96","1","0","0","1","0","0","0","0","0","1",""
"PMSMs without interrupted operation under SCFs 6. The'","optimization methodology outlined in 15 is employed to'","-44.0","0","9.96","9.96","1","0","1","1","0","0","0","0","0","1",""
