text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
pages after extracting .,"[0, 0, 100, 20]",4,12.0,4,0,0.0105,0.3333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9942339416272412,0,,H2
separate files .,"[0, 0, 100, 20]",4,12.0,3,0,0.007,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9371523690680588,0,,H2
"pages, deselect both options.","[0, 0, 100, 20]",4,12.0,4,0,0.013,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9947169494831924,0,,H2
the dialog.,"[0, 0, 100, 20]",4,12.0,2,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9869383127469168,0,,H2
Extract random pages from a PDF,"[0, 0, 100, 20]",4,16.02,6,0,0.013,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999989490052,1,,H2
navigation pane of Acrobat.,"[0, 0, 100, 20]",4,12.0,4,0,0.012,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9743595804334472,0,,H3
SELECTED.,"[0, 0, 100, 20]",4,12.0,1,1,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999998282194972,5,,H3
Select the Extract pages under PAGE OPTIONS .,"[0, 0, 100, 20]",5,12.0,8,0,0.019,0.1428571428571428,0.5714285714285714,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9000875225598916,0,,H3
pages after extracting .,"[0, 0, 100, 20]",4,12.0,4,0,0.0105,0.3333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9942339416272412,0,,H3
separate files .,"[0, 0, 100, 20]",4,12.0,3,0,0.007,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9371523690680588,0,,H3
"pages, deselect both options.","[0, 0, 100, 20]",4,12.0,4,0,0.013,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9947169494831924,0,,H3
Split PDFs into multiple documents,"[0, 0, 100, 20]",6,24.0,5,0,0.015,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
bookmarks.,"[0, 0, 100, 20]",6,12.0,1,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9956087602829502,0,,H2
the Split operation.,"[0, 0, 100, 20]",6,12.0,3,0,0.009,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9827000754314944,0,,H2
"3. In the Split By list, select the criteria for dividing the document:","[0, 0, 100, 20]",6,12.0,13,0,0.0295,0.1538461538461538,0.2307692307692307,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9889470253839218,0,"{'type': 'numeric', 'depth': 1}",H2
Number of pages,"[0, 0, 100, 20]",6,12.0,3,0,0.0065,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9843445999045166,0,,H2
File Size,"[0, 0, 100, 20]",6,12.0,2,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9970544795514292,6,,H2
Top-level Bookmarks,"[0, 0, 100, 20]",6,12.0,2,0,0.009,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7829824734016875,0,,H2
bookmark.,"[0, 0, 100, 20]",6,12.0,1,0,0.0045,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9956966739696724,0,,H2
5. Select Split .,"[0, 0, 100, 20]",6,12.0,4,0,0.007,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9844507853899898,0,"{'type': 'numeric', 'depth': 1}",H2
Split multiple PDFs,"[0, 0, 100, 20]",6,16.02,3,0,0.0085,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999998996738,7,,H2
the Split operation.,"[0, 0, 100, 20]",6,12.0,3,0,0.009,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9827000754314944,0,,H3
"3. In the Split by list, select the criteria for dividing the document:","[0, 0, 100, 20]",6,12.0,13,0,0.0295,0.1538461538461538,0.1538461538461538,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9889470253839218,0,"{'type': 'numeric', 'depth': 1}",H3
Number of pages,"[0, 0, 100, 20]",6,12.0,3,0,0.0065,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9843445999045166,0,,H3
File Size,"[0, 0, 100, 20]",6,12.0,2,0,0.004,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9970544795514292,6,,H3
Top-level Bookmarks,"[0, 0, 100, 20]",6,12.0,2,0,0.009,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7829824734016875,0,,H3
bookmark.,"[0, 0, 100, 20]",6,12.0,1,0,0.0045,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9956966739696724,0,,H3
Move or copy pages in a PDF,"[0, 0, 100, 20]",8,24.0,7,0,0.0105,0.0,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
select a thumbnail and copy it as needed.,"[0, 0, 100, 20]",8,12.0,8,0,0.017,0.25,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9303255986887063,0,,H2
Move or copy a page,"[0, 0, 100, 20]",8,16.02,5,0,0.0075,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999999323586,1,,H2
are displayed in the Document area.,"[0, 0, 100, 20]",8,12.0,6,0,0.015,0.3333333333333333,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9854342725421088,0,,H3
3. Do one of the following:,"[0, 0, 100, 20]",8,12.0,6,0,0.011,0.1666666666666666,0.1666666666666666,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9962764530786136,0,"{'type': 'numeric', 'depth': 1}",H3
will be renumbered.,"[0, 0, 100, 20]",8,12.0,3,0,0.0085,0.6666666666666666,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9998964487465072,8,,H3
well.,"[0, 0, 100, 20]",8,12.0,1,0,0.0025,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9805476406102158,0,,H3
the right pane.,"[0, 0, 100, 20]",8,12.0,3,0,0.0065,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9383381120374876,0,,H3
Copy a page between two PDFs,"[0, 0, 100, 20]",8,16.02,6,0,0.0115,0.1666666666666666,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999990316352,1,,H2
1. Open both PDFs and display them alongside each other.,"[0, 0, 100, 20]",8,12.0,10,0,0.0235,0.1,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.779224825610873,0,"{'type': 'numeric', 'depth': 1}",H3
Document area.,"[0, 0, 100, 20]",8,12.0,2,0,0.0065,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9927924670070462,0,,H3
3. Select the page thumbnail of the page you want to cut or copy. To select multiple,"[0, 0, 100, 20]",8,12.0,17,0,0.034,0.2941176470588235,0.1176470588235294,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5366444067466801,0,"{'type': 'numeric', 'depth': 1}",H3
"the page thumbnail context menu, select Copy .","[0, 0, 100, 20]",8,12.0,8,0,0.0195,0.0,0.1428571428571428,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6984953344829291,0,,H3
want to paste. Right-select and choose Paste .,"[0, 0, 100, 20]",9,12.0,8,0,0.0195,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5316863298129807,0,,H3
into the Page Thumbnails panel of the target PDF.,"[0, 0, 100, 20]",9,12.0,9,0,0.0205,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8299497708537492,0,,H3
Delete or replace pages in a PDF,"[0, 0, 100, 20]",10,24.0,7,0,0.013,0.1428571428571428,0.2857142857142857,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
Delete multiple pages in a PDF,"[0, 0, 100, 20]",10,16.02,6,0,0.0125,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.999999999886827,1,,H2
Document area.,"[0, 0, 100, 20]",8,12.0,2,0,0.0065,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9927924670070462,0,,H3
"3. In the left pane, select Delete pages, and the select OK to confirm.","[0, 0, 100, 20]",10,12.0,14,0,0.029,0.0714285714285714,0.2142857142857142,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.788409598823433,0,"{'type': 'numeric', 'depth': 1}",H3
Delete a page in a PDF,"[0, 0, 100, 20]",11,16.02,6,0,0.0085,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999999006488,1,,H2
Document area.,"[0, 0, 100, 20]",8,12.0,2,0,0.0065,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9927924670070462,0,,H3
thumbnail.,"[0, 0, 100, 20]",11,12.0,1,0,0.005,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9956087602829502,0,,H3
Replace pages in a PDF,"[0, 0, 100, 20]",11,16.02,5,0,0.009,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999999281086,1,,H2
1. Open the PDF that contains the pages you want to replace.,"[0, 0, 100, 20]",11,12.0,12,0,0.0245,0.3333333333333333,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.6815715922794501,0,"{'type': 'numeric', 'depth': 1}",H3
Document area.,"[0, 0, 100, 20]",8,12.0,2,0,0.0065,0.0,0.5,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9927924670070462,0,,H3
"3. In the left tools pane, select Replace . The file explorer window appears.","[0, 0, 100, 20]",11,12.0,14,0,0.032,0.1538461538461538,0.2307692307692307,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8384648103582938,0,"{'type': 'numeric', 'depth': 1}",H3
4. Select the document containing the replacement pages.,"[0, 0, 100, 20]",11,12.0,8,0,0.0245,0.25,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.96088505133291,0,"{'type': 'numeric', 'depth': 1}",H3
original document.,"[0, 0, 100, 20]",11,12.0,2,0,0.0085,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9573380053971416,0,,H3
be replaced in the original document.,"[0, 0, 100, 20]",11,12.0,6,0,0.016,0.3333333333333333,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9556236056716046,0,,H3
7. Select OK .,"[0, 0, 100, 20]",11,12.0,4,0,0.0055,0.0,0.6666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9680602217670876,0,"{'type': 'numeric', 'depth': 1}",H3
Replace pages between multiple PDFs,"[0, 0, 100, 20]",11,16.02,5,0,0.0155,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999997265544,1,,H2
that contains the replacement pages.,"[0, 0, 100, 20]",11,12.0,5,0,0.016,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9841380786568248,0,,H3
the Document area.,"[0, 0, 100, 20]",11,12.0,3,0,0.008,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9833773245692572,0,,H3
"3. In the PDF containing the replacement pages, select a page or group of pages you","[0, 0, 100, 20]",12,12.0,16,0,0.034,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8803867703902593,0,"{'type': 'numeric', 'depth': 1}",H3
press Command and then select the pages.,"[0, 0, 100, 20]",12,12.0,7,0,0.017,0.1428571428571428,0.1428571428571428,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.943330846053642,0,,H3
4. Press Ctrl Windows or command macOS and then drag the selected page,"[0, 0, 100, 20]",12,12.0,13,0,0.029,0.2307692307692307,0.2307692307692307,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5142947229684353,0,"{'type': 'numeric', 'depth': 1}",H3
highlighted.,"[0, 0, 100, 20]",12,12.0,1,0,0.006,1.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999997675975654,9,,H3
pages.,"[0, 0, 100, 20]",12,12.0,1,0,0.003,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9959500373404684,0,,H3
Renumber pages in a PDF,"[0, 0, 100, 20]",13,24.0,5,0,0.0095,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,3,,H1
and so on.,"[0, 0, 100, 20]",13,12.0,3,0,0.004,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9720523319650636,0,,H2
footers feature.,"[0, 0, 100, 20]",13,12.0,2,0,0.0075,0.5,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999063616114812,8,,H2
"3. Select one of the following, and then select OK :","[0, 0, 100, 20]",13,12.0,11,0,0.021,0.0,0.2,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.901581957164996,0,"{'type': 'numeric', 'depth': 1}",H2
sequence from previous pages without interruption.,"[0, 0, 100, 20]",13,12.0,6,0,0.0225,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.795298092876193,0,,H2
Edit Scanned PDFs,"[0, 0, 100, 20]",14,24.0,3,0,0.0075,0.3333333333333333,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,1.0,10,,H1
scanned images.,"[0, 0, 100, 20]",14,12.0,2,0,0.007,0.5,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999082442041834,8,,H2
a scanned document:,"[0, 0, 100, 20]",14,12.0,3,0,0.0085,0.0,0.0,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9754360226920116,0,,H2
Text tool to improve the output.,"[0, 0, 100, 20]",14,12.0,6,0,0.0135,0.1666666666666666,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.920341307742806,0,,H2
"security from a PDF, see Unlock a PDF.","[0, 0, 100, 20]",14,12.0,8,0,0.0155,0.125,0.375,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9158142907891372,0,,H2
Recognize text on scanned PDF,"[0, 0, 100, 20]",14,16.02,5,0,0.0125,0.0,0.4,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999997579284,1,,H2
pages editable in one go. To do so:,"[0, 0, 100, 20]",14,12.0,8,0,0.014,0.25,0.125,1,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7057183161561104,0,,H3
started .,"[0, 0, 100, 20]",15,12.0,2,0,0.004,1.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9998426298401372,9,,H3
"2. From the left panel, under Recognize text, select In this file .","[0, 0, 100, 20]",15,12.0,13,0,0.0275,0.0,0.25,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5613964365525268,0,"{'type': 'numeric', 'depth': 1}",H3
"3. In the dialog that opens, select the pages that you want to apply text","[0, 0, 100, 20]",15,12.0,15,0,0.0295,0.2666666666666666,0.0666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8691342858389226,0,"{'type': 'numeric', 'depth': 1}",H3
