text,bbox,page_number,avg_font_size,word_count,is_all_caps,char_density,ratio_of_verbs,ratio_capitalized,ends_with_colon,is_bold,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,font_size_diff,same_font,is_bold_A,is_italic_A,is_monospace_A,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,title_label,model_labels,predicted_category,confidence_score,style_cluster_id,numbering_info,hierarchy_level
TABLE IV,"[0, 0, 100, 20]",5,7.97,2,1,0.0035,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9988601950710676,5,"{'type': 'keyword', 'depth': 1}",H1
T HERMAL M ODEL P ARAMETERS,"[0, 0, 100, 20]",5,7.97,6,1,0.011,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9911760984174468,6,,H2
for DL is mainly due to the heat exchange between the phases,"[0, 0, 100, 20]",5,9.96,12,0,0.0245,0.0833333333333333,0.0833333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.970084127003884,7,,H1
"sharing the same slot, and not to its reduction in losses.","[0, 0, 100, 20]",5,9.96,11,0,0.024,0.0909090909090909,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.980544238936382,7,,H1
B. OPF Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9653053702731542,4,"{'type': 'alpha', 'depth': 2}",H2
"Opening phase a makes it a passive phase, while the other","[0, 0, 100, 20]",5,9.96,11,0,0.0235,0.1818181818181818,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.940430681268315,7,,H1
healthy phases are active ones. The heat transfer between,"[0, 0, 100, 20]",5,9.96,9,0,0.0245,0.1111111111111111,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.968932508620274,7,,H1
active and passive phases can be better exploited for DL than,"[0, 0, 100, 20]",5,9.96,11,0,0.0255,0.1818181818181818,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9357129560561448,7,,H1
"the same slot. As depicted in Fig. 7, DL outperforms SL by","[0, 0, 100, 20]",5,9.96,12,0,0.0235,0.1666666666666666,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.5799913076622275,7,,H1
the losses of DL are manually forced as equal inputs for both,"[0, 0, 100, 20]",5,9.96,12,0,0.025,0.1666666666666666,0.0833333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9632493707885696,7,,H1
"SL and DL, as shown in Table V and Fig. 8, the maximum","[0, 0, 100, 20]",5,9.96,13,0,0.021,0.0769230769230769,0.3846153846153846,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7778842664433985,7,,H1
the relation of the DL temperature decrease with the higher,"[0, 0, 100, 20]",5,9.96,10,0,0.025,0.0,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.985402907305815,7,,H1
"thermal conductances of DL between phases, regardless of","[0, 0, 100, 20]",5,9.96,8,0,0.0245,0.0,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9916559871348816,7,,H1
the losses. It can also be noted from Fig. 7 that the hot-spot,"[0, 0, 100, 20]",5,9.96,13,0,0.025,0.1538461538461538,0.1428571428571428,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7506630791406447,7,,H1
"temperature of both designs is located at phase d, which has","[0, 0, 100, 20]",5,9.96,11,0,0.025,0.2727272727272727,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.98787873246902,7,,H1
the highest phase-current rms value see Fig. 4.,"[0, 0, 100, 20]",5,9.96,8,0,0.02,0.125,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.7736229271426415,7,,H1
C. ITF Case,"[0, 0, 100, 20]",3,9.96,3,0,0.0045,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9653053702731542,4,"{'type': 'alpha', 'depth': 2}",H2
Fig. 9 displays the temperature fields of both machines,"[0, 0, 100, 20]",5,9.96,9,0,0.0235,0.1111111111111111,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.939638664917385,7,,H1
under the ITF condition discussed in Section III-C. The hot,"[0, 0, 100, 20]",5,9.96,10,0,0.025,0.1,0.4545454545454545,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9838484443220852,7,,H1
spot temperature is higher than for the healthy and OPF cases.,"[0, 0, 100, 20]",5,9.96,11,0,0.026,0.0909090909090909,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9343839518395346,7,,H1
"Consequently, reducing this temperature is essential to avoid","[0, 0, 100, 20]",5,9.96,8,0,0.027,0.375,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9956247595688208,8,,H1
"problems like PM demagnetization, insulation degradation,","[0, 0, 100, 20]",5,9.96,6,0,0.026,0.0,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9983400981800866,7,,H1
the highest temperature with respect to other healthy phases,"[0, 0, 100, 20]",5,9.96,9,0,0.026,0.0,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9120876483723958,7,,H1
due to the excessive SC current in the faulty phase. It can be,"[0, 0, 100, 20]",5,9.96,13,0,0.025,0.0769230769230769,0.1538461538461538,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.762415034477464,7,,H1
"DL than for SL, mainly due to the higher copper losses of DL","[0, 0, 100, 20]",5,9.96,13,0,0.024,0.0,0.2307692307692307,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9171601293639556,7,,H1
"compared with SL in this case see Table III. Nevertheless, if","[0, 0, 100, 20]",5,9.96,11,0,0.0255,0.1818181818181818,0.3636363636363636,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9714832602589398,7,,H1
"the losses of SL are manually defined to match the DL losses,","[0, 0, 100, 20]",5,9.96,12,0,0.025,0.25,0.1666666666666666,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.980070345706274,7,,H1
thermal coupling between healthy and faulty phases for DL.,"[0, 0, 100, 20]",5,9.96,9,0,0.025,0.1111111111111111,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9236550127434924,7,,H1
V. C ONCLUSIONS,"[0, 0, 100, 20]",5,9.96,3,1,0.0065,0.0,1.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9999999999792965,3,"{'type': 'roman', 'depth': 1}",H1
"In this study, the steady-state temperature distribution of","[0, 0, 100, 20]",5,9.96,8,0,0.026,0.0,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9911363811606668,7,,H1
"operating cases healthy, OPF, and ITF. Under each case,","[0, 0, 100, 20]",5,9.96,9,0,0.0235,0.0,0.3333333333333333,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9883357479817456,7,,H1
both layouts are thermally compared twice: one at the same,"[0, 0, 100, 20]",5,9.96,10,0,0.0245,0.2,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8066654380270749,7,,H1
"rated torque and speed, and the other at the same input","[0, 0, 100, 20]",5,9.96,11,0,0.0225,0.0909090909090909,0.0,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.948289794030474,7,,H1
losses. Thanks to the reduction of the MMF harmonics for,"[0, 0, 100, 20]",5,9.96,10,0,0.0235,0.0,0.2,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9947874540625616,7,,H1
"under healthy and OPF conditions, respectively, compared","[0, 0, 100, 20]",5,9.96,7,0,0.025,0.1428571428571428,0.1428571428571428,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9958313955550812,7,,H1
"higher losses than SL, possibly due to the mutual flux linkage","[0, 0, 100, 20]",5,9.96,11,0,0.026,0.0,0.0909090909090909,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.8586488909524844,7,,H1
of healthy phases boosting the PM flux in shorted turns.,"[0, 0, 100, 20]",5,9.96,10,0,0.0235,0.1,0.1,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9568306610233468,7,,H1
"Thermally, the hot-spot temperature is notably reduced by","[0, 0, 100, 20]",5,9.96,8,0,0.025,0.25,0.1111111111111111,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9949796206814712,7,,H1
"under healthy and OPF cases, respectively, compared with","[0, 0, 100, 20]",5,9.96,8,0,0.0245,0.125,0.125,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.993591368129975,7,,H1
"SL. Under the ITF case, a much higher hot-spot temperature","[0, 0, 100, 20]",5,9.96,10,0,0.0245,0.0,0.2727272727272727,0,0,0.0,0.0,1,1,0.0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,,1,Title/Heading,0.9843103939632776,7,,H1
