text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
"&quot;In the face of today's economic crisis, hard working North Mississippians have lost their","&quot;In the face of today's economic crisis, hard working North Mississippians have lost their","homes, their savings, and their jobs. This bill demands oversight and accountability from the","homes, their savings, and their jobs. This bill demands oversight and accountability from the",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"homes, their savings, and their jobs. This bill demands oversight and accountability from the","homes, their savings, and their jobs. This bill demands oversight and accountability from the","fraudulent institutions that got us into this mess,&quot; said Congressman Childers.","fraudulent institutions that got us into this mess,&quot; said Congressman Childers.",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"fraudulent institutions that got us into this mess,&quot; said Congressman Childers.","fraudulent institutions that got us into this mess,&quot; said Congressman Childers.","&quot;When I voted twice against TARP authorization, I disapproved that it lacked adequate","&quot;When I voted twice against TARP authorization, I disapproved that it lacked adequate",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"&quot;When I voted twice against TARP authorization, I disapproved that it lacked adequate","&quot;When I voted twice against TARP authorization, I disapproved that it lacked adequate",oversight and accountability when it came to spending billions of hard-earned taxpayer dollars.,oversight and accountability when it came to spending billions of hard-earned taxpayer dollars.,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
oversight and accountability when it came to spending billions of hard-earned taxpayer dollars.,oversight and accountability when it came to spending billions of hard-earned taxpayer dollars.,"Today, I am proud to support the Fraud Enforcement and Recovery Act to help determine the","Today, I am proud to support the Fraud Enforcement and Recovery Act to help determine the",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"Today, I am proud to support the Fraud Enforcement and Recovery Act to help determine the","Today, I am proud to support the Fraud Enforcement and Recovery Act to help determine the","causes of our current financial troubles, hold the responsible institutions accountable, and","causes of our current financial troubles, hold the responsible institutions accountable, and",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"causes of our current financial troubles, hold the responsible institutions accountable, and","causes of our current financial troubles, hold the responsible institutions accountable, and",ensure that these problems do not happen again. This important legislation also calls for the,ensure that these problems do not happen again. This important legislation also calls for the,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
ensure that these problems do not happen again. This important legislation also calls for the,ensure that these problems do not happen again. This important legislation also calls for the,"diligent tracking of the funds it authorizes for these investigations, adding another level of","diligent tracking of the funds it authorizes for these investigations, adding another level of",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"diligent tracking of the funds it authorizes for these investigations, adding another level of","diligent tracking of the funds it authorizes for these investigations, adding another level of",transparency to the process.&quot;,transparency to the process.&quot;,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
transparency to the process.&quot;,transparency to the process.&quot;,The Fraud Enforcement and Recovery Act is the latest in a series of consumer protection,The Fraud Enforcement and Recovery Act is the latest in a series of consumer protection,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
The Fraud Enforcement and Recovery Act is the latest in a series of consumer protection,The Fraud Enforcement and Recovery Act is the latest in a series of consumer protection,"reforms recently passed by the House. Last week, the House passed the Credit Cardholders'","reforms recently passed by the House. Last week, the House passed the Credit Cardholders'",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"reforms recently passed by the House. Last week, the House passed the Credit Cardholders'","reforms recently passed by the House. Last week, the House passed the Credit Cardholders'","Bill of Rights, which includes tough new protections for consumers facing excessive credit card","Bill of Rights, which includes tough new protections for consumers facing excessive credit card",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Bill of Rights, which includes tough new protections for consumers facing excessive credit card","Bill of Rights, which includes tough new protections for consumers facing excessive credit card","fees, sky-high interest rates and unfair agreements that credit card companies revise at will.","fees, sky-high interest rates and unfair agreements that credit card companies revise at will.",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"fees, sky-high interest rates and unfair agreements that credit card companies revise at will.","fees, sky-high interest rates and unfair agreements that credit card companies revise at will.","Later this week, the House is expected to vote on the Mortgage Reform and Anti-Predatory","Later this week, the House is expected to vote on the Mortgage Reform and Anti-Predatory",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"Later this week, the House is expected to vote on the Mortgage Reform and Anti-Predatory","Later this week, the House is expected to vote on the Mortgage Reform and Anti-Predatory",Lending Act to curb abusive and predatory lending.,Lending Act to curb abusive and predatory lending.,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Lending Act to curb abusive and predatory lending.,Lending Act to curb abusive and predatory lending.,01-Feb,01-Feb,-59.33,0,1,1,1,12,8,-4,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
The following measures are included in the Fraud Enforcement and Recovery Act of 2009:,The following measures are included in the Fraud Enforcement and Recovery Act of 2009:,Prohibits fraudulent activities involving the Troubled Assets Relief Program TARP or a,Prohibits fraudulent activities involving the Troubled Assets Relief Program (TARP) or a,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Prohibits fraudulent activities involving the Troubled Assets Relief Program TARP or a,Prohibits fraudulent activities involving the Troubled Assets Relief Program (TARP) or a,"federal economic stimulus, recovery, or rescue plan.","federal economic stimulus, recovery, or rescue plan.",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"federal economic stimulus, recovery, or rescue plan.","federal economic stimulus, recovery, or rescue plan.","Authorizes appropriations to the Attorney General for FY 2010-FY2011 for investigations,","Authorizes appropriations to the Attorney General for FY 2010-FY2011 for investigations,",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"Authorizes appropriations to the Attorney General for FY 2010-FY2011 for investigations,","Authorizes appropriations to the Attorney General for FY 2010-FY2011 for investigations,","prosecutions, and civil proceedings involving federal assistance programs and financial","prosecutions, and civil proceedings involving federal assistance programs and financial",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"prosecutions, and civil proceedings involving federal assistance programs and financial","prosecutions, and civil proceedings involving federal assistance programs and financial",institutions. Allocates such funds among various departments of the Department of Justice,institutions. Allocates such funds among various departments of the Department of Justice,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
institutions. Allocates such funds among various departments of the Department of Justice,institutions. Allocates such funds among various departments of the Department of Justice,DOJ.,(DOJ).,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
DOJ.,(DOJ).,"Requires the Attorney General, in consultation with the U.S. Postal Inspection Service, the","Requires the Attorney General, in consultation with the U.S. Postal Inspection Service, the",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"Requires the Attorney General, in consultation with the U.S. Postal Inspection Service, the","Requires the Attorney General, in consultation with the U.S. Postal Inspection Service, the","Inspector General for HUD, and the Secretary of Homeland Security, to submit a joint report to","Inspector General for HUD, and the Secretary of Homeland Security, to submit a joint report to",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Inspector General for HUD, and the Secretary of Homeland Security, to submit a joint report to","Inspector General for HUD, and the Secretary of Homeland Security, to submit a joint report to","Congress identifying: 1 amounts spent for investigations, with a certification of compliance that","Congress identifying: 1) amounts spent for investigations, with a certification of compliance that",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Congress identifying: 1 amounts spent for investigations, with a certification of compliance that","Congress identifying: 1) amounts spent for investigations, with a certification of compliance that","funds have been spent in accordance with this Act, and 2 amounts recovered from criminal or","funds have been spent in accordance with this Act, and 2) amounts recovered from criminal or",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"funds have been spent in accordance with this Act, and 2 amounts recovered from criminal or","funds have been spent in accordance with this Act, and 2) amounts recovered from criminal or","civil restitution, fines, penalties, and other monetary recoveries.","civil restitution, fines, penalties, and other monetary recoveries.",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"civil restitution, fines, penalties, and other monetary recoveries.","civil restitution, fines, penalties, and other monetary recoveries.",Authorizes appropriations to the Securities and Exchange Commission SEC for,Authorizes appropriations to the Securities and Exchange Commission (SEC) for,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Authorizes appropriations to the Securities and Exchange Commission SEC for,Authorizes appropriations to the Securities and Exchange Commission (SEC) for,FY2010-FY2011 for investigations and enforcement proceedings involving financial institutions,FY2010-FY2011 for investigations and enforcement proceedings involving financial institutions,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
FY2010-FY2011 for investigations and enforcement proceedings involving financial institutions,FY2010-FY2011 for investigations and enforcement proceedings involving financial institutions,and for the SEC Office of the Inspector General.,and for the SEC Office of the Inspector General.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
and for the SEC Office of the Inspector General.,and for the SEC Office of the Inspector General.,Establishes the bipartisan congressional Financial Markets Commission to examine the,Establishes the bipartisan congressional Financial Markets Commission to examine the,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Establishes the bipartisan congressional Financial Markets Commission to examine the,Establishes the bipartisan congressional Financial Markets Commission to examine the,"causes of the current U.S. financial and economic crisis, taking into account fraud and abuse in","causes of the current U.S. financial and economic crisis, taking into account fraud and abuse in",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"causes of the current U.S. financial and economic crisis, taking into account fraud and abuse in","causes of the current U.S. financial and economic crisis, taking into account fraud and abuse in",the financial sector and other specified factors. Requires the Commission to submit a report on,the financial sector and other specified factors. Requires the Commission to submit a report on,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
the financial sector and other specified factors. Requires the Commission to submit a report on,the financial sector and other specified factors. Requires the Commission to submit a report on,"its finding to the President and Congress on December 15, 2010. Requires the Commission","its finding to the President and Congress on December 15, 2010. Requires the Commission",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"its finding to the President and Congress on December 15, 2010. Requires the Commission","its finding to the President and Congress on December 15, 2010. Requires the Commission",chairperson to appear before specified congressional committees within 120 days after the,chairperson to appear before specified congressional committees within 120 days after the,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
chairperson to appear before specified congressional committees within 120 days after the,chairperson to appear before specified congressional committees within 120 days after the,submission of the report.,submission of the report.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
submission of the report.,submission of the report.,Establishes a congressional Select Committee on Investigation of the Economic Crisis to,Establishes a congressional Select Committee on Investigation of the Economic Crisis to,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Establishes a congressional Select Committee on Investigation of the Economic Crisis to,Establishes a congressional Select Committee on Investigation of the Economic Crisis to,study and investigate the facts and circumstances giving rise to the current U.S. economic crisis,study and investigate the facts and circumstances giving rise to the current U.S. economic crisis,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
study and investigate the facts and circumstances giving rise to the current U.S. economic crisis,study and investigate the facts and circumstances giving rise to the current U.S. economic crisis,and to recommend actions to prevent a recurrence of such crisis. Requires the Select,and to recommend actions to prevent a recurrence of such crisis. Requires the Select,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
and to recommend actions to prevent a recurrence of such crisis. Requires the Select,and to recommend actions to prevent a recurrence of such crisis. Requires the Select,"Committee to submit initial, updated, and final reports on its investigation to Congress with","Committee to submit initial, updated, and final reports on its investigation to Congress with",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Committee to submit initial, updated, and final reports on its investigation to Congress with","Committee to submit initial, updated, and final reports on its investigation to Congress with",findings and recommendations.,findings and recommendations.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
findings and recommendations.,findings and recommendations.,02-Feb,02-Feb,-61.83,0,1,1,1,12,8,-4,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
