text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
Instructions:,Instructions:,"In a large skillet, melt butter over medium heat.","In a large skillet, melt butter over medium heat.",1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"In a large skillet, melt butter over medium heat.","In a large skillet, melt butter over medium heat.","Add diced onion and minced garlic, sauté until translucent.","Add diced onion and minced garlic, sauté until translucent.",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Add diced onion and minced garlic, sauté until translucent.","Add diced onion and minced garlic, sauté until translucent.",Add sliced beef and cook until browned.,Add sliced beef and cook until browned.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Add sliced beef and cook until browned.,Add sliced beef and cook until browned.,Stir in mushrooms and cook until tender.,Stir in mushrooms and cook until tender.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Stir in mushrooms and cook until tender.,Stir in mushrooms and cook until tender.,Sprinkle flour over the mixture and stir to combine.,Sprinkle flour over the mixture and stir to combine.,1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Sprinkle flour over the mixture and stir to combine.,Sprinkle flour over the mixture and stir to combine.,"Gradually add beef broth, stirring constantly until the sauce thickens.","Gradually add beef broth, stirring constantly until the sauce thickens.",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Gradually add beef broth, stirring constantly until the sauce thickens.","Gradually add beef broth, stirring constantly until the sauce thickens.","Stir in sour cream and paprika, season with salt and pepper.","Stir in sour cream and paprika, season with salt and pepper.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Stir in sour cream and paprika, season with salt and pepper.","Stir in sour cream and paprika, season with salt and pepper.",Simmer for a few minutes until heated through.,Simmer for a few minutes until heated through.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Simmer for a few minutes until heated through.,Simmer for a few minutes until heated through.,Serve over egg noodles or rice.,Serve over egg noodles or rice.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Serve over egg noodles or rice.,Serve over egg noodles or rice.,Chicken Parmesan,Chicken Parmesan,17.67,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Chicken Parmesan,Chicken Parmesan,Ingredients:,Ingredients:,1,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients:,Ingredients:,"4 boneless, skinless chicken breasts","4 boneless, skinless chicken breasts",1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"4 boneless, skinless chicken breasts","4 boneless, skinless chicken breasts",1 cup breadcrumbs,1 cup breadcrumbs,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 cup breadcrumbs,1 cup breadcrumbs,1/2 cup grated Parmesan cheese,1/2 cup grated Parmesan cheese,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/2 cup grated Parmesan cheese,1/2 cup grated Parmesan cheese,1 cup marinara sauce,1 cup marinara sauce,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 cup marinara sauce,1 cup marinara sauce,"1 cup mozzarella cheese, shredded","1 cup mozzarella cheese, shredded",1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"1 cup mozzarella cheese, shredded","1 cup mozzarella cheese, shredded","2 eggs, beaten","2 eggs, beaten",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"2 eggs, beaten","2 eggs, beaten",1/2 cup flour,1/2 cup flour,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/2 cup flour,1/2 cup flour,1/4 cup olive oil,1/4 cup olive oil,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup olive oil,1/4 cup olive oil,Salt and pepper to taste,Salt and pepper to taste,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Salt and pepper to taste,Salt and pepper to taste,Instructions:,Instructions:,1,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,Instructions:,Preheat oven to 375°F 190°C.,Preheat oven to 375°F (190°C).,1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Preheat oven to 375°F 190°C.,Preheat oven to 375°F (190°C).,Season chicken breasts with salt and pepper.,Season chicken breasts with salt and pepper.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Season chicken breasts with salt and pepper.,Season chicken breasts with salt and pepper.,"Dredge chicken in flour, dip in beaten eggs, and coat with a mixture of breadcrumbs and","Dredge chicken in flour, dip in beaten eggs, and coat with a mixture of breadcrumbs and",1.02,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Dredge chicken in flour, dip in beaten eggs, and coat with a mixture of breadcrumbs and","Dredge chicken in flour, dip in beaten eggs, and coat with a mixture of breadcrumbs and",grated Parmesan cheese.,grated Parmesan cheese.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
grated Parmesan cheese.,grated Parmesan cheese.,Heat olive oil in a skillet over medium heat.,Heat olive oil in a skillet over medium heat.,1.01,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Heat olive oil in a skillet over medium heat.,Heat olive oil in a skillet over medium heat.,Cook chicken until golden brown on both sides.,Cook chicken until golden brown on both sides.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Place chicken in a baking dish, top with marinara sauce and shredded mozzarella cheese.","Place chicken in a baking dish, top with marinara sauce and shredded mozzarella cheese.",Bake for 20-25 minutes until cheese is melted and bubbly.,Bake for 20-25 minutes until cheese is melted and bubbly.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Bake for 20-25 minutes until cheese is melted and bubbly.,Bake for 20-25 minutes until cheese is melted and bubbly.,Serve warm.,Serve warm.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Serve warm.,Serve warm.,Spaghetti Bolognese,Spaghetti Bolognese,17.67,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Spaghetti Bolognese,Spaghetti Bolognese,Ingredients:,Ingredients:,1,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients:,Ingredients:,1 pound ground beef,1 pound ground beef,1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
1 pound ground beef,1 pound ground beef,"1 small onion, diced","1 small onion, diced",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"1 small onion, diced","1 small onion, diced","2 cloves garlic, minced","2 cloves garlic, minced",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"2 cloves garlic, minced","2 cloves garlic, minced","1 carrot, grated","1 carrot, grated",1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"1 carrot, grated","1 carrot, grated","1 celery stalk, diced","1 celery stalk, diced",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"1 celery stalk, diced","1 celery stalk, diced",1 can 28 ounces crushed tomatoes,1 can (28 ounces) crushed tomatoes,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 can 28 ounces crushed tomatoes,1 can (28 ounces) crushed tomatoes,1/4 cup tomato paste,1/4 cup tomato paste,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup tomato paste,1/4 cup tomato paste,1/2 cup red wine optional,1/2 cup red wine (optional),1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/2 cup red wine optional,1/2 cup red wine (optional),1 teaspoon dried oregano,1 teaspoon dried oregano,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 teaspoon dried oregano,1 teaspoon dried oregano,1 teaspoon dried basil,1 teaspoon dried basil,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 teaspoon dried basil,1 teaspoon dried basil,Salt and pepper to taste,Salt and pepper to taste,1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Salt and pepper to taste,Salt and pepper to taste,Spaghetti for serving,Spaghetti for serving,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Spaghetti for serving,Spaghetti for serving,Grated Parmesan cheese for garnish,Grated Parmesan cheese for garnish,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Grated Parmesan cheese for garnish,Grated Parmesan cheese for garnish,Instructions:,Instructions:,1,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,Instructions:,"In a large skillet, cook ground beef over medium heat until browned.","In a large skillet, cook ground beef over medium heat until browned.",1,36.02,0,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"In a large skillet, cook ground beef over medium heat until browned.","In a large skillet, cook ground beef over medium heat until browned.","Add diced onion, minced garlic, grated carrot, and diced celery, sauté until vegetables","Add diced onion, minced garlic, grated carrot, and diced celery, sauté until vegetables",1.01,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Add diced onion, minced garlic, grated carrot, and diced celery, sauté until vegetables","Add diced onion, minced garlic, grated carrot, and diced celery, sauté until vegetables",are tender.,are tender.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
are tender.,are tender.,"Stir in crushed tomatoes, tomato paste, red wine if using, oregano, basil, salt, and","Stir in crushed tomatoes, tomato paste, red wine (if using), oregano, basil, salt, and",1.02,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Stir in crushed tomatoes, tomato paste, red wine if using, oregano, basil, salt, and","Stir in crushed tomatoes, tomato paste, red wine (if using), oregano, basil, salt, and",pepper.,pepper.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
pepper.,pepper.,"Simmer for 30 minutes, stirring occasionally.","Simmer for 30 minutes, stirring occasionally.",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Simmer for 30 minutes, stirring occasionally.","Simmer for 30 minutes, stirring occasionally.",Cook spaghetti according to package instructions.,Cook spaghetti according to package instructions.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Cook spaghetti according to package instructions.,Cook spaghetti according to package instructions.,"Serve Bolognese sauce over spaghetti, garnished with grated Parmesan cheese.","Serve Bolognese sauce over spaghetti, garnished with grated Parmesan cheese.",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Serve Bolognese sauce over spaghetti, garnished with grated Parmesan cheese.","Serve Bolognese sauce over spaghetti, garnished with grated Parmesan cheese.",Teriyaki Chicken,Teriyaki Chicken,17.66,-36.02,0,1,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Teriyaki Chicken,Teriyaki Chicken,Ingredients:,Ingredients:,1,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients:,Ingredients:,"4 boneless, skinless chicken thighs","4 boneless, skinless chicken thighs",1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"4 boneless, skinless chicken thighs","4 boneless, skinless chicken thighs",1/4 cup soy sauce,1/4 cup soy sauce,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup soy sauce,1/4 cup soy sauce,1/4 cup mirin,1/4 cup mirin,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup mirin,1/4 cup mirin,2 tablespoons sugar,2 tablespoons sugar,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
2 tablespoons sugar,2 tablespoons sugar,1 tablespoon sake,1 tablespoon sake,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 tablespoon sake,1 tablespoon sake,1 teaspoon grated ginger,1 teaspoon grated ginger,1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 teaspoon grated ginger,1 teaspoon grated ginger,1 teaspoon minced garlic,1 teaspoon minced garlic,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 teaspoon minced garlic,1 teaspoon minced garlic,1 tablespoon vegetable oil,1 tablespoon vegetable oil,1.01,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 tablespoon vegetable oil,1 tablespoon vegetable oil,Cooked rice for serving,Cooked rice for serving,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Sliced green onions for garnish,Sliced green onions for garnish,Instructions:,Instructions:,1,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,Instructions:,"In a bowl, mix soy sauce, mirin, sugar, sake, grated ginger, and minced garlic.","In a bowl, mix soy sauce, mirin, sugar, sake, grated ginger, and minced garlic.",1,36.02,0,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"In a bowl, mix soy sauce, mirin, sugar, sake, grated ginger, and minced garlic.","In a bowl, mix soy sauce, mirin, sugar, sake, grated ginger, and minced garlic.",Marinate chicken thighs in the mixture for at least 30 minutes.,Marinate chicken thighs in the mixture for at least 30 minutes.,1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Marinate chicken thighs in the mixture for at least 30 minutes.,Marinate chicken thighs in the mixture for at least 30 minutes.,Heat vegetable oil in a skillet over medium heat.,Heat vegetable oil in a skillet over medium heat.,1.03,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Heat vegetable oil in a skillet over medium heat.,Heat vegetable oil in a skillet over medium heat.,Cook chicken thighs until browned and cooked through.,Cook chicken thighs until browned and cooked through.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Cook chicken thighs until browned and cooked through.,Cook chicken thighs until browned and cooked through.,Pour marinade into the skillet and simmer until thickened.,Pour marinade into the skillet and simmer until thickened.,1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Pour marinade into the skillet and simmer until thickened.,Pour marinade into the skillet and simmer until thickened.,"Serve chicken over cooked rice, garnished with sliced green onions.","Serve chicken over cooked rice, garnished with sliced green onions.",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Serve chicken over cooked rice, garnished with sliced green onions.","Serve chicken over cooked rice, garnished with sliced green onions.",Shrimp Scampi,Shrimp Scampi,17.66,-36.02,0,1,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Shrimp Scampi,Shrimp Scampi,Ingredients:,Ingredients:,1,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients:,Ingredients:,"1 pound large shrimp, peeled and deveined","1 pound large shrimp, peeled and deveined",1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"1 pound large shrimp, peeled and deveined","1 pound large shrimp, peeled and deveined","4 cloves garlic, minced","4 cloves garlic, minced",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"4 cloves garlic, minced","4 cloves garlic, minced",1/4 cup white wine,1/4 cup white wine,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup white wine,1/4 cup white wine,1/4 cup chicken broth,1/4 cup chicken broth,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup chicken broth,1/4 cup chicken broth,1/4 cup lemon juice,1/4 cup lemon juice,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup lemon juice,1/4 cup lemon juice,1/4 cup butter,1/4 cup butter,1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup butter,1/4 cup butter,2 tablespoons olive oil,2 tablespoons olive oil,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
2 tablespoons olive oil,2 tablespoons olive oil,1/4 cup chopped parsley,1/4 cup chopped parsley,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/4 cup chopped parsley,1/4 cup chopped parsley,Salt and pepper to taste,Salt and pepper to taste,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Salt and pepper to taste,Salt and pepper to taste,Cooked pasta for serving,Cooked pasta for serving,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Cooked pasta for serving,Cooked pasta for serving,Instructions:,Instructions:,1.01,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Instructions:,Instructions:,Heat olive oil and butter in a large skillet over medium heat.,Heat olive oil and butter in a large skillet over medium heat.,1,36.02,0,0,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Heat olive oil and butter in a large skillet over medium heat.,Heat olive oil and butter in a large skillet over medium heat.,Add minced garlic and sauté until fragrant.,Add minced garlic and sauté until fragrant.,1.02,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Add minced garlic and sauté until fragrant.,Add minced garlic and sauté until fragrant.,Add shrimp and cook until pink and opaque.,Add shrimp and cook until pink and opaque.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Add shrimp and cook until pink and opaque.,Add shrimp and cook until pink and opaque.,Remove shrimp from the skillet and set aside.,Remove shrimp from the skillet and set aside.,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Remove shrimp from the skillet and set aside.,Remove shrimp from the skillet and set aside.,"Pour white wine, chicken broth, and lemon juice into the skillet, simmer until reduced by","Pour white wine, chicken broth, and lemon juice into the skillet, simmer until reduced by",1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Pour white wine, chicken broth, and lemon juice into the skillet, simmer until reduced by","Pour white wine, chicken broth, and lemon juice into the skillet, simmer until reduced by",half.,half.,1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
half.,half.,Return shrimp to the skillet and toss to coat in the sauce.,Return shrimp to the skillet and toss to coat in the sauce.,1,0,1,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Return shrimp to the skillet and toss to coat in the sauce.,Return shrimp to the skillet and toss to coat in the sauce.,"Season with salt and pepper, stir in chopped parsley.","Season with salt and pepper, stir in chopped parsley.",1,0,1,1,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"Season with salt and pepper, stir in chopped parsley.","Season with salt and pepper, stir in chopped parsley.",Serve over cooked pasta.,Serve over cooked pasta.,1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Serve over cooked pasta.,Serve over cooked pasta.,Beef Tacos,Beef Tacos,17.64,-36.02,0,0,0,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Beef Tacos,Beef Tacos,Ingredients:,Ingredients:,1,0,1,0,0,12,12,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Ingredients:,Ingredients:,1 pound ground beef,1 pound ground beef,1,36.02,0,0,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
1 pound ground beef,1 pound ground beef,"1 small onion, diced","1 small onion, diced",1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"1 small onion, diced","1 small onion, diced","2 cloves garlic, minced","2 cloves garlic, minced",1.02,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"2 cloves garlic, minced","2 cloves garlic, minced",1 packet taco seasoning,1 packet taco seasoning,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1 packet taco seasoning,1 packet taco seasoning,1/2 cup water,1/2 cup water,1.01,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
1/2 cup water,1/2 cup water,Taco shells or tortillas,Taco shells or tortillas,1,0,1,0,0,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
"Shredded lettuce, diced tomatoes, shredded cheese, sour cream, and salsa for toppings","Shredded lettuce, diced tomatoes, shredded cheese, sour cream, and salsa for toppings",Instructions:,Instructions:,1,-36.02,0,1,0,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
