text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
2. Select one or more layers in the Layers In Visio Drawing list.,2. Select one or more layers in the Layers In Visio Drawing list.,"3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one","3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one",1,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one","3. To add the selected Visio layers to the list of layers to convert to the PDF file, do one",of the following:,of the following:,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
of the following:,of the following:,To convert the selected Visio layers to individual PDF layers within a PDF layer,To convert the selected Visio layers to individual PDF layers within a PDF layer,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
To convert the selected Visio layers to individual PDF layers within a PDF layer,To convert the selected Visio layers to individual PDF layers within a PDF layer,"set, click Create Layer Set, and optionally, type a layer name.","set, click Create Layer Set, and optionally, type a layer name.",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"set, click Create Layer Set, and optionally, type a layer name.","set, click Create Layer Set, and optionally, type a layer name.",To convert the selected Visio layers to individual layers but not grouped,To convert the selected Visio layers to individual layers (but not grouped,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
To convert the selected Visio layers to individual layers but not grouped,To convert the selected Visio layers to individual layers (but not grouped,"under a layer set, click the Add Layers button.","under a layer set), click the Add Layer(s) button.",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"under a layer set, click the Add Layers button.","under a layer set), click the Add Layer(s) button.",Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that,Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that,-80,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that,Note: The name of a layer in the Layers In Visio Drawing list is unavailable if that,layer is included in the Layers In PDF list. When you select that layer in the Layers In,layer is included in the Layers In PDF list. When you select that layer in the Layers In,-80,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
layer is included in the Layers In PDF list. When you select that layer in the Layers In,layer is included in the Layers In PDF list. When you select that layer in the Layers In,"PDF list, a bullet appears next to the layer’s name in the Layers In Visio Drawing list.","PDF list, a bullet appears next to the layer’s name in the Layers In Visio Drawing list.",-80,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
"PDF list, a bullet appears next to the layer’s name in the Layers In Visio Drawing list.","PDF list, a bullet appears next to the layer’s name in the Layers In Visio Drawing list.","4. Optionally, do any of the following:","4. Optionally, do any of the following:",-80,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"4. Optionally, do any of the following:","4. Optionally, do any of the following:","To reorder the layers in the Layers In PDF list, drag an item up or down in the","To reorder the layers in the Layers In PDF list, drag an item up or down in the",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To reorder the layers in the Layers In PDF list, drag an item up or down in the","To reorder the layers in the Layers In PDF list, drag an item up or down in the",list.,list.,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
list.,list.,"To include a visibility property that can be switched on or off in Acrobat,","To include a visibility property that can be switched on or off in Acrobat,",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To include a visibility property that can be switched on or off in Acrobat,","To include a visibility property that can be switched on or off in Acrobat,",deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer’s,deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer’s,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer’s,deselect Locked On adjacent to the PDF layer; to lock the resulting PDF layer’s,"visibility on, select Locked On .","visibility on, select Locked On.",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"visibility on, select Locked On .","visibility on, select Locked On.","To save the current settings of Visio layers selected, click Save PDF Settings,","To save the current settings of Visio layers selected, click Save PDF Settings,",-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To save the current settings of Visio layers selected, click Save PDF Settings,","To save the current settings of Visio layers selected, click Save PDF Settings,",and click OK . These settings are used the next time you convert the current,and click OK. These settings are used the next time you convert the current,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and click OK . These settings are used the next time you convert the current,and click OK. These settings are used the next time you convert the current,Visio file to a PDF file.,Visio file to a PDF file.,-80,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
Visio file to a PDF file.,Visio file to a PDF file.,"5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file,","5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file,",0.5,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file,","5. Click Convert To PDF, specify a folder in the Save In box in which to save the PDF file,","type a filename, and then click Save .","type a filename, and then click Save.",-8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Note: Visio layers that were selected for conversion and that have Visio settings for,Note: Visio layers that were selected for conversion and that have Visio settings for,"visible, printable, or lock are converted to PDF layers; the visible and printable","visible, printable, or lock are converted to PDF layers; the visible and printable",-6.33,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"visible, printable, or lock are converted to PDF layers; the visible and printable","visible, printable, or lock are converted to PDF layers; the visible and printable",properties are included in the resulting PDF layers. If the Visio file contains a,properties are included in the resulting PDF layers. If the Visio file contains a,-6.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
properties are included in the resulting PDF layers. If the Visio file contains a,properties are included in the resulting PDF layers. If the Visio file contains a,"background page, header, or footer, the PDF file automatically has PDF layers named","background page, header, or footer, the PDF file automatically has PDF layers named",-6.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"background page, header, or footer, the PDF file automatically has PDF layers named","background page, header, or footer, the PDF file automatically has PDF layers named",for those items.,for those items.,-6.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
Convert AutoCAD files to PDF Acrobat Pro for Windows,Convert AutoCAD files to PDF (Acrobat Pro for,Use PDFMaker to convert AutoCAD files from within the AutoCAD application. You can also use,Use PDFMaker to convert AutoCAD files from within the AutoCAD application. You can also use,-48.8,0,1,1,1,24,12,-12,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
Use PDFMaker to convert AutoCAD files from within the AutoCAD application. You can also use,Use PDFMaker to convert AutoCAD files from within the AutoCAD application. You can also use,the Batch Conversion feature to convert many AutoCAD files in one operation. Acrobat,the Batch Conversion feature to convert many AutoCAD files in one operation. Acrobat,-48.8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
the Batch Conversion feature to convert many AutoCAD files in one operation. Acrobat,the Batch Conversion feature to convert many AutoCAD files in one operation. Acrobat,PDFMaker preserves selected layers and layouts when converting AutoCAD files to PDF.,PDFMaker preserves selected layers and layouts when converting AutoCAD files to PDF.,-48.8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
PDFMaker preserves selected layers and layouts when converting AutoCAD files to PDF.,PDFMaker preserves selected layers and layouts when converting AutoCAD files to PDF.,Convert AutoCAD files when AutoCAD is installed,Convert AutoCAD files when AutoCAD is installed,-48.8,0,1,1,1,12,16.02,4.02,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Convert AutoCAD files when AutoCAD is installed,Convert AutoCAD files when AutoCAD is installed,"When converting individual AutoCAD files, you don't usually need to change page size and","When converting individual AutoCAD files, you don't usually need to change page size and",-48.8,0,1,1,1,16.02,12,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"When converting individual AutoCAD files, you don't usually need to change page size and","When converting individual AutoCAD files, you don't usually need to change page size and",plotting settings. PDFMaker uses the appropriate layout page size and plotting information to,plotting settings. PDFMaker uses the appropriate layout page size and plotting information to,-48.8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
plotting settings. PDFMaker uses the appropriate layout page size and plotting information to,plotting settings. PDFMaker uses the appropriate layout page size and plotting information to,create a correctly sized PDF file.,create a correctly sized PDF file.,-48.8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
create a correctly sized PDF file.,create a correctly sized PDF file.,Note:,Note:,-48.8,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Note:,Note:,Acrobat can't convert DWG to PDF without AutoCAD installed.,Acrobat can't convert DWG to PDF without AutoCAD installed.,1,0,1,1,0,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
Acrobat can't convert DWG to PDF without AutoCAD installed.,Acrobat can't convert DWG to PDF without AutoCAD installed.,"1. To change the PDF conversion settings, choose Adobe PDF    - Change Conversion","1. To change the PDF conversion settings, choose Adobe PDF > Change Conversion",1,31,0,0,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"1. To change the PDF conversion settings, choose Adobe PDF    - Change Conversion","1. To change the PDF conversion settings, choose Adobe PDF > Change Conversion",Settings in AutoCAD.,Settings in AutoCAD.,-15.4,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Settings in AutoCAD.,Settings in AutoCAD.,2. Do one of the following:,2. Do one of the following:,-15.4,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
2. Do one of the following:,2. Do one of the following:,Click a button in the Adobe PDF toolbar: Convert To Adobe,Click a button in the Adobe PDF toolbar: Convert To Adobe,-15.4,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Click a button in the Adobe PDF toolbar: Convert To Adobe,Click a button in the Adobe PDF toolbar: Convert To Adobe,PDF or Convert To Adobe PDFAnd Send For Review .,or Convert To Adobe PDFAnd Send For Review,1,54,0,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
PDF or Convert To Adobe PDFAnd Send For Review .,or Convert To Adobe PDFAnd Send For Review,Choose Adobe PDF        - Convert To Adobe PDF .,Choose Adobe PDF > Convert To Adobe PDF.,0.4,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Choose Adobe PDF        - Convert To Adobe PDF .,Choose Adobe PDF > Convert To Adobe PDF.,Choose Adobe PDF        - Convert To Adobe PDF And Email .,Choose Adobe PDF > Convert To Adobe PDF And Email.,-11.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Choose Adobe PDF        - Convert To Adobe PDF And Email .,Choose Adobe PDF > Convert To Adobe PDF And Email.,Choose Adobe PDF        - Convert To Adobe PDFAnd Send For Review .,Choose Adobe PDF > Convert To Adobe PDFAnd Send For Review.,-11.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Choose Adobe PDF        - Convert To Adobe PDFAnd Send For Review .,Choose Adobe PDF > Convert To Adobe PDFAnd Send For Review.,"3. In the Choose Layouts dialog box, add or remove layouts as needed. To reorder the","3. In the Choose Layouts dialog box, add or remove layouts as needed. To reorder the",0.2,-54,0,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. In the Choose Layouts dialog box, add or remove layouts as needed. To reorder the","3. In the Choose Layouts dialog box, add or remove layouts as needed. To reorder the","layouts, select a layout from the Layouts In PDF list, and click Move Up or Move","layouts, select a layout from the Layouts In PDF list, and click Move Up or Move",-9.4,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"layouts, select a layout from the Layouts In PDF list, and click Move Up or Move","layouts, select a layout from the Layouts In PDF list, and click Move Up or Move",Down .,Down.,-9.4,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Down .,Down.,"4. To determine how the AutoCAD layers are converted, select one of the following, and","4. To determine how the AutoCAD layers are converted, select one of the following, and",1,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"4. To determine how the AutoCAD layers are converted, select one of the following, and","4. To determine how the AutoCAD layers are converted, select one of the following, and",then click Continue :,then click Continue:,-27,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
then click Continue :,then click Continue:,"Flatten All Layers . When layers are flattened, only those entities belonging to","Flatten All Layers. When layers are flattened, only those entities belonging to",-27,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Flatten All Layers . When layers are flattened, only those entities belonging to","Flatten All Layers. When layers are flattened, only those entities belonging to",layers that are not frozen and are printable appear in the converted PDF.,layers that are not frozen and are printable appear in the converted PDF.,-27,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
layers that are not frozen and are printable appear in the converted PDF.,layers that are not frozen and are printable appear in the converted PDF.,"Retain All Or Some Layers . In the next dialog box, specify the layers to include","Retain All Or Some Layers. In the next dialog box, specify the layers to include",-27,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1
"Retain All Or Some Layers . In the next dialog box, specify the layers to include","Retain All Or Some Layers. In the next dialog box, specify the layers to include",in the resulting PDF.,in the resulting PDF.,-27,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
in the resulting PDF.,in the resulting PDF.,"5. Specify a filename and location in the Save As dialog box, and click Save .","5. Specify a filename and location in the Save As dialog box, and click Save.",-27,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Select AutoCAD layers to convert,Select AutoCAD layers to convert,"If you choose to retain all or some AutoCAD layers when converting to PDF, you can specify","If you choose to retain all or some AutoCAD layers when converting to PDF, you can specify",-11.8,0,1,1,1,16.02,12,-4.02,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0
"If you choose to retain all or some AutoCAD layers when converting to PDF, you can specify","If you choose to retain all or some AutoCAD layers when converting to PDF, you can specify",which layers are preserved in the PDF.,which layers are preserved in the PDF.,-11.8,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
which layers are preserved in the PDF.,which layers are preserved in the PDF.,"1. In AutoCAD, start to convert an AutoCAD file and select the Retain All Or Some","1. In AutoCAD, start to convert an AutoCAD file and select the Retain All Or Some",1,31,0,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"1. In AutoCAD, start to convert an AutoCAD file and select the Retain All Or Some","1. In AutoCAD, start to convert an AutoCAD file and select the Retain All Or Some",Layers option.,Layers option.,-6.4,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Layers option.,Layers option.,"2. To show specific AutoCAD layers in the Layers In Drawing list, do any of the","2. To show specific AutoCAD layers in the Layers In Drawing list, do any of the",1,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"2. To show specific AutoCAD layers in the Layers In Drawing list, do any of the","2. To show specific AutoCAD layers in the Layers In Drawing list, do any of the",following:,following:,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
following:,following:,Choose an option from the Named Layer Filters menu to list all layers that fit,Choose an option from the Named Layer Filters menu to list all layers that fit,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose an option from the Named Layer Filters menu to list all layers that fit,Choose an option from the Named Layer Filters menu to list all layers that fit,that criterion.,that criterion.,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
that criterion.,that criterion.,Select the Invert option to list all layers except those layers that are described,Select the Invert option to list all layers except those layers that are described,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Select the Invert option to list all layers except those layers that are described,Select the Invert option to list all layers except those layers that are described,by the selected choice in the Named Layer Filters menu.,by the selected choice in the Named Layer Filters menu.,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
by the selected choice in the Named Layer Filters menu.,by the selected choice in the Named Layer Filters menu.,"To change the sort order of the layers, click the headings.","To change the sort order of the layers, click the headings.",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To change the sort order of the layers, click the headings.","To change the sort order of the layers, click the headings.","Note: To change the On, Frozen, or Plot properties for a layer, click Cancel, change","Note: To change the On, Frozen, or Plot properties for a layer, click Cancel, change",-103.2,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Note: To change the On, Frozen, or Plot properties for a layer, click Cancel, change","Note: To change the On, Frozen, or Plot properties for a layer, click Cancel, change","the properties in the AutoCAD drawing, and restart the procedure.","the properties in the AutoCAD drawing, and restart the procedure.",-103.2,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"the properties in the AutoCAD drawing, and restart the procedure.","the properties in the AutoCAD drawing, and restart the procedure.","3. To select the AutoCAD layers to convert, do any of the following:","3. To select the AutoCAD layers to convert, do any of the following:",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
"3. To select the AutoCAD layers to convert, do any of the following:","3. To select the AutoCAD layers to convert, do any of the following:",Choose a previously saved set of layers from the PDF Layer Settings menu.,Choose a previously saved set of layers from the PDF Layer Settings menu.,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Choose a previously saved set of layers from the PDF Layer Settings menu.,Choose a previously saved set of layers from the PDF Layer Settings menu.,Select one or more layers from the Layers In Drawing List.,Select one or more layers from the Layers In Drawing List.,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
Select one or more layers from the Layers In Drawing List.,Select one or more layers from the Layers In Drawing List.,"To convert all of the layers in the drawing, click Add All Layers, and go to step","To convert all of the layers in the drawing, click Add All Layers, and go to step",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To convert all of the layers in the drawing, click Add All Layers, and go to step","To convert all of the layers in the drawing, click Add All Layers, and go to step","4. To add the selected AutoCAD layers to the Layers In PDF list, do one of the following:","4. To add the selected AutoCAD layers to the Layers In PDF list, do one of the following:",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"4. To add the selected AutoCAD layers to the Layers In PDF list, do one of the following:","4. To add the selected AutoCAD layers to the Layers In PDF list, do one of the following:",To convert the selected AutoCAD layers to individual layers within a PDF layer,To convert the selected AutoCAD layers to individual layers within a PDF layer,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
To convert the selected AutoCAD layers to individual layers within a PDF layer,To convert the selected AutoCAD layers to individual layers within a PDF layer,"set, click Create Layer Set . This action creates a folder of layers in","set, click Create Layer Set. This action creates a folder of layers in",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"set, click Create Layer Set . This action creates a folder of layers in","set, click Create Layer Set. This action creates a folder of layers in",the Layers navigation pane in Acrobat.,the Layers navigation pane in Acrobat.,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
the Layers navigation pane in Acrobat.,the Layers navigation pane in Acrobat.,"To convert the selected AutoCAD layers to individual layers, click Add","To convert the selected AutoCAD layers to individual layers, click Add",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To convert the selected AutoCAD layers to individual layers, click Add","To convert the selected AutoCAD layers to individual layers, click Add",Layers .,Layer(s).,-103.2,0,1,1,1,12,12,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Layers .,Layer(s).,"5. Optionally, do any of the following in the Layers In PDF list:","5. Optionally, do any of the following in the Layers In PDF list:",-103.2,0,1,1,1,12,12,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"5. Optionally, do any of the following in the Layers In PDF list:","5. Optionally, do any of the following in the Layers In PDF list:","To reorder layers, drag an item up or down in the list.","To reorder layers, drag an item up or down in the list.",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To reorder layers, drag an item up or down in the list.","To reorder layers, drag an item up or down in the list.","To include a visibility property that can be switched on or off in Acrobat,","To include a visibility property that can be switched on or off in Acrobat,",-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
"To include a visibility property that can be switched on or off in Acrobat,","To include a visibility property that can be switched on or off in Acrobat,",deselect Locked On for the PDF layer. To lock the resulting PDF layer’s,deselect Locked On for the PDF layer. To lock the resulting PDF layer’s,-103.2,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
