text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
"against the Democratic bill – called the Drill Act. Reps. Gary Miller, R-Diamond Bar and Loretta","against the Democratic bill – called the Drill Act. Reps. Gary Miller, R-Diamond Bar and Loretta","Sanchez, D-Garden Grove, had family emergencies and were not on Capitol Hill for the vote.","Sanchez, D-Garden Grove, had family emergencies and were not on Capitol Hill for the vote.",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Sanchez, D-Garden Grove, had family emergencies and were not on Capitol Hill for the vote.","Sanchez, D-Garden Grove, had family emergencies and were not on Capitol Hill for the vote.","Although the Democrats' bill received a majority of votes, it didn't meet the two-thirds majority it","Although the Democrats' bill received a majority of votes, it didn't meet the two-thirds majority it",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"Although the Democrats' bill received a majority of votes, it didn't meet the two-thirds majority it","Although the Democrats' bill received a majority of votes, it didn't meet the two-thirds majority it",needed because the bill was brought up outside of the regular procedures.,needed because the bill was brought up outside of the regular procedures.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
needed because the bill was brought up outside of the regular procedures.,needed because the bill was brought up outside of the regular procedures.,"""All of us are frustrated,'' said Calvert. ""I go home and people are absolutely beside themselves","""All of us are frustrated,'' said Calvert. ""I go home and people are absolutely beside themselves",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"""All of us are frustrated,'' said Calvert. ""I go home and people are absolutely beside themselves","""All of us are frustrated,'' said Calvert. ""I go home and people are absolutely beside themselves",01-Mar,01-Mar,-61.83,0,1,1,1,12,8,-4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"about what they're having to pay. They're looking for us to do something, not this charade that","about what they're having to pay. They're looking for us to do something, not this charade that",the democratic majority put on today.'',the democratic majority put on today.'',-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
the democratic majority put on today.'',the democratic majority put on today.'',"Calvert said it's clear that there is oil to be had offshore and said ""we can drill off the coast of","Calvert said it's clear that there is oil to be had offshore and said ""we can drill off the coast of",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Calvert said it's clear that there is oil to be had offshore and said ""we can drill off the coast of","Calvert said it's clear that there is oil to be had offshore and said ""we can drill off the coast of","California beyond the sight line"" and provide enough revenues to the state to deal with its","California beyond the sight line"" and provide enough revenues to the state to deal with its",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"California beyond the sight line"" and provide enough revenues to the state to deal with its","California beyond the sight line"" and provide enough revenues to the state to deal with its",deficit.,deficit.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
deficit.,deficit.,"Under Calvert's measure – called the MORE Act, Maximize Offshore Resource Exploration –","Under Calvert's measure – called the MORE Act, Maximize Offshore Resource Exploration –",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"Under Calvert's measure – called the MORE Act, Maximize Offshore Resource Exploration –","Under Calvert's measure – called the MORE Act, Maximize Offshore Resource Exploration –","would revoke the congressional moratorium on offshore drilling, the only thing standing in way","would revoke the congressional moratorium on offshore drilling, the only thing standing in way",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"would revoke the congressional moratorium on offshore drilling, the only thing standing in way","would revoke the congressional moratorium on offshore drilling, the only thing standing in way",of such efforts now that President Bush this week reversed an executive order banning such,of such efforts now that President Bush this week reversed an executive order banning such,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
of such efforts now that President Bush this week reversed an executive order banning such,of such efforts now that President Bush this week reversed an executive order banning such,drilling. Rohrabacher is one of 13 original co-sponsors of Calvert's bill. No Democrats have,drilling. Rohrabacher is one of 13 original co-sponsors of Calvert's bill. No Democrats have,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
drilling. Rohrabacher is one of 13 original co-sponsors of Calvert's bill. No Democrats have,drilling. Rohrabacher is one of 13 original co-sponsors of Calvert's bill. No Democrats have,signed on to it.,signed on to it.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
signed on to it.,signed on to it.,The bill also says that states would get 75 percent of the royalties the offshore drilling leases,The bill also says that states would get 75 percent of the royalties the offshore drilling leases,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
The bill also says that states would get 75 percent of the royalties the offshore drilling leases,The bill also says that states would get 75 percent of the royalties the offshore drilling leases,would provide. Drilling would only be allowed starting 25 miles from the shoreline. The first 25,would provide. Drilling would only be allowed starting 25 miles from the shoreline. The first 25,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
would provide. Drilling would only be allowed starting 25 miles from the shoreline. The first 25,would provide. Drilling would only be allowed starting 25 miles from the shoreline. The first 25,miles belongs to the states.,miles belongs to the states.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
miles belongs to the states.,miles belongs to the states.,"If, the bill also says, states agree to drilling within 25 miles of their coastline, they share of the","If, the bill also says, states agree to drilling within 25 miles of their coastline, they share of the",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"If, the bill also says, states agree to drilling within 25 miles of their coastline, they share of the","If, the bill also says, states agree to drilling within 25 miles of their coastline, they share of the",royalties would increase to 90 percent.,royalties would increase to 90 percent.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
royalties would increase to 90 percent.,royalties would increase to 90 percent.,Calvert dismissed the Democrat's argument that there is already 68 million acres of federal,Calvert dismissed the Democrat's argument that there is already 68 million acres of federal,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
Calvert dismissed the Democrat's argument that there is already 68 million acres of federal,Calvert dismissed the Democrat's argument that there is already 68 million acres of federal,lands leased to the oil companies that are not being used.,lands leased to the oil companies that are not being used.,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
lands leased to the oil companies that are not being used.,lands leased to the oil companies that are not being used.,"""The Democrats want to drill where there's no oil,'' Calvert said. But Pelosi said at a news","""The Democrats want to drill where there's no oil,'' Calvert said. But Pelosi said at a news",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"""The Democrats want to drill where there's no oil,'' Calvert said. But Pelosi said at a news","""The Democrats want to drill where there's no oil,'' Calvert said. But Pelosi said at a news",conference Thursday that oil companies have told her they're not using those lands because,conference Thursday that oil companies have told her they're not using those lands because,-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
conference Thursday that oil companies have told her they're not using those lands because,conference Thursday that oil companies have told her they're not using those lands because,"either ""it takes as long time"" or ""they don't have the equipment.''","either ""it takes as long time"" or ""they don't have the equipment.''",-61.83,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"either ""it takes as long time"" or ""they don't have the equipment.''","either ""it takes as long time"" or ""they don't have the equipment.''",02-Mar,02-Mar,-61.83,0,1,1,1,12,8,-4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
Rohrabacher said he is introducing a bill to waive environment impact statement requirements,Rohrabacher said he is introducing a bill to waive environment impact statement requirements,for solar projects in an effort to jump-start that technology.,for solar projects in an effort to jump-start that technology.,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
for solar projects in an effort to jump-start that technology.,for solar projects in an effort to jump-start that technology.,"""My bill simply says that in this time of crisis we should exempt solar energy projects from the","""My bill simply says that in this time of crisis we should exempt solar energy projects from the",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"""My bill simply says that in this time of crisis we should exempt solar energy projects from the","""My bill simply says that in this time of crisis we should exempt solar energy projects from the","need for the very complicated and drawn out EIR reports,'' Rohrabacher said.","need for the very complicated and drawn out EIR reports,'' Rohrabacher said.",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"need for the very complicated and drawn out EIR reports,'' Rohrabacher said.","need for the very complicated and drawn out EIR reports,'' Rohrabacher said.","""Are we going to do it?"" Rohrabacher said."" It depends on if the public – when they start filling","""Are we going to do it?"" Rohrabacher said."" It depends on if the public – when they start filling",-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"""Are we going to do it?"" Rohrabacher said."" It depends on if the public – when they start filling","""Are we going to do it?"" Rohrabacher said."" It depends on if the public – when they start filling",up their cars with gas and seeing it's $80 or $90 – whether they scream and yell and demand,up their cars with gas and seeing it's $80 or $90 – whether they scream and yell and demand,-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
up their cars with gas and seeing it's $80 or $90 – whether they scream and yell and demand,up their cars with gas and seeing it's $80 or $90 – whether they scream and yell and demand,that their government quit representing radical environmentalists.'',that their government quit representing radical environmentalists.'',-59.33,0,1,1,1,12,12,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
that their government quit representing radical environmentalists.'',that their government quit representing radical environmentalists.'',03-Mar,03-Mar,-59.33,0,1,1,1,12,8,-4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
