text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
jaundice yellow,jaundice (yellow,skin or eyes,skin or eyes),0.98,8.47,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
skin or eyes,skin or eyes),severe stomach,severe stomach,0.98,-8.47,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
severe stomach,severe stomach,pains and diarrhea,pains and diarrhea,0.98,8.47,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
pains and diarrhea,pains and diarrhea,People with hepatitis A,People with hepatitis A,2.9,-16.94,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0.0
People with hepatitis A,People with hepatitis A,often have to be,often have to be,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
often have to be,often have to be,hospitalized up to about 1 person in 5.,hospitalized (up to about 1 person in 5).,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
hospitalized up to about 1 person in 5.,hospitalized (up to about 1 person in 5).,"Sometimes, people die as a result of hepatitis A","Sometimes, people die as a result of hepatitis A",2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
"Sometimes, people die as a result of hepatitis A","Sometimes, people die as a result of hepatitis A","about 3-5 deaths per 1,000 cases.","(about 3-5 deaths per 1,000 cases).",0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
"about 3-5 deaths per 1,000 cases.","(about 3-5 deaths per 1,000 cases).",A person who has hepatitis A can easily pass the,A person who has hepatitis A can easily pass the,2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
A person who has hepatitis A can easily pass the,A person who has hepatitis A can easily pass the,disease to others within the same household.,disease to others within the same household.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
disease to others within the same household.,disease to others within the same household.,Hepatitis A vaccine can prevent hepatitis A.,Hepatitis A vaccine can prevent hepatitis A.,3.2,0.0,1,0,0,11.5,11.5,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Hepatitis A vaccine can prevent hepatitis A.,Hepatitis A vaccine can prevent hepatitis A.,Who should get hepatitis A,Who should get hepatitis A,4.07,35.5,0,0,0,11.5,14.0,2.5,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0.0
Who should get hepatitis A,Who should get hepatitis A,vaccine and when?,vaccine and when?,0.3,0.0,1,0,0,14.0,14.0,0.0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1.0
vaccine and when?,vaccine and when?,WHO?,WHO?,2.77,-35.5,0,0,0,14.0,11.5,-2.5,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0.0
WHO?,WHO?,Some people should be routinely vaccinated with,Some people should be routinely vaccinated with,2.9,0.0,1,0,0,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Some people should be routinely vaccinated with,Some people should be routinely vaccinated with,hepatitis A vaccine:,hepatitis A vaccine:,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
hepatitis A vaccine:,hepatitis A vaccine:,All children 1 year 12 through 23 months of,All children 1 year  (12 through 23 months) of,3.86,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
All children 1 year 12 through 23 months of,All children 1 year  (12 through 23 months) of,age.,age.,1.04,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
age.,age.,Persons 1 year of age and older traveling to or,Persons 1 year of age and older traveling to or,3.86,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons 1 year of age and older traveling to or,Persons 1 year of age and older traveling to or,working in countries with high or intermediate,working in countries with high or intermediate,1.04,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
working in countries with high or intermediate,working in countries with high or intermediate,"prevalence of hepatitis A, such as those located in","prevalence of hepatitis A, such as those located in",1.04,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
"prevalence of hepatitis A, such as those located in","prevalence of hepatitis A, such as those located in","Central or South America, Mexico, Asia except","Central or South America, Mexico, Asia (except",1.04,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1.0
"Central or South America, Mexico, Asia except","Central or South America, Mexico, Asia (except","Japan, Africa, and eastern Europe. For more","Japan), Africa, and eastern Europe. For more",1.04,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1.0
"Japan, Africa, and eastern Europe. For more","Japan), Africa, and eastern Europe. For more",information see www.cdc.gov/travel .,information see www.cdc.gov/travel.,1.04,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
information see www.cdc.gov/travel .,information see www.cdc.gov/travel.,Children and adolescents through 18 years of,Children and adolescents through 18 years of,2.93,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Children and adolescents through 18 years of,Children and adolescents through 18 years of,age who live in states or communities where,age who live in states or communities where,0.98,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
age who live in states or communities where,age who live in states or communities where,routine vaccination has been implemented,routine vaccination has been implemented,-170.67,276.0,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0.0
routine vaccination has been implemented,routine vaccination has been implemented,because of high disease incidence.,because of high disease incidence.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
because of high disease incidence.,because of high disease incidence.,Men who have sex with men.,Men who have sex with men.,2.9,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Men who have sex with men.,Men who have sex with men.,Persons who use street drugs.,Persons who use street drugs.,2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons who use street drugs.,Persons who use street drugs.,Persons with chronic liver disease.,Persons with chronic liver disease.,2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons with chronic liver disease.,Persons with chronic liver disease.,Persons who are treated with clotting factor,Persons who are treated with clotting factor,2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons who are treated with clotting factor,Persons who are treated with clotting factor,concentrates.,concentrates.,0.98,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
concentrates.,concentrates.,Persons who work with HAV-infected primates or,Persons who work with HAV-infected primates or,2.9,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons who work with HAV-infected primates or,Persons who work with HAV-infected primates or,who work with HAV in research laboratories.,who work with HAV in research laboratories.,0.98,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
who work with HAV in research laboratories.,who work with HAV in research laboratories.,Other people might get hepatitis A vaccine in,Other people might get hepatitis A vaccine in,3.47,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Other people might get hepatitis A vaccine in,Other people might get hepatitis A vaccine in,special situations:,special situations:,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
special situations:,special situations:,Hepatitis A vaccine might be recommended for,Hepatitis A vaccine might be recommended for,2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Hepatitis A vaccine might be recommended for,Hepatitis A vaccine might be recommended for,children or adolescents in communities where,children or adolescents in communities where,0.98,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
children or adolescents in communities where,children or adolescents in communities where,outbreaks of hepatitis A are occurring.,outbreaks of hepatitis A are occurring.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
outbreaks of hepatitis A are occurring.,outbreaks of hepatitis A are occurring.,Hepatitis A vaccine is not licensed for children younger,Hepatitis A vaccine is not licensed for children younger,2.92,-12.71,0,0,0,11.5,11.5,0.0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Hepatitis A vaccine is not licensed for children younger,Hepatitis A vaccine is not licensed for children younger,than 1 year of age.,than 1 year of age.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
than 1 year of age.,than 1 year of age.,WHEN?,WHEN?,3.2,0.0,1,0,1,11.5,11.5,0.0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
WHEN?,WHEN?,"For children, the first dose should be given at 12-23","For children, the first dose should be given at 12-23",2.9,0.0,1,1,0,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
"For children, the first dose should be given at 12-23","For children, the first dose should be given at 12-23",months of age. Children who are not vaccinated by 2,months of age.  Children who are not vaccinated by 2,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
months of age. Children who are not vaccinated by 2,months of age.  Children who are not vaccinated by 2,years of age can be vaccinated at later visits.,years of age can be vaccinated at later visits.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
years of age can be vaccinated at later visits.,years of age can be vaccinated at later visits.,"For travelers, the vaccine series should be started at","For travelers, the vaccine series should be started at",2.9,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
"For travelers, the vaccine series should be started at","For travelers, the vaccine series should be started at",least one month before traveling to provide the best,least one month before traveling to provide the best,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
least one month before traveling to provide the best,least one month before traveling to provide the best,protection.,protection.,0.98,0.0,1,0,1,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
protection.,protection.,Persons who get the vaccine less than one,Persons who get the vaccine less than one,2.81,25.04,0,1,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Persons who get the vaccine less than one,Persons who get the vaccine less than one,month before traveling can also get a shot,month before traveling can also get a shot,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
month before traveling can also get a shot,month before traveling can also get a shot,called immune globulin IG. IG gives,called immune globulin (IG).  IG gives,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
called immune globulin IG. IG gives,called immune globulin (IG).  IG gives,"immediate, temporary protection.","immediate, temporary protection.",0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
"immediate, temporary protection.","immediate, temporary protection.","For others, the hepatitis A vaccine series may be","For others, the hepatitis A vaccine series may be",3.06,-25.04,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
"For others, the hepatitis A vaccine series may be","For others, the hepatitis A vaccine series may be",started whenever a person is at risk of infection.,started whenever a person is at risk of infection.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
started whenever a person is at risk of infection.,started whenever a person is at risk of infection.,Two doses of the vaccine are needed for lasting,Two doses of the vaccine are needed for lasting,3.2,0.0,1,0,1,11.5,11.5,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Two doses of the vaccine are needed for lasting,Two doses of the vaccine are needed for lasting,protection. These doses should be given at least 6,protection.  These doses should be given at least 6,0.98,0.0,1,1,0,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
protection. These doses should be given at least 6,protection.  These doses should be given at least 6,months apart.,months apart.,0.98,0.0,1,0,1,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
months apart.,months apart.,Hepatitis A vaccine may be given at the same time as,Hepatitis A vaccine may be given at the same time as,3.18,0.0,1,1,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Hepatitis A vaccine may be given at the same time as,Hepatitis A vaccine may be given at the same time as,other vaccines.,other vaccines.,0.98,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1.0
other vaccines.,other vaccines.,Hepatitis A 3/21/06,Hepatitis A,3.97,12.3,0,0,0,11.5,12.0,0.5,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0.0
Some people should not get,Some people should not get,3 hepatitis A vaccine or should,hepatitis A vaccine or should,0.3,0.0,1,0,0,14.0,14.0,0.0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,2,2,1.0
3 hepatitis A vaccine or should,hepatitis A vaccine or should,wait,wait,0.3,0.0,1,0,0,14.0,14.0,0.0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,1.0
wait,wait,Anyone who has ever had a severe lifethreatening allergic reaction to a previous dose,threatening) allergic reaction to a previous dose,6.37,-22.79,0,0,0,14.0,11.5,-2.5,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,2,2,0.0
Anyone who has ever had a severe lifethreatening allergic reaction to a previous dose,threatening) allergic reaction to a previous dose,of hepatitis A vaccine should not get another dose.,of hepatitis A vaccine should not get another dose.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
of hepatitis A vaccine should not get another dose.,of hepatitis A vaccine should not get another dose.,Anyone who has a severe life threatening allergy,Anyone who has a severe (life threatening) allergy,3.24,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
Anyone who has a severe life threatening allergy,Anyone who has a severe (life threatening) allergy,to any vaccine component should not get the,to any vaccine component should not get the,1.02,12.71,0,0,0,11.5,11.5,0.0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
to any vaccine component should not get the,to any vaccine component should not get the,vaccine. Tell your doctor if you have anysevere,vaccine.  Tell your doctor if you have anysevere,1.0,0.0,1,0,0,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
vaccine. Tell your doctor if you have anysevere,vaccine.  Tell your doctor if you have anysevere,allergies. All hepatitis A vaccines contain alum,allergies.  All hepatitis A vaccines contain alum,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
allergies. All hepatitis A vaccines contain alum,allergies.  All hepatitis A vaccines contain alum,and some hepatitis A vaccines contain,and some hepatitis A vaccines contain,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
and some hepatitis A vaccines contain,and some hepatitis A vaccines contain,2-phenoxyethanol.,2-phenoxyethanol.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1.0
2-phenoxyethanol.,2-phenoxyethanol.,Anyone who is moderately or severely ill at the,Anyone who is moderately or severely ill at the,3.24,-12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
Anyone who is moderately or severely ill at the,Anyone who is moderately or severely ill at the,time the shot is scheduled should probably wait,time the shot is scheduled should probably wait,1.0,12.71,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
time the shot is scheduled should probably wait,time the shot is scheduled should probably wait,until they recover. Ask your doctor or nurse.,until they recover.  Ask your doctor or nurse.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
until they recover. Ask your doctor or nurse.,until they recover.  Ask your doctor or nurse.,People with a mild illness can usually get the,People with a mild illness can usually get the,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,1.0
People with a mild illness can usually get the,People with a mild illness can usually get the,vaccine.,vaccine.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
vaccine.,vaccine.,What if there is a moderate or,What if there is a moderate or,-72.97,298.79,0,0,0,11.5,14.0,2.5,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,2,2,0.0
What if there is a moderate or,What if there is a moderate or,severe reaction?,severe reaction?,0.3,0.0,1,0,0,14.0,14.0,0.0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,1,1,1,0,2,2,1.0
severe reaction?,severe reaction?,What should I look for?,What should I look for?,2.9,-35.5,0,0,0,14.0,11.5,-2.5,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,2,2,0.0
What should I look for?,What should I look for?,"Any unusual condition, such as a high fever or","Any unusual condition, such as a high fever or",0.91,0.0,1,0,0,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"Any unusual condition, such as a high fever or","Any unusual condition, such as a high fever or",behavior changes. Signs of a serious allergic,behavior changes. Signs of a serious allergic,1.0,9.0,0,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
behavior changes. Signs of a serious allergic,behavior changes. Signs of a serious allergic,"reaction can include difficulty breathing, hoarseness or wheezing, hives, paleness, weakness, a fast","ness or wheezing, hives, paleness, weakness, a fast",4.96,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"reaction can include difficulty breathing, hoarseness or wheezing, hives, paleness, weakness, a fast","ness or wheezing, hives, paleness, weakness, a fast",heart beat or dizziness.,heart beat or dizziness.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
heart beat or dizziness.,heart beat or dizziness.,What should I do?,What should I do?,3.53,-9.0,0,0,0,11.5,11.5,0.0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
What should I do?,What should I do?,"Call a doctor, or get the person to a doctor right","Call a doctor, or get the person to a doctor right",0.91,0.0,1,0,1,11.5,11.5,0.0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"Call a doctor, or get the person to a doctor right","Call a doctor, or get the person to a doctor right",away.,away.,1.0,9.0,0,1,1,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
away.,away.,"Tell your doctor what happened, the date and time","Tell your doctor what happened, the date and time",2.09,-9.0,0,1,1,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"Tell your doctor what happened, the date and time","Tell your doctor what happened, the date and time","it happened, and when the vaccination was given.","it happened, and when the vaccination was given.",1.0,9.0,0,1,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
"it happened, and when the vaccination was given.","it happened, and when the vaccination was given.","Ask your doctor, nurse, or health department to","Ask your doctor, nurse, or health department to",2.09,-9.0,0,0,1,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
"Ask your doctor, nurse, or health department to","Ask your doctor, nurse, or health department to",report the reaction by filing a Vaccine Adverse,report the reaction by filing a Vaccine Adverse,1.0,9.0,0,1,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
report the reaction by filing a Vaccine Adverse,report the reaction by filing a Vaccine Adverse,Event Reporting System VAERS form.,Event Reporting System (VAERS) form.,1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1.0
Event Reporting System VAERS form.,Event Reporting System (VAERS) form.,Or you can file this report through the VAERS,Or you can file this report through the VAERS,2.95,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0.0
Or you can file this report through the VAERS,Or you can file this report through the VAERS,"web site at www.vaers.hhs.gov, or by calling","web site at www.vaers.hhs.gov, or by calling",1.0,0.0,1,0,0,11.5,11.5,0.0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1.0
