text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
"perform this role effectively, they require proper nutrition to support their healthy growth","perform this role effectively, they require proper nutrition to support their healthy growth","and that of the colony. In the current review, we broadly discuss the basic nutritional needs","and that of the colony. In the current review, we broadly discuss the basic nutritional needs",0.96,0.3,1,0,0,9.93,9.86,-0.07,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"and that of the colony. In the current review, we broadly discuss the basic nutritional needs","and that of the colony. In the current review, we broadly discuss the basic nutritional needs","of honey bees, such as the consumption of proteins, carbohydrates, lipids, amino acids,","of honey bees, such as the consumption of proteins, carbohydrates, lipids, amino acids,",0.96,0,1,0,0,9.86,10.06,0.2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"of honey bees, such as the consumption of proteins, carbohydrates, lipids, amino acids,","of honey bees, such as the consumption of proteins, carbohydrates, lipids, amino acids,","vitamins, minerals, water, and other essential components. Additionally, we also discuss","vitamins, minerals, water, and other essential components. Additionally, we also discuss",0.96,-0.28,1,0,0,10.06,10.02,-0.04,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"vitamins, minerals, water, and other essential components. Additionally, we also discuss","vitamins, minerals, water, and other essential components. Additionally, we also discuss",the use of nutritional supplements aimed at supporting the health and strengthening of the,the use of nutritional supplements aimed at supporting the health and strengthening of the,0.96,0.28,1,0,0,10.02,9.86,-0.15,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the use of nutritional supplements aimed at supporting the health and strengthening of the,the use of nutritional supplements aimed at supporting the health and strengthening of the,"colony, and how, despite these efforts, inadequate nutrition can still be a problem for honey","colony, and how, despite these efforts, inadequate nutrition can still be a problem for honey",0.96,0,1,0,0,9.86,9.86,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"colony, and how, despite these efforts, inadequate nutrition can still be a problem for honey","colony, and how, despite these efforts, inadequate nutrition can still be a problem for honey",bee colonies.,bee colonies.,0.96,0,1,0,0,9.86,9.96,0.1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
bee colonies.,bee colonies.,Academic Editor: Cristina Botías,Academic Editor: Cristina Botías,33.16,-130.68,0,0,0,9.96,6.97,-2.99,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Academic Editor: Cristina Botías,Academic Editor: Cristina Botías,Received: 18 December 2024,Received: 18 December 2024,2.16,0,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Received: 18 December 2024,Received: 18 December 2024,Revised: 15 January 2025,Revised: 15 January 2025,1.2,0,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Revised: 15 January 2025,Revised: 15 January 2025,Accepted: 15 January 2025,Accepted: 15 January 2025,1.2,-0.27,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Accepted: 15 January 2025,Accepted: 15 January 2025,Published: 18 January 2025,Published: 18 January 2025,1.2,0.27,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Published: 18 January 2025,Published: 18 January 2025,"Citation: Ansaloni, L.S.; Kristl, J.;","Citation: Ansaloni, L.S.; Kristl, J.;",2.17,0,1,0,0,6.97,6.97,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Citation: Ansaloni, L.S.; Kristl, J.;","Citation: Ansaloni, L.S.; Kristl, J.;","Domingues, C.E.C.; Gregorc, A. An","Domingues, C.E.C.; Gregorc, A. An",1.23,0,1,0,0,6.97,6.97,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Domingues, C.E.C.; Gregorc, A. An","Domingues, C.E.C.; Gregorc, A. An",Overview of the Nutritional,Overview of the Nutritional,1.2,0,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Overview of the Nutritional,Overview of the Nutritional,Requirements of Honey Bees  Apis,Requirements of Honey Bees (Apis,1.2,0,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Requirements of Honey Bees  Apis,Requirements of Honey Bees (Apis,"mellifera Linnaeus, 1758. Insects 2025,","mellifera Linnaeus, 1758). Insects 2025,",1.19,0,1,0,0,6.97,6.97,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"mellifera Linnaeus, 1758. Insects 2025,","mellifera Linnaeus, 1758). Insects 2025,","16 , 97. https://doi.org/10.3390/https://doi.org/10.3390/insects16010097",https://doi.org/10.3390/insects16010097,37.14,377.47,0,0,0,6.97,7.97,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"16 , 97. https://doi.org/10.3390/https://doi.org/10.3390/insects16010097",https://doi.org/10.3390/insects16010097,insects16010097https://doi.org/10.3390/insects16010097,"16, 97. https://doi.org/10.3390/",-37.84,-377.82,0,0,0,7.97,6.97,-1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
insects16010097https://doi.org/10.3390/insects16010097,"16, 97. https://doi.org/10.3390/",Copyright: © 2025 by the authors.,Copyright: © 2025 by the authors.,5.57,0.35,1,0,0,6.97,6.97,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Copyright: © 2025 by the authors.,Copyright: © 2025 by the authors.,"Licensee MDPI, Basel, Switzerland.","Licensee MDPI, Basel, Switzerland.",1.23,0,1,0,0,6.97,6.97,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"Licensee MDPI, Basel, Switzerland.","Licensee MDPI, Basel, Switzerland.",This article is an open access article,This article is an open access article,1.2,-0.22,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
This article is an open access article,This article is an open access article,distributed under the terms and,distributed under the terms and,1.2,0.22,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
distributed under the terms and,distributed under the terms and,conditions of the Creative Commons,conditions of the Creative Commons,1.2,0,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
conditions of the Creative Commons,conditions of the Creative Commons,Attribution CC BY license,Attribution (CC BY) license,1.2,-0.27,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Attribution CC BY license,Attribution (CC BY) license,https://creativecommons.org/https://creativecommons.org/licenses/by/4.0/,(https://creativecommons.org/,1.2,0.04,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
https://creativecommons.org/https://creativecommons.org/licenses/by/4.0/,(https://creativecommons.org/,licenses/by/4.0/.https://creativecommons.org/licenses/by/4.0/,licenses/by/4.0/).,1.2,0.23,1,0,0,6.97,6.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
licenses/by/4.0/.https://creativecommons.org/licenses/by/4.0/,licenses/by/4.0/).,"Abstract: Honey bees are known for their wide global distribution, their ease of handling,","Abstract: Honey bees are known for their wide global distribution, their ease of handling,",-89,130.29,0,0,0,6.97,9.96,2.98,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
"Abstract: Honey bees are known for their wide global distribution, their ease of handling,","Abstract: Honey bees are known for their wide global distribution, their ease of handling,","and their economic and ecological value. However, they are often exposed to a wide variety","and their economic and ecological value. However, they are often exposed to a wide variety",1,0.39,1,0,0,9.96,9.86,-0.1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"and their economic and ecological value. However, they are often exposed to a wide variety","and their economic and ecological value. However, they are often exposed to a wide variety","of stress factors. Therefore, it is essential for beekeepers to maintain healthy bee colonies. In","of stress factors. Therefore, it is essential for beekeepers to maintain healthy bee colonies. In",0.96,0,1,0,0,9.86,9.86,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"of stress factors. Therefore, it is essential for beekeepers to maintain healthy bee colonies. In","of stress factors. Therefore, it is essential for beekeepers to maintain healthy bee colonies. In","this context, a balanced diet is recommended to support the growth of strong and healthy","this context, a balanced diet is recommended to support the growth of strong and healthy",0.96,0,1,0,0,9.86,9.96,0.1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"this context, a balanced diet is recommended to support the growth of strong and healthy","this context, a balanced diet is recommended to support the growth of strong and healthy",honey bee colonies. The purpose of this review is therefore to provide an overview of,honey bee colonies. The purpose of this review is therefore to provide an overview of,0.96,0,1,0,0,9.96,10.06,0.1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
honey bee colonies. The purpose of this review is therefore to provide an overview of,honey bee colonies. The purpose of this review is therefore to provide an overview of,the nutritional requirements of Apis mellifera and their importance for the maintenance of,the nutritional requirements of Apis mellifera and their importance for the maintenance of,0.96,0,1,0,0,10.06,9.99,-0.07,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the nutritional requirements of Apis mellifera and their importance for the maintenance of,the nutritional requirements of Apis mellifera and their importance for the maintenance of,healthy bee colonies. An adequate diet includes the consumption of sufficient amounts of,healthy bee colonies. An adequate diet includes the consumption of sufficient amounts of,0.96,0,1,0,0,9.99,9.95,-0.03,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
healthy bee colonies. An adequate diet includes the consumption of sufficient amounts of,healthy bee colonies. An adequate diet includes the consumption of sufficient amounts of,"proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and essential sterols,","proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and essential sterols,",0.96,-0.3,1,0,0,9.95,9.86,-0.09,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and essential sterols,","proteins, carbohydrates, lipids, amino acids, vitamins, minerals, water, and essential sterols,","and a diet based on multi-floral pollen is desirable. However, when honey bee colonies","and a diet based on multi-floral pollen is desirable. However, when honey bee colonies",0.96,0.3,1,0,0,9.86,10.06,0.2,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"and a diet based on multi-floral pollen is desirable. However, when honey bee colonies","and a diet based on multi-floral pollen is desirable. However, when honey bee colonies","are located near agroecosystems with lower resource diversity, both brood rearing and","are located near agroecosystems with lower resource diversity, both brood rearing and",0.96,0,1,0,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"are located near agroecosystems with lower resource diversity, both brood rearing and","are located near agroecosystems with lower resource diversity, both brood rearing and","colony longevity may decrease, making them more susceptible to parasites and diseases.","colony longevity may decrease, making them more susceptible to parasites and diseases.",0.96,0,1,0,0,10.06,10.03,-0.03,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"colony longevity may decrease, making them more susceptible to parasites and diseases.","colony longevity may decrease, making them more susceptible to parasites and diseases.","On the other hand, efforts have been made to improve the health of honey bee colonies with","On the other hand, efforts have been made to improve the health of honey bee colonies with",0.96,0,1,0,0,10.03,9.86,-0.17,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
"On the other hand, efforts have been made to improve the health of honey bee colonies with","On the other hand, efforts have been made to improve the health of honey bee colonies with","the help of nutritional supplements consisting of a variety of components. Nevertheless,","the help of nutritional supplements consisting of a variety of components. Nevertheless,",0.96,0,1,0,0,9.86,10.05,0.18,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"the help of nutritional supplements consisting of a variety of components. Nevertheless,","the help of nutritional supplements consisting of a variety of components. Nevertheless,","studies have shown that even with these supplements, a lack of nutrients can still be an","studies have shown that even with these supplements, a lack of nutrients can still be an",0.96,0,1,0,0,10.05,10.06,0.01,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"studies have shown that even with these supplements, a lack of nutrients can still be an","studies have shown that even with these supplements, a lack of nutrients can still be an","issue for honey bee colonies. Furthermore, future research should focus on identifying","issue for honey bee colonies. Furthermore, future research should focus on identifying",0.96,0,1,0,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"issue for honey bee colonies. Furthermore, future research should focus on identifying","issue for honey bee colonies. Furthermore, future research should focus on identifying","nutritional supplements that can better replicate natural diet diversity and assessing longterm effects on honey bee colony resilience, especially in low-flowering areas. This review","term effects on honey bee colony resilience, especially in low-flowering areas. This review",4.32,0,1,0,0,10.06,9.94,-0.12,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"nutritional supplements that can better replicate natural diet diversity and assessing longterm effects on honey bee colony resilience, especially in low-flowering areas. This review","term effects on honey bee colony resilience, especially in low-flowering areas. This review",discusses the interaction between nutrient requirements and the effects of supplements on,discusses the interaction between nutrient requirements and the effects of supplements on,0.96,0,1,0,0,9.94,9.92,-0.02,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
discusses the interaction between nutrient requirements and the effects of supplements on,discusses the interaction between nutrient requirements and the effects of supplements on,colony health.,colony health.,0.96,0,1,0,0,9.92,9.96,0.04,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
colony health.,colony health.,Keywords: development; health; nectar; nutrition; pollen,Keywords: development; health; nectar; nutrition; pollen,3.87,0,1,0,0,9.96,9.96,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Keywords: development; health; nectar; nutrition; pollen,Keywords: development; health; nectar; nutrition; pollen,1. Introduction,1. Introduction,10.06,0,1,0,0,9.96,11.96,1.99,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
1. Introduction,1. Introduction,Pollination stands out as one of the most essential ecosystem services. According to,Pollination stands out as one of the most essential ecosystem services. According to,1.59,21.26,0,0,0,11.96,10.03,-1.92,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
Pollination stands out as one of the most essential ecosystem services. According to,Pollination stands out as one of the most essential ecosystem services. According to,"Ollerton et al.  1 , it is estimated that approximately 87.5% of all flowering plant species","Ollerton et al. [1], it is estimated that approximately 87.5% of all flowering plant species",0.96,-21.26,0,0,0,10.03,10.06,0.03,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
depend on animal pollination. Bees provide valuable pollination services to a wide range,depend on animal pollination. Bees provide valuable pollination services to a wide range,"of crops and native flora worldwide  2 – 4 . Among the diversity of bee species, with over","of crops and native flora worldwide [2–4]. Among the diversity of bee species, with over",1,0,1,0,1,9.97,10.01,0.04,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"of crops and native flora worldwide  2 – 4 . Among the diversity of bee species, with over","of crops and native flora worldwide [2–4]. Among the diversity of bee species, with over","20,000 already described worldwide  5 , the honey bee  Apis mellifera Linnaeus, 1758","20,000 already described worldwide [5], the honey bee (Apis mellifera Linnaeus, 1758)",1,0,1,1,1,10.01,10.06,0.05,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
"20,000 already described worldwide  5 , the honey bee  Apis mellifera Linnaeus, 1758","20,000 already described worldwide [5], the honey bee (Apis mellifera Linnaeus, 1758)","distinguishes itself globally for its substantial economic and ecological value, derived","distinguishes itself globally for its substantial economic and ecological value, derived",1,0,1,1,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"distinguishes itself globally for its substantial economic and ecological value, derived","distinguishes itself globally for its substantial economic and ecological value, derived",from the essential role it plays in pollination  6 . This species holds significant economic,from the essential role it plays in pollination [6]. This species holds significant economic,1,0,1,0,1,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
from the essential role it plays in pollination  6 . This species holds significant economic,from the essential role it plays in pollination [6]. This species holds significant economic,importance by not only increasing production and quality in agricultural fields but also,importance by not only increasing production and quality in agricultural fields but also,1,0,1,1,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
importance by not only increasing production and quality in agricultural fields but also,importance by not only increasing production and quality in agricultural fields but also,"through the commercialization of bee products like apitoxin bee venom, honey, propolis,","through the commercialization of bee products like apitoxin (bee venom), honey, propolis,",1,0,1,0,0,10.06,9.93,-0.13,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"through the commercialization of bee products like apitoxin bee venom, honey, propolis,","through the commercialization of bee products like apitoxin (bee venom), honey, propolis,","royal jelly, and wax 3,7.","royal jelly, and wax [3,7].",1,0,1,0,0,9.93,9.96,0.03,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"royal jelly, and wax 3,7.","royal jelly, and wax [3,7].","According to Ilyasov et al.  8 , although there are differences in taxonomic revisions,","According to Ilyasov et al. [8], although there are differences in taxonomic revisions,",1,21.26,0,0,1,9.96,10.01,0.04,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"According to Ilyasov et al.  8 , although there are differences in taxonomic revisions,","According to Ilyasov et al. [8], although there are differences in taxonomic revisions,","thirty-three distinct honey bee subspecies are currently found in Europe, Africa, and Western Asia and the Middle East. Moreover, due to the Africanization process resulting from","ern Asia and the Middle East. Moreover, due to the Africanization process resulting from",4.49,-21.26,0,1,0,10.01,9.97,-0.03,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"thirty-three distinct honey bee subspecies are currently found in Europe, Africa, and Western Asia and the Middle East. Moreover, due to the Africanization process resulting from","ern Asia and the Middle East. Moreover, due to the Africanization process resulting from","the intercross of European and African subspecies, the hybrid Africanized A. mellifera has","the intercross of European and African subspecies, the hybrid Africanized A. mellifera has",1,0,1,0,1,9.97,9.97,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"the intercross of European and African subspecies, the hybrid Africanized A. mellifera has","the intercross of European and African subspecies, the hybrid Africanized A. mellifera has","also spread throughout the Americas  9, 10 . Depending on the subspecies, honey bees may","also spread throughout the Americas [9,10]. Depending on the subspecies, honey bees may",1,0,1,1,1,9.97,9.87,-0.11,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"also spread throughout the Americas  9, 10 . Depending on the subspecies, honey bees may","also spread throughout the Americas [9,10]. Depending on the subspecies, honey bees may","exhibit less defensive behavior and an enhanced ability to adapt to colder climates, as observed in A. m. carnica  11 , or more defensive behavior, as found in A. m. scutellata  12 , as","served in A. m. carnica [11], or more defensive behavior, as found in A. m. scutellata [12], as",4.49,0,1,1,0,9.87,9.91,0.05,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"exhibit less defensive behavior and an enhanced ability to adapt to colder climates, as observed in A. m. carnica  11 , or more defensive behavior, as found in A. m. scutellata  12 , as","served in A. m. carnica [11], or more defensive behavior, as found in A. m. scutellata [12], as","well as better adaptability to warm environments, as described for A. m. ligustica  13 . Nevertheless, the honey bees have a strong foraging orientation and exhibit high performance","ertheless, the honey bees have a strong foraging orientation and exhibit high performance",4.49,0,1,0,0,9.91,9.94,0.03,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"well as better adaptability to warm environments, as described for A. m. ligustica  13 . Nevertheless, the honey bees have a strong foraging orientation and exhibit high performance","ertheless, the honey bees have a strong foraging orientation and exhibit high performance","in honey production 14,15.","in honey production [14,15].",1,0,1,0,0,9.94,9.96,0.02,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"in honey production 14,15.","in honey production [14,15].",Many studies have been conducted within breeding programs for A. mellifera to,Many studies have been conducted within breeding programs for A. mellifera to,1,21.26,0,0,1,9.96,10.06,0.1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
Many studies have been conducted within breeding programs for A. mellifera to,Many studies have been conducted within breeding programs for A. mellifera to,"improve desirable honey bee traits, aiming to obtain healthier and more productive","improve desirable honey bee traits, aiming to obtain healthier and more productive",1,-21.26,0,1,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"improve desirable honey bee traits, aiming to obtain healthier and more productive","improve desirable honey bee traits, aiming to obtain healthier and more productive","colonies  11, 16 – 20 . These efforts also include enhancing resistance to Varroa  21 – 23 ,","colonies [11,16–20]. These efforts also include enhancing resistance to Varroa [21–23],",1,0,1,0,0,10.06,10.06,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"colonies  11, 16 – 20 . These efforts also include enhancing resistance to Varroa  21 – 23 ,","colonies [11,16–20]. These efforts also include enhancing resistance to Varroa [21–23],",and screening for the presence of viruses during queen rearing 24–26.,and screening for the presence of viruses during queen rearing [24–26].,1,0,1,0,1,10.06,9.96,-0.1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
and screening for the presence of viruses during queen rearing 24–26.,and screening for the presence of viruses during queen rearing [24–26].,"However, honey bee colony mortality has impacted beekeepers worldwide over the","However, honey bee colony mortality has impacted beekeepers worldwide over the",1,21.26,0,1,0,9.96,10.01,0.05,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
"However, honey bee colony mortality has impacted beekeepers worldwide over the","However, honey bee colony mortality has impacted beekeepers worldwide over the","past decades  27 , calling for effective mitigation strategies. Goulson et al.  28  highlighted","past decades [27], calling for effective mitigation strategies. Goulson et al. [28] highlighted",1,-21.56,0,0,0,10.01,9.92,-0.09,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
