text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
This guidance note synthesizes the outcomes of this dialogue and a related desk review. 6 It describes the,This guidance note synthesizes the outcomes of this dialogue and a related desk review.6 It describes the,challenges around sharing sensitive data with donors and offers initial recommendations for how donors,challenges around sharing sensitive data with donors and offers initial recommendations for how donors,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
challenges around sharing sensitive data with donors and offers initial recommendations for how donors,challenges around sharing sensitive data with donors and offers initial recommendations for how donors,and humanitarian organizations can more effectively navigate this area.,and humanitarian organizations can more effectively navigate this area.,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
and humanitarian organizations can more effectively navigate this area.,and humanitarian organizations can more effectively navigate this area.,DONOR REQUESTS FOR DATA,DONOR REQUESTS FOR DATA,-63.08,0,1,1,1,11,11,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
DONOR REQUESTS FOR DATA,DONOR REQUESTS FOR DATA,Donors regularly request data from their partners in order to fulfil different obligations and objectives.,Donors regularly request data from their partners in order to fulfil different obligations and objectives.,-63.08,0,1,1,1,11,11,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Donors regularly request data from their partners in order to fulfil different obligations and objectives.,Donors regularly request data from their partners in order to fulfil different obligations and objectives.,These requests can be either formal or informal.,These requests can be either formal or informal.,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1
These requests can be either formal or informal.,These requests can be either formal or informal.,"• Formal requests tend to be included in grant agreements in relation to reporting criteria, and are","Formal requests tend to be included in grant agreements in relation to reporting criteria, and are",-63.08,0,1,1,1,11,11,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"• Formal requests tend to be included in grant agreements in relation to reporting criteria, and are","Formal requests tend to be included in grant agreements in relation to reporting criteria, and are",typically based on legal requirements such as compliance with counter-terrorism laws. Such requests,typically based on legal requirements such as compliance with counter-terrorism laws. Such requests,-63.08,0,1,1,1,11,11,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
typically based on legal requirements such as compliance with counter-terrorism laws. Such requests,typically based on legal requirements such as compliance with counter-terrorism laws. Such requests,"tend to be negotiated at the outset of a partnership or grant agreement, and are usually made in","tend to be negotiated at the outset of a partnership or grant agreement, and are usually made in",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"tend to be negotiated at the outset of a partnership or grant agreement, and are usually made in","tend to be negotiated at the outset of a partnership or grant agreement, and are usually made in",writing and scheduled in advance.,writing and scheduled in advance.,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
writing and scheduled in advance.,writing and scheduled in advance.,• Informal requests concern information or data that typically fall outside of the normal scope of,Informal requests concern information or data that typically fall outside of the normal scope  of,-63.08,0,1,1,1,11,11,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
• Informal requests concern information or data that typically fall outside of the normal scope of,Informal requests concern information or data that typically fall outside of the normal scope  of,"reporting. These ad-hoc requests often carry implicit value, meaning that while they are not","reporting. These ad-hoc requests often carry implicit value, meaning that while they are not",-63.08,0,1,1,1,11,11,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"reporting. These ad-hoc requests often carry implicit value, meaning that while they are not","reporting. These ad-hoc requests often carry implicit value, meaning that while they are not","formally required, delivering this supplementary data is deemed beneficial for an organization’s","formally required, delivering this supplementary data is deemed beneficial for an organization’s",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"formally required, delivering this supplementary data is deemed beneficial for an organization’s","formally required, delivering this supplementary data is deemed beneficial for an organization’s",ongoing engagement and partnership with a donor. These requests represent a greater dilemma for,ongoing engagement and partnership with a donor. These requests represent a greater dilemma for,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
ongoing engagement and partnership with a donor. These requests represent a greater dilemma for,ongoing engagement and partnership with a donor. These requests represent a greater dilemma for,humanitarian actors.,humanitarian action.,-63.08,0,1,1,1,11,7.5,-3.5,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
humanitarian actors.,humanitarian action.,Few donors have formal data sharing policies or guidelines in place. 7 There is also a lack of shared,Few donors have formal data sharing policies or guidelines in place.7 There is also a lack of shared,-63.08,0,1,1,1,7.5,11,3.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Few donors have formal data sharing policies or guidelines in place. 7 There is also a lack of shared,Few donors have formal data sharing policies or guidelines in place.7 There is also a lack of shared,understanding of terminology and of the objectives and risks around data sharing. There are different,understanding of terminology and of the objectives and risks around data sharing. There are different,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
understanding of terminology and of the objectives and risks around data sharing. There are different,understanding of terminology and of the objectives and risks around data sharing. There are different,"definitions and understanding of data-related risks, leading to inconsistent and sometimes contradictory","definitions and understanding of data-related risks, leading to inconsistent and sometimes contradictory",-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"definitions and understanding of data-related risks, leading to inconsistent and sometimes contradictory","definitions and understanding of data-related risks, leading to inconsistent and sometimes contradictory",practices around sharing potentially sensitive data with donors in a particular context. 8,practices around sharing potentially sensitive data with donors in a particular context.8,-63.08,0,1,1,1,11,11,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
practices around sharing potentially sensitive data with donors in a particular context. 8,practices around sharing potentially sensitive data with donors in a particular context.8,"3 Non-personal data is defined as data which was initially personal data, but later made anonymous, such as data about the people affected by the","3   Non-personal data is defined as data which was initially personal data, but later made anonymous, such as data about the people affected by the",-63.08,0,1,1,1,11,4.52,-6.48,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"3 Non-personal data is defined as data which was initially personal data, but later made anonymous, such as data about the people affected by the","3   Non-personal data is defined as data which was initially personal data, but later made anonymous, such as data about the people affected by the","humanitarian situation and their needs, the threats and vulnerabilities they face, and their capacities adapted from Regulation EUhttps://eur-lex.europa.eu/eli/reg/2018/1807/oj","humanitarian situation and their needs, the threats and vulnerabilities they face, and their capacities (adapted from Regulation (EU)",-63.08,0,1,1,1,4.52,7.5,2.98,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"humanitarian situation and their needs, the threats and vulnerabilities they face, and their capacities adapted from Regulation EUhttps://eur-lex.europa.eu/eli/reg/2018/1807/oj","humanitarian situation and their needs, the threats and vulnerabilities they face, and their capacities (adapted from Regulation (EU)",2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in thehttps://eur-lex.europa.eu/eli/reg/2018/1807/oj,2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in the,-63.08,0,1,1,1,7.5,7.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in thehttps://eur-lex.europa.eu/eli/reg/2018/1807/oj,2018/1807 of the European Parliament and of the Council of 14 November 2018 on a framework for the free flow of non-personal data in the,4 See the Working Draft OCHA Guidelines for Data Responsibility and the ICRC Handbook on data protection in humanitarian action.https://centre.humdata.org/wp-content/uploads/2019/03/OCHA-DR-Guidelines-working-draft-032019.pdf,4   See the Working Draft OCHA Guidelines for Data Responsibility and the ICRC Handbook on data protection in humanitarian action.,-63.08,0,1,1,1,7.5,4.52,-2.98,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
4 See the Working Draft OCHA Guidelines for Data Responsibility and the ICRC Handbook on data protection in humanitarian action.https://centre.humdata.org/wp-content/uploads/2019/03/OCHA-DR-Guidelines-working-draft-032019.pdf,4   See the Working Draft OCHA Guidelines for Data Responsibility and the ICRC Handbook on data protection in humanitarian action.,5 Read more about the virtual dialogue in this Wilton Park Report.https://centre.humdata.org/outcomes-from-wilton-park-dialogue-on-responsible-data-sharing-with-donors/,5   Read more about the virtual dialogue in this Wilton Park Report.,-63.08,0,1,1,1,4.52,4.52,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
