text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,page_number_a,page_number_b,label
"the year 2019. The results inferred that the field release of Trichogramma chilonis @ 50,000 ha -1 at 30 DAP and two times","the year 2019. The results inferred that the field release of Trichogramma chilonis @ 50,000 ha-1 at 30 DAP and two times",after node formation at an interval of 7 days in combination with installation of pheromone traps @ 20 ha -1 for mass,after node formation at an interval of 7 days in combination with installation of pheromone traps @ 20 ha-1 for mass,0.86,0,1,0,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
after node formation at an interval of 7 days in combination with installation of pheromone traps @ 20 ha -1 for mass,after node formation at an interval of 7 days in combination with installation of pheromone traps @ 20 ha-1 for mass,trapping at 30 DAP till harvest had registered comparatively less infestation of sugarcane borers. The cumulative per cent,trapping at 30 DAP till harvest had registered comparatively less infestation of sugarcane borers. The cumulative per cent,0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
trapping at 30 DAP till harvest had registered comparatively less infestation of sugarcane borers. The cumulative per cent,trapping at 30 DAP till harvest had registered comparatively less infestation of sugarcane borers. The cumulative per cent,dead hearts 7.28 by early shoot borer and per cent incidence 19.15 and intensity of internode borer 1.45 was found to,dead hearts (7.28) by early shoot borer and per cent incidence (19.15) and intensity of internode borer (1.45) was found to,0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
dead hearts 7.28 by early shoot borer and per cent incidence 19.15 and intensity of internode borer 1.45 was found to,dead hearts (7.28) by early shoot borer and per cent incidence (19.15) and intensity of internode borer (1.45) was found to,"be minimum in BIPM adopted fields as against highest in control plots with 39.47 per cent dead hearts by early shoot borer,","be minimum in BIPM adopted fields as against highest in control plots with 39.47 per cent dead hearts by early shoot borer,",0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"be minimum in BIPM adopted fields as against highest in control plots with 39.47 per cent dead hearts by early shoot borer,","be minimum in BIPM adopted fields as against highest in control plots with 39.47 per cent dead hearts by early shoot borer,",50.52 and 5.81 per cent incidence and intensity of internode borer infesting sugarcane. The chemical based components,50.52 and 5.81 per cent incidence and intensity of internode borer infesting sugarcane. The chemical based components,0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
50.52 and 5.81 per cent incidence and intensity of internode borer infesting sugarcane. The chemical based components,50.52 and 5.81 per cent incidence and intensity of internode borer infesting sugarcane. The chemical based components,and farmers practices also registered less infestation of borer complex in sugarcane and are at par to BIPM based management,and farmers practices also registered less infestation of borer complex in sugarcane and are at par to BIPM based management,0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
and farmers practices also registered less infestation of borer complex in sugarcane and are at par to BIPM based management,and farmers practices also registered less infestation of borer complex in sugarcane and are at par to BIPM based management,"strategies. Hence, it can be witnessed that the prioritization of bio intensive pest management components for sustainable","strategies. Hence, it can be witnessed that the prioritization of bio intensive pest management components for sustainable",0.86,0,1,1,1,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"strategies. Hence, it can be witnessed that the prioritization of bio intensive pest management components for sustainable","strategies. Hence, it can be witnessed that the prioritization of bio intensive pest management components for sustainable",agriculture is the need of the hour.,agriculture is the need of the hour.,0.86,0,1,1,0,10.08,10.08,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
agriculture is the need of the hour.,agriculture is the need of the hour.,"Keywords : BIPM, Sugarcane borers, T.chilonis and Traps.","Keywords:  BIPM,  Sugarcane borers, T.chilonis and Traps.",13.12,0,1,0,0,10.08,10.08,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
"Keywords : BIPM, Sugarcane borers, T.chilonis and Traps.","Keywords:  BIPM,  Sugarcane borers, T.chilonis and Traps.",Sugarcane occupies a prominent position in,Sugarcane occupies a prominent position in,32.6,36,0,0,0,10.08,11.04,0.96,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
Sugarcane occupies a prominent position in,Sugarcane occupies a prominent position in,"India as commercial and industrial crop, is cultivated","India as commercial and industrial crop, is cultivated",1,-36,0,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"India as commercial and industrial crop, is cultivated","India as commercial and industrial crop, is cultivated",in both tropical and subtropical regions. It endows raw,in both tropical and subtropical regions. It endows raw,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
in both tropical and subtropical regions. It endows raw,in both tropical and subtropical regions. It endows raw,material to the major agro based industries of our,material  to  the  major  agro  based  industries  of  our,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
material to the major agro based industries of our,material  to  the  major  agro  based  industries  of  our,"country i.e ., the sugar industry and supports rural","country i.e., the sugar industry and supports rural",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"country i.e ., the sugar industry and supports rural","country i.e., the sugar industry and supports rural","cottage industries to some extent. It also, provides raw","cottage industries to some extent. It also, provides raw",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"cottage industries to some extent. It also, provides raw","cottage industries to some extent. It also, provides raw","material to power generation, alcohol based factories","material to power generation, alcohol based factories",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"material to power generation, alcohol based factories","material to power generation, alcohol based factories",and bio fertilizers manufacturing companies through,and bio fertilizers manufacturing companies through,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
and bio fertilizers manufacturing companies through,and bio fertilizers manufacturing companies through,"by products from sugarcane factories such as bagasse,","by products from sugarcane factories such as bagasse,",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"by products from sugarcane factories such as bagasse,","by products from sugarcane factories such as bagasse,","molasses, ethanol and press mud etc Srikanth et al .,","molasses, ethanol and press mud etc (Srikanth et al.,",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"molasses, ethanol and press mud etc Srikanth et al .,","molasses, ethanol and press mud etc (Srikanth et al.,",2016. In India sugarcane crop is cultivated in an area,2016). In India sugarcane crop is cultivated in an area,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
2016. In India sugarcane crop is cultivated in an area,2016). In India sugarcane crop is cultivated in an area,of 5.01 M ha with annual production and average,of 5.01 M ha with  annual production and average,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
of 5.01 M ha with annual production and average,of 5.01 M ha with  annual production and average,"productivity of 339 M t and 66.99 t ha -1, respectively","productivity of 339 M t and 66.99 t ha-1, respectively",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"productivity of 339 M t and 66.99 t ha -1, respectively","productivity of 339 M t and 66.99 t ha-1, respectively","Shobharani et al ., 2018. Andhra Pradesh accounts","(Shobharani et al., 2018). Andhra Pradesh accounts",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Shobharani et al ., 2018. Andhra Pradesh accounts","(Shobharani et al., 2018). Andhra Pradesh accounts",for nearly 8.4 per cent of total cane production of our,for nearly 8.4 per cent of total cane production of our,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
for nearly 8.4 per cent of total cane production of our,for nearly 8.4 per cent of total cane production of our,country covering 10 L ha area with 0.8 L t of annual,country covering 10 L ha area with 0.8 L t of annual,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
country covering 10 L ha area with 0.8 L t of annual,country covering 10 L ha area with 0.8 L t of annual,production abounding nearly 29 sugar factories. Right,production abounding nearly 29 sugar factories. Right,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
production abounding nearly 29 sugar factories. Right,production abounding nearly 29 sugar factories. Right,"from germination to till harvest, 212 insect pests and","from germination to till harvest, 212 insect pests and",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"from germination to till harvest, 212 insect pests and","from germination to till harvest, 212 insect pests and",76 non insect pests were notified to attack the,76 non insect pests were notified to attack the,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
76 non insect pests were notified to attack the,76 non insect pests were notified to attack the,"sugarcane crop. Among the destructive pests,","sugarcane crop. Among the destructive pests,",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"sugarcane crop. Among the destructive pests,","sugarcane crop. Among the destructive pests,",infestation by borer pests alone contributes more than,infestation by borer pests alone contributes more than,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
infestation by borer pests alone contributes more than,infestation by borer pests alone contributes more than,45 per cent of yield loss in sugarcane as inferred by,45 per cent of yield loss in sugarcane as inferred by,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
45 per cent of yield loss in sugarcane as inferred by,45 per cent of yield loss in sugarcane as inferred by,Gupta 1993. The peak incidences of early shoot borer,Gupta (1993). The peak incidences of early shoot borer,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
Gupta 1993. The peak incidences of early shoot borer,Gupta (1993). The peak incidences of early shoot borer,"ESB, Chilo infuscatellus snellen at formative","(ESB), Chilo infuscatellus (snellen) at formative",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"ESB, Chilo infuscatellus snellen at formative","(ESB), Chilo infuscatellus (snellen) at formative","stage, internode borer INB, Chilo sacchariphagus","stage, internode borer (INB), Chilo sacchariphagus",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"stage, internode borer INB, Chilo sacchariphagus","stage, internode borer (INB), Chilo sacchariphagus",indicus Kapur after formation of internodes till,indicus (Kapur) after formation of internodes till,1,0,1,0,0,11.04,11.04,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
indicus Kapur after formation of internodes till,indicus (Kapur) after formation of internodes till,"harvest and top shoot borer TSB, Scirpophaga","harvest and top shoot borer (TSB), Scirpophaga",1,0,1,0,0,11.04,11.04,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"harvest and top shoot borer TSB, Scirpophaga","harvest and top shoot borer (TSB), Scirpophaga",excerptalis Walker damage at grand growth stage,excerptalis (Walker) damage at grand growth stage,-365.07,248.16,0,0,1,11.04,11.04,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0
excerptalis Walker damage at grand growth stage,excerptalis (Walker) damage at grand growth stage,of sugarcane result in substantial loss with respect to,of sugarcane result in substantial loss with respect to,1,0,1,1,0,11.04,11.04,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1
of sugarcane result in substantial loss with respect to,of sugarcane result in substantial loss with respect to,cane yield and sugar recovery.,cane yield and sugar recovery.,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
cane yield and sugar recovery.,cane yield and sugar recovery.,The young larva of early shoot borer destroys,The young larva of early shoot borer destroys,1,36,0,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0
The young larva of early shoot borer destroys,The young larva of early shoot borer destroys,the apical meristem of sugarcane by boring the spindles,the apical meristem of sugarcane by boring the spindles,1,-36,0,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the apical meristem of sugarcane by boring the spindles,the apical meristem of sugarcane by boring the spindles,"downwards and upwards, eventually resulting in drying","downwards and upwards, eventually resulting in drying",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"downwards and upwards, eventually resulting in drying","downwards and upwards, eventually resulting in drying",of central leaf spindle forming dead hearts. Early shoot,of central leaf spindle forming dead hearts. Early shoot,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
of central leaf spindle forming dead hearts. Early shoot,of central leaf spindle forming dead hearts. Early shoot,borer destroys 26-65 per cent of mother shoots Khan,borer destroys 26-65 per cent of mother shoots (Khan,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
borer destroys 26-65 per cent of mother shoots Khan,borer destroys 26-65 per cent of mother shoots (Khan,"and Rao, 1959 resulting in 22-33 per cent loss in cane","and  Rao, 1959) resulting in 22-33 per cent loss in cane",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"and Rao, 1959 resulting in 22-33 per cent loss in cane","and  Rao, 1959) resulting in 22-33 per cent loss in cane","yield, 12 and 27 per cent loss in sugar recovery and","yield, 12 and 27 per cent loss in sugar recovery and",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"yield, 12 and 27 per cent loss in sugar recovery and","yield, 12 and 27 per cent loss in sugar recovery and","per cent jaggery, respectively Patil and Hapse, 1981.","per cent jaggery, respectively (Patil and Hapse, 1981).",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"per cent jaggery, respectively Patil and Hapse, 1981.","per cent jaggery, respectively (Patil and Hapse, 1981).",According to Chaudhary 1973 this pest confers a,According to Chaudhary (1973) this pest confers a,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1
According to Chaudhary 1973 this pest confers a,According to Chaudhary (1973) this pest confers a,yield loss of 34.4 tonnes ha -1 and 0.25-3.0 units loss,yield loss of 34.4 tonnes ha-1 and 0.25-3.0 units loss,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
yield loss of 34.4 tonnes ha -1 and 0.25-3.0 units loss,yield loss of 34.4 tonnes ha-1 and 0.25-3.0 units loss,with respect to sugar recovery. The internode borer,with respect to sugar recovery. The internode borer,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
with respect to sugar recovery. The internode borer,with respect to sugar recovery. The internode borer,"bores the nodal region of the cane, enters the stem","bores the nodal region of the cane, enters the stem",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"bores the nodal region of the cane, enters the stem","bores the nodal region of the cane, enters the stem",and tunnels upwards in characteristic spiral manner,and tunnels upwards in characteristic spiral manner,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
and tunnels upwards in characteristic spiral manner,and tunnels upwards in characteristic spiral manner,resulting in constricted and shortened internodes. The,resulting in constricted and shortened internodes. The,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
resulting in constricted and shortened internodes. The,resulting in constricted and shortened internodes. The,yield loss due to this borer ranges from 10-35 per cent,yield loss due to this borer ranges from 10-35 per cent,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
yield loss due to this borer ranges from 10-35 per cent,yield loss due to this borer ranges from 10-35 per cent,"Shivasharanappa et al ., 2010. The pest infestation","(Shivasharanappa et al., 2010). The pest infestation",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1
"Shivasharanappa et al ., 2010. The pest infestation","(Shivasharanappa et al., 2010). The pest infestation",even at 10 per cent also leads to deterioration in quality,even at 10 per cent also leads to deterioration in quality,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
even at 10 per cent also leads to deterioration in quality,even at 10 per cent also leads to deterioration in quality,of the sugar. The top shoot borer of sugarcane tunnels,of the sugar. The top shoot borer of sugarcane tunnels,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
of the sugar. The top shoot borer of sugarcane tunnels,of the sugar. The top shoot borer of sugarcane tunnels,the upper portion of the stem resulting in dead hearts,the upper portion of the stem resulting in dead hearts,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
the upper portion of the stem resulting in dead hearts,the upper portion of the stem resulting in dead hearts,and bore holes at the shoot top resembles the bunchy,and bore holes at the shoot top resembles the bunchy,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
and bore holes at the shoot top resembles the bunchy,and bore holes at the shoot top resembles the bunchy,top appearance. This pest causes 20 per cent yield loss,top appearance. This pest causes 20 per cent yield loss,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
top appearance. This pest causes 20 per cent yield loss,top appearance. This pest causes 20 per cent yield loss,"at early stage, while 50 per cent loss in total crop","at early stage, while 50 per cent loss in total crop",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"at early stage, while 50 per cent loss in total crop","at early stage, while 50 per cent loss in total crop",growth period.,growth period.,1,0,1,0,1,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1
"76 Sudha Rani and Krishnamma et al ., AAJ 67 Spl","Sudha Rani and Krishnamma et al.,",The farmers simply rely on insecticides for,The farmers simply rely on insecticides for,17.97,-107.98,0,1,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,2,2,1
The farmers simply rely on insecticides for,The farmers simply rely on insecticides for,"managing the sugarcane borers but, over reliance on","managing the sugarcane borers but, over reliance on",1,-36,0,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"managing the sugarcane borers but, over reliance on","managing the sugarcane borers but, over reliance on",synthetic pesticides lead to ecological adversity and,synthetic pesticides lead to ecological adversity and,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
synthetic pesticides lead to ecological adversity and,synthetic pesticides lead to ecological adversity and,health related tribulations. Adoption of bio intensive,health related tribulations. Adoption of bio intensive,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
health related tribulations. Adoption of bio intensive,health related tribulations. Adoption of bio intensive,management practices provides long term protection,management practices provides long term protection,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
management practices provides long term protection,management practices provides long term protection,"against sugarcane borers, besides enhancing the natural","against sugarcane borers, besides enhancing the natural",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"against sugarcane borers, besides enhancing the natural","against sugarcane borers, besides enhancing the natural",enemy fauna in sugarcane ecosystem. These Control,enemy fauna in sugarcane ecosystem. These Control,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
enemy fauna in sugarcane ecosystem. These Control,enemy fauna in sugarcane ecosystem. These Control,tactics are ecologically valid and environmentally,tactics are ecologically valid and environmentally,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
tactics are ecologically valid and environmentally,tactics are ecologically valid and environmentally,"feasible. Hence, an on farm trial was undertaken in","feasible. Hence, an on farm trial was undertaken in",1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
"feasible. Hence, an on farm trial was undertaken in","feasible. Hence, an on farm trial was undertaken in",farmers fields to assess the efficacy of bio intensive,farmers fields to assess the efficacy of bio intensive,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
farmers fields to assess the efficacy of bio intensive,farmers fields to assess the efficacy of bio intensive,based pest management strategies to suppress the,based pest management strategies to suppress the,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
based pest management strategies to suppress the,based pest management strategies to suppress the,menace of sugarcane borers.,menace of sugarcane borers.,1,0,1,0,0,11.04,11.04,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,2,2,1
menace of sugarcane borers.,menace of sugarcane borers.,MATERIAL AND METHODS,MATERIAL AND METHODS,14.49,36,0,0,0,11.04,11.04,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,2,2,0
