text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,label
Abstract,Abstract,"Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese","Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese",-14.64,0,1,1,1,9,8,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese","Cupping therapy is a simple, effective and economic treatment. Cupping therapy is a formal treatment in Chinese","hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct","hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct","hospitals and in some European countries. Here, we review history of wet cupping therapy and its two distinct","methodologies. First method is puncturing and cupping PC method that includes five steps: skin demarcation,","methodologies. First method is puncturing and cupping (PC) method that includes five steps: skin demarcation,",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"methodologies. First method is puncturing and cupping PC method that includes five steps: skin demarcation,","methodologies. First method is puncturing and cupping (PC) method that includes five steps: skin demarcation,","sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping CPC method","sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping (CPC) method",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping CPC method","sterilization, puncturing, cupping and sterilization. Second method is cupping, puncturing and cupping (CPC) method","that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.","that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.","that includes six steps: skin demarcation, sterilization, first cupping, puncturing, second cupping and sterilization.","CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that","CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that","CPC method predominates in the Arabic world, while PC method has a worldwide distribution. We report here that",our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the,our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the,our detailed evidence-based analysis of both methods reveals many novel advantages in the CPC method over the,PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.,PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.,PC method. CPC method has a better analgesic effect and benefits more from the viscoelastic nature of the skin.,"During the first cupping step in the CPC method not present in the PC method, a fluid mixture containing causative","During the first cupping step in the CPC method (not present in the PC method), a fluid mixture containing causative",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"During the first cupping step in the CPC method not present in the PC method, a fluid mixture containing causative","During the first cupping step in the CPC method (not present in the PC method), a fluid mixture containing causative",pathological substances CPS is collected inside skin uplifting due to the effect of negative pressure of sucking,pathological substances (CPS) is collected inside skin uplifting due to the effect of negative pressure of sucking,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
pathological substances CPS is collected inside skin uplifting due to the effect of negative pressure of sucking,pathological substances (CPS) is collected inside skin uplifting due to the effect of negative pressure of sucking,cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture,cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture,cups. CPS differs from disease to disease according to disease etiology and pathogenesis. That fluid mixture,"contains collected interstitial fluids with CPS, filtered fluids from blood capillaries with CPS, hemolyzed blood cells","contains collected interstitial fluids with CPS, filtered fluids (from blood capillaries) with CPS, hemolyzed blood cells",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"contains collected interstitial fluids with CPS, filtered fluids from blood capillaries with CPS, hemolyzed blood cells","contains collected interstitial fluids with CPS, filtered fluids (from blood capillaries) with CPS, hemolyzed blood cells","hemolysed RBCs, WBCs and platelets. That fluid mixture does not contain intact blood cells as their sizes are much","(hemolysed RBCs, WBCs and platelets). That fluid mixture does not contain intact blood cells as their sizes are much",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"hemolysed RBCs, WBCs and platelets. That fluid mixture does not contain intact blood cells as their sizes are much","(hemolysed RBCs, WBCs and platelets). That fluid mixture does not contain intact blood cells as their sizes are much",bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.,bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.,bigger than sizes of pores of skin capillaries and cannot be filtered. The fluid mixture is totally excreted in next steps.,"We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related","We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
"We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related","We review here that wet cupping therapy is a highly recommended treatment in prophetic medicine, medicine related",to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah CPC,to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah (CPC,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah CPC,to Prophet Mohammad peace be upon him who said: “The best among what you use in therapy is Al-hijamah (CPC,method of wet cupping therapy”.,method of wet cupping therapy)”.,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
method of wet cupping therapy”.,method of wet cupping therapy)”.,"In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.","In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.",-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
"In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.","In conclusion, CPC method is better than PC method in clearing blood and interstitial spaces from CPS.",Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.,Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.,-14.64,0,1,1,1,8,8,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.,Standardization of methodologies of cupping therapy seems essential to gain optimal outcomes.,Keywords: Cupping therapy; Prophetic medicine; CPC method; PC,Keywords: Cupping therapy; Prophetic medicine; CPC method; PC,0.93,-59,0,1,0,8,11,3,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0
Keywords: Cupping therapy; Prophetic medicine; CPC method; PC,Keywords: Cupping therapy; Prophetic medicine; CPC method; PC,method; Boyle’s law; CPS,method; Boyle’s law; CPS,-23.36,0,1,0,0,11,9,-2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
method; Boyle’s law; CPS,method; Boyle’s law; CPS,Abbreviations: PC Method: Puncturing and Cupping Method; CPC,Abbreviations: PC Method: Puncturing and Cupping Method; CPC,-23.36,0,1,0,0,9,11,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Abbreviations: PC Method: Puncturing and Cupping Method; CPC,Abbreviations: PC Method: Puncturing and Cupping Method; CPC,"Method: Cupping, puncturing And Cupping Method; CPS: Causative","Method: Cupping, puncturing And Cupping Method; CPS: Causative",-23.36,0,1,0,0,11,9,-2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"Method: Cupping, puncturing And Cupping Method; CPS: Causative","Method: Cupping, puncturing And Cupping Method; CPS: Causative",Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic,Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic,Pathological Substances; GIT: Gastrointestinal Tract; ITP: Idiopathic,Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional,Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional,Thrombocytopenic Purpura; RBCs: Red Blood Cells; TCM: Traditional,Chinese Medicine; WBCs: White Blood Cells,Chinese Medicine; WBCs: White Blood Cells,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Chinese Medicine; WBCs: White Blood Cells,Chinese Medicine; WBCs: White Blood Cells,Introduction,Introduction,-23.36,0,1,0,0,9,11,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Introduction,Introduction,Cupping therapy is a simple procedure in which negative pressure,Cupping therapy is a simple procedure in which negative pressure,-23.36,0,1,0,0,11,9,-2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Cupping therapy is a simple procedure in which negative pressure,Cupping therapy is a simple procedure in which negative pressure,is applied to the skin through sucking cups dry cupping therapy 1.,is applied to the skin through sucking cups (dry cupping therapy) [1].,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
is applied to the skin through sucking cups dry cupping therapy 1.,is applied to the skin through sucking cups (dry cupping therapy) [1].,Many types of cupping therapy are described in the literature including,Many types of cupping therapy are described in the literature including,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Many types of cupping therapy are described in the literature including,Many types of cupping therapy are described in the literature including,"dry cupping therapy, wet cupping therapy, medicinal cupping therapy,","dry cupping therapy, wet cupping therapy, medicinal cupping therapy,",-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"dry cupping therapy, wet cupping therapy, medicinal cupping therapy,","dry cupping therapy, wet cupping therapy, medicinal cupping therapy,",moving cupping therapy and others 2. The most important type of,moving cupping therapy and others [2]. The most important type of,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
moving cupping therapy and others 2. The most important type of,moving cupping therapy and others [2]. The most important type of,wet cupping therapy seems to be Al-hijamah method of wet cupping,wet cupping therapy seems to be Al-hijamah (method of wet cupping,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
wet cupping therapy seems to be Al-hijamah method of wet cupping,wet cupping therapy seems to be Al-hijamah (method of wet cupping,therapy practiced in prophetic medicine. Unlike most conventional,therapy practiced in prophetic medicine). Unlike most conventional,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
therapy practiced in prophetic medicine. Unlike most conventional,therapy practiced in prophetic medicine). Unlike most conventional,"treatment modalities, wet cupping therapy is an excretory form of","treatment modalities, wet cupping therapy is an excretory form of",-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"treatment modalities, wet cupping therapy is an excretory form of","treatment modalities, wet cupping therapy is an excretory form of",therapy not an introductory one i.e. wet cupping therapy uses negative,therapy not an introductory one i.e. wet cupping therapy uses negative,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
therapy not an introductory one i.e. wet cupping therapy uses negative,therapy not an introductory one i.e. wet cupping therapy uses negative,pressure suctioning and skin pricking to open the skin barrier and,pressure suctioning and skin pricking to open the skin barrier and,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
pressure suctioning and skin pricking to open the skin barrier and,pressure suctioning and skin pricking to open the skin barrier and,excrete a bloody mixture of fluids with soluble wastes and causative,excrete a bloody mixture of fluids with soluble wastes and causative,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
excrete a bloody mixture of fluids with soluble wastes and causative,excrete a bloody mixture of fluids with soluble wastes and causative,pathological substances CPS. Second negative pressure suctioning,pathological substances (CPS). Second negative pressure suctioning,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
pathological substances CPS. Second negative pressure suctioning,pathological substances (CPS). Second negative pressure suctioning,"completes the process of waste excretion. Unfortunately, medical","completes the process of waste excretion. Unfortunately, medical",-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"completes the process of waste excretion. Unfortunately, medical","completes the process of waste excretion. Unfortunately, medical",research related to cupping therapy does not cover its importance.,research related to cupping therapy does not cover its importance.,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
research related to cupping therapy does not cover its importance.,research related to cupping therapy does not cover its importance.,Cupping therapy is practiced officially in hospitals in China 3 and,Cupping therapy is practiced officially in hospitals in China [3] and,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Cupping therapy is practiced officially in hospitals in China 3 and,Cupping therapy is practiced officially in hospitals in China [3] and,"is considered very familiar in some European countries 4,5. Current","is considered very familiar in some European countries [4,5]. Current",-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"is considered very familiar in some European countries 4,5. Current","is considered very familiar in some European countries [4,5]. Current",methodologies used for cupping therapy differ according to the type,methodologies used for cupping therapy differ according to the type,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
methodologies used for cupping therapy differ according to the type,methodologies used for cupping therapy differ according to the type,of cupping therapy e.g. dry cupping method differs from medicinal,of cupping therapy e.g. dry cupping method differs from medicinal,-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
of cupping therapy e.g. dry cupping method differs from medicinal,of cupping therapy e.g. dry cupping method differs from medicinal,"cupping method 6. In this review article, we shed light on the two","cupping method [6]. In this review article, we shed light on the two",-23.36,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"cupping method 6. In this review article, we shed light on the two","cupping method [6]. In this review article, we shed light on the two",methods of wet cupping therapy reported in the literature to discuss,methods of wet cupping therapy reported in the literature to discuss,-23.29,271,0,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0
methods of wet cupping therapy reported in the literature to discuss,methods of wet cupping therapy reported in the literature to discuss,which is more beneficial to be standardized in practicing cupping,which is more beneficial to be standardized in practicing cupping,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
which is more beneficial to be standardized in practicing cupping,which is more beneficial to be standardized in practicing cupping,therapy in treating so many diseases as we will mention later in this,therapy in treating so many diseases as we will mention later in this,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
therapy in treating so many diseases as we will mention later in this,therapy in treating so many diseases as we will mention later in this,article.,article.,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
article.,article.,History of cupping therapy,History of cupping therapy,-23.21,0,1,0,0,9,10,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0
History of cupping therapy,History of cupping therapy,Cupping therapy is being practiced nowadays in many countries all,Cupping therapy is being practiced nowadays in many countries all,-23.21,0,1,0,0,10,9,-1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Cupping therapy is being practiced nowadays in many countries all,Cupping therapy is being practiced nowadays in many countries all,"over the world including Germany, Norway, Denmark, Saudi Arabia,","over the world including Germany, Norway, Denmark, Saudi Arabia,",-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"over the world including Germany, Norway, Denmark, Saudi Arabia,","over the world including Germany, Norway, Denmark, Saudi Arabia,","Egypt, India, China and other countries. German people are familiar","Egypt, India, China and other countries. German people are familiar",-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
"Egypt, India, China and other countries. German people are familiar","Egypt, India, China and other countries. German people are familiar",with cupping therapy 4 and so are Danish and Norwegian peoples,with cupping therapy [4] and so are Danish and Norwegian peoples,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
with cupping therapy 4 and so are Danish and Norwegian peoples,with cupping therapy [4] and so are Danish and Norwegian peoples,where those European societies already have a shift in attitude to,where those European societies already have a shift in attitude to,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
where those European societies already have a shift in attitude to,where those European societies already have a shift in attitude to,include complementary medicine within the conventional health care,include complementary medicine within the conventional health care,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
include complementary medicine within the conventional health care,include complementary medicine within the conventional health care,system 5.,system [5].,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
system 5.,system [5].,The exact origin of cupping therapy is a matter of controversy.,The exact origin of cupping therapy is a matter of controversy.,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0
The exact origin of cupping therapy is a matter of controversy.,The exact origin of cupping therapy is a matter of controversy.,Chinese scientists report in their literature that cupping therapy is a,Chinese scientists report in their literature that cupping therapy is a,-23.21,0,1,0,0,9,9,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
Chinese scientists report in their literature that cupping therapy is a,Chinese scientists report in their literature that cupping therapy is a,"*Corresponding author: Salah Mohamed El Sayed, Department of Medical","*Corresponding author: Salah Mohamed El Sayed, Department of Medical",-23.21,0,1,0,0,9,7,-2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"*Corresponding author: Salah Mohamed El Sayed, Department of Medical","*Corresponding author: Salah Mohamed El Sayed, Department of Medical","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +2-",-23.21,0,1,0,0,7,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
"Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +20934-602-963; Fax: +2-0934-602-963; E-mail: salahfazara@yahoo.com,","Biochemistry, Sohag Faculty of Medicine, Sohag University, Egypt, Tel: +2-",drsalahpediatr@yahoo.com,drsalahpediatr@yahoo.com,-23.21,0,1,0,0,7,7,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
drsalahpediatr@yahoo.com,drsalahpediatr@yahoo.com,"Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013",-23.21,0,1,0,0,7,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Received March 19, 2013; Accepted April 12, 2013; Published April 15, 2013","Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping","Citation: El Sayed SM, Mahmoud HS, Nabo MMH  (2013) Methods of Wet Cupping",-23.21,0,1,0,0,7,7,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"Citation: El Sayed SM, Mahmoud HS, Nabo MMH 2013 Methods of Wet Cupping","Citation: El Sayed SM, Mahmoud HS, Nabo MMH  (2013) Methods of Wet Cupping",Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern,Therapy (Al-Hijamah): In Light of Modern Medicine and Prophetic Medicine. Altern,-23.21,0,1,0,0,7,7,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Therapy Al-Hijamah: In Light of Modern Medicine and Prophetic Medicine. Altern,Therapy (Al-Hijamah): In Light of Modern Medicine and Prophetic Medicine. Altern,Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111,Integ Med 2: 111. doi:10.4172/2327-5162.1000111,-23.21,0,1,0,0,7,7,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1
Integ Med 2: 111. doi:10.4172/2327-5162.1000111http://dx.doi.org/10.4172/2327-5162.1000111,Integ Med 2: 111. doi:10.4172/2327-5162.1000111,"Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed",-23.21,0,1,0,0,7,7,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","Copyright: © 2013 El Sayed SM, et al. This is an open-access article distributed","under the terms of the Creative Commons Attribution License, which permits","under the terms of the Creative Commons Attribution License, which permits",-23.21,0,1,0,0,7,7,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1
"under the terms of the Creative Commons Attribution License, which permits","under the terms of the Creative Commons Attribution License, which permits","unrestricted use, distribution, and reproduction in any medium, provided the","unrestricted use, distribution, and reproduction in any medium, provided the",-23.21,0,1,0,0,7,7,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
"unrestricted use, distribution, and reproduction in any medium, provided the","unrestricted use, distribution, and reproduction in any medium, provided the",original author and source are credited.,original author and source are credited.,-23.21,0,1,0,0,7,7,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1
