text_a,span_text_a,text_b,span_text_b,normalized_vertical_gap,indentation_change,same_alignment,is_centered_A,is_centered_B,font_size_a,font_size_b,font_size_diff,same_font,is_bold_A,is_bold_B,is_italic_A,is_italic_B,is_monospace_A,is_monospace_B,same_bold,same_italic,same_monospace,line_a_ends_punctuation,line_b_starts_lowercase,is_linea_in_rectangle,is_lineb_in_rectangle,both_in_table,neither_in_table,is_linea_hashed,is_lineb_hashed,both_hashed,neither_hashed,label
confusion for your recipients.,confusion for your recipients.,Sharing Checklist for Real Estate Professionals,Sharing Checklist for Real Estate Professionals,3.51,0,1,0,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Sharing Checklist for Real Estate Professionals,Sharing Checklist for Real Estate Professionals,"In the real estate industry, sharing documents efficiently is crucial for","In the real estate industry, sharing documents efficiently is crucial for",1,0,1,0,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"In the real estate industry, sharing documents efficiently is crucial for","In the real estate industry, sharing documents efficiently is crucial for",closing deals and keeping clients informed. Here's a tailored checklist to,closing deals and keeping clients informed. Here's a tailored checklist to,0.29,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
closing deals and keeping clients informed. Here's a tailored checklist to,closing deals and keeping clients informed. Here's a tailored checklist to,help you manage your PDF sharing needs.,help you manage your PDF sharing needs.,0.29,0,1,1,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
help you manage your PDF sharing needs.,help you manage your PDF sharing needs.,Real Estate Sharing Checklist,Real Estate Sharing Checklist,1,0,1,0,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Real Estate Sharing Checklist,Real Estate Sharing Checklist,Open Your Property Document,Open Your Property Document,1.39,18,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0
Open Your Property Document,Open Your Property Document,Have you launched Acrobat or Acrobat Reader and opened,Have you launched Acrobat or Acrobat Reader and opened,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you launched Acrobat or Acrobat Reader and opened,Have you launched Acrobat or Acrobat Reader and opened,the property listing or contract you need to share?,the property listing or contract you need to share?,0.35,18,0,0,1,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
the property listing or contract you need to share?,the property listing or contract you need to share?,Choose Your Sharing Method,Choose Your Sharing Method,1.39,-54.02,0,1,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Choose Your Sharing Method,Choose Your Sharing Method,"Are you sharing via email, link, or a third-party app like","Are you sharing via email, link, or a third-party app like",1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Are you sharing via email, link, or a third-party app like","Are you sharing via email, link, or a third-party app like",Microsoft Teams or WhatsApp?,Microsoft Teams or WhatsApp?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Microsoft Teams or WhatsApp?,Microsoft Teams or WhatsApp?,Set Permissions,Set Permissions,1.39,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Set Permissions,Set Permissions,Have you decided if clients can comment on the document or,Have you decided if clients can comment on the document or,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you decided if clients can comment on the document or,Have you decided if clients can comment on the document or,just view it?,just view it?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
just view it?,just view it?,Add Clients and Stakeholders,Add Clients and Stakeholders,1.39,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
"Did you enter the email addresses of clients, agents, and other","Did you enter the email addresses of clients, agents, and other",stakeholders?,stakeholders?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
stakeholders?,stakeholders?,Customize Your Message,Customize Your Message,1.39,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Customize Your Message,Customize Your Message,Have you added a personal touch to the subject and message,Have you added a personal touch to the subject and message,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you added a personal touch to the subject and message,Have you added a personal touch to the subject and message,"fields, highlighting key property details?","fields, highlighting key property details?",0.35,18,0,0,1,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
"fields, highlighting key property details?","fields, highlighting key property details?",Create and Share the Link,Create and Share the Link,1.39,-54.02,0,1,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Create and Share the Link,Create and Share the Link,Did you generate a shareable link and copy it for distribution?,Did you generate a shareable link and copy it for distribution?,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Did you generate a shareable link and copy it for distribution?,Did you generate a shareable link and copy it for distribution?,Send the Invitation,Send the Invitation,1.45,-36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Send the Invitation,Send the Invitation,Have you sent the email or shared the link through your,Have you sent the email or shared the link through your,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Have you sent the email or shared the link through your,Have you sent the email or shared the link through your,chosen platform?,chosen platform?,0.35,18,0,0,0,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
chosen platform?,chosen platform?,Follow Up,Follow Up,1.39,-54.02,0,0,0,13.5,10.02,-3.48,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0
Follow Up,Follow Up,Are you tracking who has accessed the document and,Are you tracking who has accessed the document and,1.45,36.02,0,0,0,10.02,10.02,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Are you tracking who has accessed the document and,Are you tracking who has accessed the document and,following up with clients for feedback or next steps?,following up with clients for feedback or next steps?,0.35,18,0,0,1,10.02,13.5,3.48,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1
following up with clients for feedback or next steps?,following up with clients for feedback or next steps?,Professional Tip: Highlight Key Details,Professional Tip: Highlight Key Details,1,-72.02,0,1,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Professional Tip: Highlight Key Details,Professional Tip: Highlight Key Details,Make sure to emphasize important property details in your message to,Make sure to emphasize important property details in your message to,1,0,1,0,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
Make sure to emphasize important property details in your message to,Make sure to emphasize important property details in your message to,capture your clients' attention.,capture your clients' attention.,0.29,0,1,1,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
capture your clients' attention.,capture your clients' attention.,Conclusion,Conclusion,3.51,0,1,0,0,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0
Conclusion,Conclusion,"Sharing PDFs with Adobe Acrobat is straightforward and efficient,","Sharing PDFs with Adobe Acrobat is straightforward and efficient,",1,0,1,0,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0
"Sharing PDFs with Adobe Acrobat is straightforward and efficient,","Sharing PDFs with Adobe Acrobat is straightforward and efficient,",whether you're working on a general project or managing real estate,whether you're working on a general project or managing real estate,0.3,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
whether you're working on a general project or managing real estate,whether you're working on a general project or managing real estate,"documents. By following these checklists, you can ensure that your","documents. By following these checklists, you can ensure that your",0.29,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
"documents. By following these checklists, you can ensure that your","documents. By following these checklists, you can ensure that your",sharing process is smooth and professional. Start sharing smarter today.,sharing process is smooth and professional. Start sharing smarter today.,0.29,0,1,1,1,13.5,13.5,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1
